Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 58;
007605982_00509 (imageset: 6B2842B9-011A-40DB-9F4C-E0647EFA0BE7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01523E22-A79A-4243-8795-0A69B9825D38/manage/6B2842B9-011A-40DB-9F4C-E0647EFA0BE7/batches/C3685E3E-A5C7-4937-95E9-02FC6959CBEB]
007605971_00699 (imageset: 2B38F57D-3113-410F-B4FB-95B14536426D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01523E22-A79A-4243-8795-0A69B9825D38/manage/2B38F57D-3113-410F-B4FB-95B14536426D/batches/C1F5402D-1536-4F25-864C-DEB23C94C4D5]
005392786_00298 (imageset: 9668BB72-CF98-428A-9529-A774F5C35ACF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01523E22-A79A-4243-8795-0A69B9825D38/manage/9668BB72-CF98-428A-9529-A774F5C35ACF/batches/774BBDF4-91E3-4D02-973C-589590F5A588]
007605996_01368 (imageset: BE157D74-8FBE-490E-808A-1314A74B5037);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01523E22-A79A-4243-8795-0A69B9825D38/manage/BE157D74-8FBE-490E-808A-1314A74B5037/batches/0BB7FB61-6167-48DE-8E3A-692E69BA117B]
005392774_01683 (imageset: C3F736EE-0AC4-4DD0-8EE5-8C6E2DA262B7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01523E22-A79A-4243-8795-0A69B9825D38/manage/C3F736EE-0AC4-4DD0-8EE5-8C6E2DA262B7/batches/D455B6E8-73F0-4239-A2A7-ABE3096833E1]
007887958_00181 (imageset: CE8A659C-C6DF-42CA-89CB-EB403940BC75);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01523E22-A79A-4243-8795-0A69B9825D38/manage/CE8A659C-C6DF-42CA-89CB-EB403940BC75/batches/4DE3B845-A35F-4FAF-BC78-9EA3547274CE]
007888496_00273 (imageset: 7AF58918-B109-4522-9764-F199DCA4EA65);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01523E22-A79A-4243-8795-0A69B9825D38/manage/7AF58918-B109-4522-9764-F199DCA4EA65/batches/750D5804-D81D-4D79-AC1E-6B21D619F738]
007605989_01204 (imageset: 206DBC4F-AD74-4689-AF1B-1A0105B0294D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01523E22-A79A-4243-8795-0A69B9825D38/manage/206DBC4F-AD74-4689-AF1B-1A0105B0294D/batches/3F65020C-D5D2-4A4C-871C-D8F92CEA24D0]
007889833_01545 (imageset: 93B3D96A-400B-44BD-BB9D-4E0BE6D72F68);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01523E22-A79A-4243-8795-0A69B9825D38/manage/93B3D96A-400B-44BD-BB9D-4E0BE6D72F68/batches/95C86AE9-D7DE-472F-B199-8417A914F0C2]
007888496_00319 (imageset: 7AF58918-B109-4522-9764-F199DCA4EA65);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01523E22-A79A-4243-8795-0A69B9825D38/manage/7AF58918-B109-4522-9764-F199DCA4EA65/batches/23D56B6C-250B-428A-9C8F-B4D675ECA802]
007605996_01364 (imageset: BE157D74-8FBE-490E-808A-1314A74B5037);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01523E22-A79A-4243-8795-0A69B9825D38/manage/BE157D74-8FBE-490E-808A-1314A74B5037/batches/0BB7FB61-6167-48DE-8E3A-692E69BA117B]
007888452_00949 (imageset: E2E63C4A-3E32-4ED6-AA40-17419C3EB188);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01523E22-A79A-4243-8795-0A69B9825D38/manage/E2E63C4A-3E32-4ED6-AA40-17419C3EB188/batches/F14A6B0C-E05E-40B2-9754-230329E8F163]
007889794_01854 (imageset: 7A37CAA9-5182-4E38-95E7-83C777C78E0A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01523E22-A79A-4243-8795-0A69B9825D38/manage/7A37CAA9-5182-4E38-95E7-83C777C78E0A/batches/A320E8D8-4B16-4DE2-B9E3-6465B86369A7]
