Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 9178;
008246192_00138 (imageset: C4C84ECA-4652-4D2E-B6D8-F4B7718ECB67);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01BBDAE2-037A-4650-AED2-B33EC74CF6AF/manage/C4C84ECA-4652-4D2E-B6D8-F4B7718ECB67/batches/E5546541-6D69-408D-9FDF-61A50CA62780]
008296357_02199 (imageset: 522AD373-72F7-44F4-95DF-783D7848D68D);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01BBDAE2-037A-4650-AED2-B33EC74CF6AF/manage/522AD373-72F7-44F4-95DF-783D7848D68D/batches/757420FC-720D-460A-8605-47E9A469D77F]
008246192_01460 (imageset: C4C84ECA-4652-4D2E-B6D8-F4B7718ECB67);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01BBDAE2-037A-4650-AED2-B33EC74CF6AF/manage/C4C84ECA-4652-4D2E-B6D8-F4B7718ECB67/batches/7B2F0B56-A917-4C72-9131-48B69044252D]
008296357_02195 (imageset: 522AD373-72F7-44F4-95DF-783D7848D68D);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01BBDAE2-037A-4650-AED2-B33EC74CF6AF/manage/522AD373-72F7-44F4-95DF-783D7848D68D/batches/938D84D7-1AB6-4DDB-ADC9-B2C2C1B988EF]
008246192_00131 (imageset: C4C84ECA-4652-4D2E-B6D8-F4B7718ECB67);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01BBDAE2-037A-4650-AED2-B33EC74CF6AF/manage/C4C84ECA-4652-4D2E-B6D8-F4B7718ECB67/batches/AD12164A-86E1-41FE-8604-8C8E457A9D33]
008296356_02304 (imageset: 3F8B9AA2-1E20-4932-B744-6C8BB77EEFF6);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01BBDAE2-037A-4650-AED2-B33EC74CF6AF/manage/3F8B9AA2-1E20-4932-B744-6C8BB77EEFF6/batches/1143DAC2-CA02-408E-BE7C-E2040F827C97]
008246192_01464 (imageset: C4C84ECA-4652-4D2E-B6D8-F4B7718ECB67);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01BBDAE2-037A-4650-AED2-B33EC74CF6AF/manage/C4C84ECA-4652-4D2E-B6D8-F4B7718ECB67/batches/96B77EE5-16E6-440E-94A9-8FCA74B1112E]
008246192_00130 (imageset: C4C84ECA-4652-4D2E-B6D8-F4B7718ECB67);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01BBDAE2-037A-4650-AED2-B33EC74CF6AF/manage/C4C84ECA-4652-4D2E-B6D8-F4B7718ECB67/batches/4BAD6D3D-4303-4BB9-99B3-682FDBE7046C]
008296357_02197 (imageset: 522AD373-72F7-44F4-95DF-783D7848D68D);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/01BBDAE2-037A-4650-AED2-B33EC74CF6AF/manage/522AD373-72F7-44F4-95DF-783D7848D68D/batches/938D84D7-1AB6-4DDB-ADC9-B2C2C1B988EF]
