Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
104681421_01229 (imageset: D2D25666-2280-4441-8005-58EE236DBFEA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/02650F99-6039-4802-AE06-E2561E33D5AF/manage/D2D25666-2280-4441-8005-58EE236DBFEA/batches/3C7D2D97-4BD0-47DD-8AC8-C7C34AD3D4D5]
104681421_01217 (imageset: D2D25666-2280-4441-8005-58EE236DBFEA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/02650F99-6039-4802-AE06-E2561E33D5AF/manage/D2D25666-2280-4441-8005-58EE236DBFEA/batches/3C7D2D97-4BD0-47DD-8AC8-C7C34AD3D4D5]
104681421_01219 (imageset: D2D25666-2280-4441-8005-58EE236DBFEA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/02650F99-6039-4802-AE06-E2561E33D5AF/manage/D2D25666-2280-4441-8005-58EE236DBFEA/batches/3C7D2D97-4BD0-47DD-8AC8-C7C34AD3D4D5]
104681422_00702 (imageset: C74EC3EB-74F8-4971-9EE9-C42D1FE4AA48);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/02650F99-6039-4802-AE06-E2561E33D5AF/manage/C74EC3EB-74F8-4971-9EE9-C42D1FE4AA48/batches/CF51C862-6D02-4F5E-AF11-54DB7EE05BB0]
104681411_00659 (imageset: C7CB4393-CC9B-47BF-A0E6-EBE89E6B038A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/02650F99-6039-4802-AE06-E2561E33D5AF/manage/C7CB4393-CC9B-47BF-A0E6-EBE89E6B038A/batches/5F4D9728-645C-4B6B-A1D3-064E84D49298]
104681422_00700 (imageset: C74EC3EB-74F8-4971-9EE9-C42D1FE4AA48);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/02650F99-6039-4802-AE06-E2561E33D5AF/manage/C74EC3EB-74F8-4971-9EE9-C42D1FE4AA48/batches/CF51C862-6D02-4F5E-AF11-54DB7EE05BB0]
104681422_00688 (imageset: C74EC3EB-74F8-4971-9EE9-C42D1FE4AA48);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/02650F99-6039-4802-AE06-E2561E33D5AF/manage/C74EC3EB-74F8-4971-9EE9-C42D1FE4AA48/batches/CF51C862-6D02-4F5E-AF11-54DB7EE05BB0]
104681422_00698 (imageset: C74EC3EB-74F8-4971-9EE9-C42D1FE4AA48);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/02650F99-6039-4802-AE06-E2561E33D5AF/manage/C74EC3EB-74F8-4971-9EE9-C42D1FE4AA48/batches/CF51C862-6D02-4F5E-AF11-54DB7EE05BB0]
104681421_01221 (imageset: D2D25666-2280-4441-8005-58EE236DBFEA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/02650F99-6039-4802-AE06-E2561E33D5AF/manage/D2D25666-2280-4441-8005-58EE236DBFEA/batches/3C7D2D97-4BD0-47DD-8AC8-C7C34AD3D4D5]
