Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 60;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 7672;
005373512_00271 (imageset: 960607DD-F8B6-4FCA-AF7F-54191BFAC8C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/960607DD-F8B6-4FCA-AF7F-54191BFAC8C6/batches/66B16074-C85F-4D48-A8AC-A3A1683D2FC0]
005373512_00272 (imageset: 960607DD-F8B6-4FCA-AF7F-54191BFAC8C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/960607DD-F8B6-4FCA-AF7F-54191BFAC8C6/batches/66B16074-C85F-4D48-A8AC-A3A1683D2FC0]
005373512_00273 (imageset: 960607DD-F8B6-4FCA-AF7F-54191BFAC8C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/960607DD-F8B6-4FCA-AF7F-54191BFAC8C6/batches/33920428-52E0-4A30-A412-243672D0E0CE]
005373512_00274 (imageset: 960607DD-F8B6-4FCA-AF7F-54191BFAC8C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/960607DD-F8B6-4FCA-AF7F-54191BFAC8C6/batches/33920428-52E0-4A30-A412-243672D0E0CE]
005373512_00270 (imageset: 960607DD-F8B6-4FCA-AF7F-54191BFAC8C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/960607DD-F8B6-4FCA-AF7F-54191BFAC8C6/batches/7A951F17-8A31-4455-9EF4-E6422AC55EE2]
005373445_00090 (imageset: 102A7078-3349-44CD-973B-A6093E407ECE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/102A7078-3349-44CD-973B-A6093E407ECE/batches/9E7CDB72-023C-43E2-96F6-888EA1CE2458]
005373512_00279 (imageset: 960607DD-F8B6-4FCA-AF7F-54191BFAC8C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/960607DD-F8B6-4FCA-AF7F-54191BFAC8C6/batches/748090FE-0214-49AF-B56C-D14FA76A9AC9]
005373445_00091 (imageset: 102A7078-3349-44CD-973B-A6093E407ECE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/102A7078-3349-44CD-973B-A6093E407ECE/batches/9E7CDB72-023C-43E2-96F6-888EA1CE2458]
004291873_00200 (imageset: 75DBAED4-FC90-4EF0-B5C0-967B536FFBC2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/75DBAED4-FC90-4EF0-B5C0-967B536FFBC2/batches/AC12BC9B-D55A-434D-BEFA-02EB3A269975]
005373512_00275 (imageset: 960607DD-F8B6-4FCA-AF7F-54191BFAC8C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/960607DD-F8B6-4FCA-AF7F-54191BFAC8C6/batches/A3402158-59F8-4A34-A7EA-3BE7AC26C4A5]
004291873_00201 (imageset: 75DBAED4-FC90-4EF0-B5C0-967B536FFBC2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/75DBAED4-FC90-4EF0-B5C0-967B536FFBC2/batches/AC12BC9B-D55A-434D-BEFA-02EB3A269975]
005373512_00276 (imageset: 960607DD-F8B6-4FCA-AF7F-54191BFAC8C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/960607DD-F8B6-4FCA-AF7F-54191BFAC8C6/batches/A3402158-59F8-4A34-A7EA-3BE7AC26C4A5]
005373512_00277 (imageset: 960607DD-F8B6-4FCA-AF7F-54191BFAC8C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/960607DD-F8B6-4FCA-AF7F-54191BFAC8C6/batches/D283921D-481D-4E3F-AB88-91E64C9DC786]
005373512_00278 (imageset: 960607DD-F8B6-4FCA-AF7F-54191BFAC8C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/960607DD-F8B6-4FCA-AF7F-54191BFAC8C6/batches/D283921D-481D-4E3F-AB88-91E64C9DC786]
005373445_00098 (imageset: 102A7078-3349-44CD-973B-A6093E407ECE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/102A7078-3349-44CD-973B-A6093E407ECE/batches/55891390-C9D3-47AB-96E8-3FC7FD92669C]
005373445_00099 (imageset: 102A7078-3349-44CD-973B-A6093E407ECE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/102A7078-3349-44CD-973B-A6093E407ECE/batches/55891390-C9D3-47AB-96E8-3FC7FD92669C]
005373445_00096 (imageset: 102A7078-3349-44CD-973B-A6093E407ECE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/102A7078-3349-44CD-973B-A6093E407ECE/batches/43895D25-62B5-49E5-87DE-7B1A2457DFCD]
005372530_00240 (imageset: D3F70019-E4CA-43C8-950A-D204843EEDD8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/D3F70019-E4CA-43C8-950A-D204843EEDD8/batches/3D337DDB-9993-46EB-AB7C-C11C47815C3F]
005373445_00097 (imageset: 102A7078-3349-44CD-973B-A6093E407ECE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/102A7078-3349-44CD-973B-A6093E407ECE/batches/43895D25-62B5-49E5-87DE-7B1A2457DFCD]
005372530_00241 (imageset: D3F70019-E4CA-43C8-950A-D204843EEDD8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/D3F70019-E4CA-43C8-950A-D204843EEDD8/batches/3D337DDB-9993-46EB-AB7C-C11C47815C3F]
005372530_00242 (imageset: D3F70019-E4CA-43C8-950A-D204843EEDD8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0321A78C-A5E3-406E-9723-C9F2133D603F/manage/D3F70019-E4CA-43C8-950A-D204843EEDD8/batches/58BE7EA9-2F56-4F3B-B857-2E2B14445397]
