Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 56;
007827608_00234 (imageset: 44ECDDE7-C6FF-4E47-9A59-609F2EED84D9);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/03A5ECF5-D096-44A4-A63E-63DE5E06EAAF/manage/44ECDDE7-C6FF-4E47-9A59-609F2EED84D9/batches/55355D7B-4C69-4569-B16E-AD232E202B8E]
007827609_00405 (imageset: ADBDBDD3-E867-4A2D-8515-F1B3C9C70073);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/03A5ECF5-D096-44A4-A63E-63DE5E06EAAF/manage/ADBDBDD3-E867-4A2D-8515-F1B3C9C70073/batches/75047BEC-7F24-46F1-8113-566AE5F41379]
007827604_00345 (imageset: 46416254-B0A7-4B6D-B4C4-9750CAF868AE);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/03A5ECF5-D096-44A4-A63E-63DE5E06EAAF/manage/46416254-B0A7-4B6D-B4C4-9750CAF868AE/batches/6FC5A8B8-685D-4824-8B23-58FC44DAD547]
007827604_00700 (imageset: 46416254-B0A7-4B6D-B4C4-9750CAF868AE);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/03A5ECF5-D096-44A4-A63E-63DE5E06EAAF/manage/46416254-B0A7-4B6D-B4C4-9750CAF868AE/batches/6572FE96-743F-4520-86FC-1EC4E1C797A5]
007827607_00429 (imageset: 710113A9-A14C-4844-A880-E115636379CC);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/03A5ECF5-D096-44A4-A63E-63DE5E06EAAF/manage/710113A9-A14C-4844-A880-E115636379CC/batches/C407F856-9070-4DFA-8FCA-FA3E0F672AD5]
007827605_00686 (imageset: 8DC479F5-1B0F-4CFF-847C-1079B48007BA);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/03A5ECF5-D096-44A4-A63E-63DE5E06EAAF/manage/8DC479F5-1B0F-4CFF-847C-1079B48007BA/batches/138329A7-EED0-4925-B3C1-AEB6DF4C2C13]
007827605_00325 (imageset: 8DC479F5-1B0F-4CFF-847C-1079B48007BA);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/03A5ECF5-D096-44A4-A63E-63DE5E06EAAF/manage/8DC479F5-1B0F-4CFF-847C-1079B48007BA/batches/FE1250E5-66F1-44C8-9385-D78A4D0CD399]
007827606_00017 (imageset: 7BF4BF4B-7778-4039-A164-05589C37FFFD);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/03A5ECF5-D096-44A4-A63E-63DE5E06EAAF/manage/7BF4BF4B-7778-4039-A164-05589C37FFFD/batches/19CA895A-849F-409F-BBD1-55BC2359FEBA]
007827606_00854 (imageset: 7BF4BF4B-7778-4039-A164-05589C37FFFD);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/03A5ECF5-D096-44A4-A63E-63DE5E06EAAF/manage/7BF4BF4B-7778-4039-A164-05589C37FFFD/batches/91C6379D-7DFF-41A0-98D1-0694A0F77635]
007827609_00234 (imageset: ADBDBDD3-E867-4A2D-8515-F1B3C9C70073);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/03A5ECF5-D096-44A4-A63E-63DE5E06EAAF/manage/ADBDBDD3-E867-4A2D-8515-F1B3C9C70073/batches/D58DF028-A7B8-4844-8FCC-77704599761A]
007827604_00536 (imageset: 46416254-B0A7-4B6D-B4C4-9750CAF868AE);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/03A5ECF5-D096-44A4-A63E-63DE5E06EAAF/manage/46416254-B0A7-4B6D-B4C4-9750CAF868AE/batches/4849AF06-60AA-41B9-B99C-43636C1E8103]
007827608_00040 (imageset: 44ECDDE7-C6FF-4E47-9A59-609F2EED84D9);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/03A5ECF5-D096-44A4-A63E-63DE5E06EAAF/manage/44ECDDE7-C6FF-4E47-9A59-609F2EED84D9/batches/DCE44667-4F0C-4A1C-9783-08A3AAD74395]
007827609_00714 (imageset: ADBDBDD3-E867-4A2D-8515-F1B3C9C70073);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/03A5ECF5-D096-44A4-A63E-63DE5E06EAAF/manage/ADBDBDD3-E867-4A2D-8515-F1B3C9C70073/batches/018E89F8-5212-445F-B7CB-F0A21B3072B1]
007827604_00331 (imageset: 46416254-B0A7-4B6D-B4C4-9750CAF868AE);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/03A5ECF5-D096-44A4-A63E-63DE5E06EAAF/manage/46416254-B0A7-4B6D-B4C4-9750CAF868AE/batches/BFC611F0-7B03-464F-A20A-B5C370AE88CF]
007827606_00182 (imageset: 7BF4BF4B-7778-4039-A164-05589C37FFFD);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/03A5ECF5-D096-44A4-A63E-63DE5E06EAAF/manage/7BF4BF4B-7778-4039-A164-05589C37FFFD/batches/9EF349F9-C966-4BEF-ABDB-D0EE29408C20]
