Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 9;
005250437_03281 (imageset: 71636AAC-BF3F-4E52-8FF5-F525243361CA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0652F9F8-B49C-4499-8EAE-9534357B97C5/manage/71636AAC-BF3F-4E52-8FF5-F525243361CA/batches/DF8EA3EE-4043-493D-A435-2C13A4F41303]
005250435_03611 (imageset: 0F0D1FE6-0FDF-45E0-B866-8E81639F6FE3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0652F9F8-B49C-4499-8EAE-9534357B97C5/manage/0F0D1FE6-0FDF-45E0-B866-8E81639F6FE3/batches/745B6D61-A403-4965-8F17-B8BED3DFAB89]
005250473_00871 (imageset: B8D6F9EE-7517-414A-A515-7C399EBBC73B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0652F9F8-B49C-4499-8EAE-9534357B97C5/manage/B8D6F9EE-7517-414A-A515-7C399EBBC73B/batches/56D95CCA-1A61-4D27-B2AF-F17007DB3C06]
005250441_04521 (imageset: D0944C83-6AEE-48C8-B010-3172DA10791D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0652F9F8-B49C-4499-8EAE-9534357B97C5/manage/D0944C83-6AEE-48C8-B010-3172DA10791D/batches/4096143B-D4FE-43A8-95B0-05C894A811FB]
005250431_04329 (imageset: 90098FCE-10F2-4514-B1FC-7A40E5D7ADE5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0652F9F8-B49C-4499-8EAE-9534357B97C5/manage/90098FCE-10F2-4514-B1FC-7A40E5D7ADE5/batches/CFA83774-1477-4CB6-9932-498D79237AAF]
005250427_01069 (imageset: D8CD776A-7C8B-4A6F-A39C-9358AC2AB9DC);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0652F9F8-B49C-4499-8EAE-9534357B97C5/manage/D8CD776A-7C8B-4A6F-A39C-9358AC2AB9DC/batches/E534D5C3-A049-4831-B0C4-5DFD1DEA0BEE]
005250430_00496 (imageset: A9CC4D6D-5FFA-4ED1-8500-F5A5AB116630);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0652F9F8-B49C-4499-8EAE-9534357B97C5/manage/A9CC4D6D-5FFA-4ED1-8500-F5A5AB116630/batches/BE9D07FE-3C71-468B-90B4-592212F5C4ED]
005250662_01846 (imageset: A50DA0A0-CF46-44B1-B8E1-D7F39AC7D29F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0652F9F8-B49C-4499-8EAE-9534357B97C5/manage/A50DA0A0-CF46-44B1-B8E1-D7F39AC7D29F/batches/904FE60C-EAA4-4A5E-A8CD-6FAD2EA422BC]
005250458_04805 (imageset: C546803A-29B9-403E-B6AE-E079EB509D5D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0652F9F8-B49C-4499-8EAE-9534357B97C5/manage/C546803A-29B9-403E-B6AE-E079EB509D5D/batches/AE84C003-B3DD-453B-95D9-E5898CC19554]
