Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 20104;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 20104;
007747927_02318 (imageset: 7505AE05-A3B9-429A-90B2-C369EDD8727A);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/06660EB2-3409-4817-8124-84FA2CCFB5DE/manage/7505AE05-A3B9-429A-90B2-C369EDD8727A/batches/BC22477B-D519-4BDF-A59E-C6C96925D5D6]
007747927_02319 (imageset: 7505AE05-A3B9-429A-90B2-C369EDD8727A);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/06660EB2-3409-4817-8124-84FA2CCFB5DE/manage/7505AE05-A3B9-429A-90B2-C369EDD8727A/batches/BC22477B-D519-4BDF-A59E-C6C96925D5D6]
007747927_02316 (imageset: 7505AE05-A3B9-429A-90B2-C369EDD8727A);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/06660EB2-3409-4817-8124-84FA2CCFB5DE/manage/7505AE05-A3B9-429A-90B2-C369EDD8727A/batches/BC22477B-D519-4BDF-A59E-C6C96925D5D6]
007732457_01169 (imageset: 56E858E8-D87D-43CD-92CB-09C3EB801357);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/06660EB2-3409-4817-8124-84FA2CCFB5DE/manage/56E858E8-D87D-43CD-92CB-09C3EB801357/batches/83B5F449-9FE0-4FB2-BB15-BC49A2AF133C]
007747927_02317 (imageset: 7505AE05-A3B9-429A-90B2-C369EDD8727A);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/06660EB2-3409-4817-8124-84FA2CCFB5DE/manage/7505AE05-A3B9-429A-90B2-C369EDD8727A/batches/BC22477B-D519-4BDF-A59E-C6C96925D5D6]
007732457_01168 (imageset: 56E858E8-D87D-43CD-92CB-09C3EB801357);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/06660EB2-3409-4817-8124-84FA2CCFB5DE/manage/56E858E8-D87D-43CD-92CB-09C3EB801357/batches/83B5F449-9FE0-4FB2-BB15-BC49A2AF133C]
007747927_02314 (imageset: 7505AE05-A3B9-429A-90B2-C369EDD8727A);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/06660EB2-3409-4817-8124-84FA2CCFB5DE/manage/7505AE05-A3B9-429A-90B2-C369EDD8727A/batches/BC22477B-D519-4BDF-A59E-C6C96925D5D6]
