Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 197;
005153077_00676 (imageset: AF8DE60A-CBAA-4376-9EAC-F77122420688);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/09299C6D-00AC-4726-9CD0-41C4AD8C8371/manage/AF8DE60A-CBAA-4376-9EAC-F77122420688/batches/D329C26F-6B61-458C-9DF5-1DB1E6F595DF]
005151300_00148 (imageset: AF6B97CE-88ED-4870-A39C-2C0F4EF9ADE6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/09299C6D-00AC-4726-9CD0-41C4AD8C8371/manage/AF6B97CE-88ED-4870-A39C-2C0F4EF9ADE6/batches/106BE730-335F-440C-A999-235ED5E794DC]
005153077_00674 (imageset: AF8DE60A-CBAA-4376-9EAC-F77122420688);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/09299C6D-00AC-4726-9CD0-41C4AD8C8371/manage/AF8DE60A-CBAA-4376-9EAC-F77122420688/batches/D329C26F-6B61-458C-9DF5-1DB1E6F595DF]
005153077_00431 (imageset: AF8DE60A-CBAA-4376-9EAC-F77122420688);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/09299C6D-00AC-4726-9CD0-41C4AD8C8371/manage/AF8DE60A-CBAA-4376-9EAC-F77122420688/batches/6BCD660F-96E7-479D-BC97-121A18B9DA7A]
005153077_00430 (imageset: AF8DE60A-CBAA-4376-9EAC-F77122420688);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/09299C6D-00AC-4726-9CD0-41C4AD8C8371/manage/AF8DE60A-CBAA-4376-9EAC-F77122420688/batches/6BCD660F-96E7-479D-BC97-121A18B9DA7A]
005151300_00146 (imageset: AF6B97CE-88ED-4870-A39C-2C0F4EF9ADE6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/09299C6D-00AC-4726-9CD0-41C4AD8C8371/manage/AF6B97CE-88ED-4870-A39C-2C0F4EF9ADE6/batches/106BE730-335F-440C-A999-235ED5E794DC]
005153077_00679 (imageset: AF8DE60A-CBAA-4376-9EAC-F77122420688);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/09299C6D-00AC-4726-9CD0-41C4AD8C8371/manage/AF8DE60A-CBAA-4376-9EAC-F77122420688/batches/D329C26F-6B61-458C-9DF5-1DB1E6F595DF]
005153077_00678 (imageset: AF8DE60A-CBAA-4376-9EAC-F77122420688);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/09299C6D-00AC-4726-9CD0-41C4AD8C8371/manage/AF8DE60A-CBAA-4376-9EAC-F77122420688/batches/D329C26F-6B61-458C-9DF5-1DB1E6F595DF]
005151123_00069 (imageset: D64737C5-3941-4C90-B75B-F73583C05C06);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/09299C6D-00AC-4726-9CD0-41C4AD8C8371/manage/D64737C5-3941-4C90-B75B-F73583C05C06/batches/DC6028C1-D042-42FB-BF1D-207E3D1446A9]
