Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 16;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 373;
103435504_00051 (imageset: E4DC2AC9-4FF9-4F40-A7F0-5319C1A5314B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0957E2CE-A7B2-42DD-9CD1-6C101AB9C9BD/manage/E4DC2AC9-4FF9-4F40-A7F0-5319C1A5314B/batches/DAF17708-0D94-4B4A-A003-7F0B3980AA91]
103040870_01326 (imageset: 12A2F7C8-9884-4276-93EA-A1E42A292570);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0957E2CE-A7B2-42DD-9CD1-6C101AB9C9BD/manage/12A2F7C8-9884-4276-93EA-A1E42A292570/batches/6E475B62-BDE2-4EDB-A323-9DC4A1B03082]
103040870_01328 (imageset: 12A2F7C8-9884-4276-93EA-A1E42A292570);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0957E2CE-A7B2-42DD-9CD1-6C101AB9C9BD/manage/12A2F7C8-9884-4276-93EA-A1E42A292570/batches/6E475B62-BDE2-4EDB-A323-9DC4A1B03082]
103137601_00387 (imageset: 9C6FDA20-A7BB-4BC2-96F7-D25E42FD6E9D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0957E2CE-A7B2-42DD-9CD1-6C101AB9C9BD/manage/9C6FDA20-A7BB-4BC2-96F7-D25E42FD6E9D/batches/09511DFF-F450-4163-BF7B-C5388A750FC2]
103137601_00385 (imageset: 9C6FDA20-A7BB-4BC2-96F7-D25E42FD6E9D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0957E2CE-A7B2-42DD-9CD1-6C101AB9C9BD/manage/9C6FDA20-A7BB-4BC2-96F7-D25E42FD6E9D/batches/09511DFF-F450-4163-BF7B-C5388A750FC2]
103394997_00094 (imageset: 06CA153D-AF1A-47DD-BFA4-8C8871DC8C0E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0957E2CE-A7B2-42DD-9CD1-6C101AB9C9BD/manage/06CA153D-AF1A-47DD-BFA4-8C8871DC8C0E/batches/6715F865-B400-4C58-A572-27DB674A30FE]
103376076_00486 (imageset: AC26C928-E0A9-457D-9ED0-3C23CDA8598F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0957E2CE-A7B2-42DD-9CD1-6C101AB9C9BD/manage/AC26C928-E0A9-457D-9ED0-3C23CDA8598F/batches/3134F1C7-2A7B-4DD2-8A41-845CBF81CF02]
103394997_00096 (imageset: 06CA153D-AF1A-47DD-BFA4-8C8871DC8C0E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0957E2CE-A7B2-42DD-9CD1-6C101AB9C9BD/manage/06CA153D-AF1A-47DD-BFA4-8C8871DC8C0E/batches/6715F865-B400-4C58-A572-27DB674A30FE]
103352790_00257 (imageset: 69E0C42D-780C-494E-8B76-10250A45723C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0957E2CE-A7B2-42DD-9CD1-6C101AB9C9BD/manage/69E0C42D-780C-494E-8B76-10250A45723C/batches/BCD30D6E-A016-4815-B9F5-24CF109CFC0B]
103115288_01114 (imageset: 63CB7ACA-883F-432E-928A-66F9EBA44FD9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0957E2CE-A7B2-42DD-9CD1-6C101AB9C9BD/manage/63CB7ACA-883F-432E-928A-66F9EBA44FD9/batches/6AB0D2B8-99C2-4A96-8186-AD5ACC873504]
103115288_00390 (imageset: 63CB7ACA-883F-432E-928A-66F9EBA44FD9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0957E2CE-A7B2-42DD-9CD1-6C101AB9C9BD/manage/63CB7ACA-883F-432E-928A-66F9EBA44FD9/batches/913AEF14-9A86-4A25-BABC-FE56295B43D2]
103435489_00102 (imageset: 1255956B-B166-4B60-8CFA-1694BB0F5B7D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0957E2CE-A7B2-42DD-9CD1-6C101AB9C9BD/manage/1255956B-B166-4B60-8CFA-1694BB0F5B7D/batches/0201BC2E-09AD-4F3A-A507-0CA63D2E47E2]
