Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 1259;
103295114_00740 (imageset: 494BB2D5-2AF0-4241-9819-6661CA208D60);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0B455F4D-C54E-44C8-B272-5573E52AF630/manage/494BB2D5-2AF0-4241-9819-6661CA208D60/batches/7F956145-25FA-4C8C-86DF-C61D262BD88B]
103295114_00984 (imageset: 494BB2D5-2AF0-4241-9819-6661CA208D60);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0B455F4D-C54E-44C8-B272-5573E52AF630/manage/494BB2D5-2AF0-4241-9819-6661CA208D60/batches/043CFB10-6758-4227-AA19-F073A40BAB2F]
103295109_00244 (imageset: 4BC565CB-993F-44C2-8ADB-A4D70D2EB480);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0B455F4D-C54E-44C8-B272-5573E52AF630/manage/4BC565CB-993F-44C2-8ADB-A4D70D2EB480/batches/35ED758D-C351-4DFC-8E03-BE9D86881DF7]
103279749_01212 (imageset: F6FBEB4D-ACDA-4C63-9661-82DF429D83DE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0B455F4D-C54E-44C8-B272-5573E52AF630/manage/F6FBEB4D-ACDA-4C63-9661-82DF429D83DE/batches/E081C795-B511-4E57-B193-87C9E57F75E5]
103295109_00245 (imageset: 4BC565CB-993F-44C2-8ADB-A4D70D2EB480);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0B455F4D-C54E-44C8-B272-5573E52AF630/manage/4BC565CB-993F-44C2-8ADB-A4D70D2EB480/batches/35ED758D-C351-4DFC-8E03-BE9D86881DF7]
103295109_00242 (imageset: 4BC565CB-993F-44C2-8ADB-A4D70D2EB480);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0B455F4D-C54E-44C8-B272-5573E52AF630/manage/4BC565CB-993F-44C2-8ADB-A4D70D2EB480/batches/35ED758D-C351-4DFC-8E03-BE9D86881DF7]
103279749_01210 (imageset: F6FBEB4D-ACDA-4C63-9661-82DF429D83DE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0B455F4D-C54E-44C8-B272-5573E52AF630/manage/F6FBEB4D-ACDA-4C63-9661-82DF429D83DE/batches/E081C795-B511-4E57-B193-87C9E57F75E5]
103295109_00243 (imageset: 4BC565CB-993F-44C2-8ADB-A4D70D2EB480);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0B455F4D-C54E-44C8-B272-5573E52AF630/manage/4BC565CB-993F-44C2-8ADB-A4D70D2EB480/batches/35ED758D-C351-4DFC-8E03-BE9D86881DF7]
103295109_00240 (imageset: 4BC565CB-993F-44C2-8ADB-A4D70D2EB480);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0B455F4D-C54E-44C8-B272-5573E52AF630/manage/4BC565CB-993F-44C2-8ADB-A4D70D2EB480/batches/35ED758D-C351-4DFC-8E03-BE9D86881DF7]
103279749_01216 (imageset: F6FBEB4D-ACDA-4C63-9661-82DF429D83DE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0B455F4D-C54E-44C8-B272-5573E52AF630/manage/F6FBEB4D-ACDA-4C63-9661-82DF429D83DE/batches/E081C795-B511-4E57-B193-87C9E57F75E5]
103295109_00241 (imageset: 4BC565CB-993F-44C2-8ADB-A4D70D2EB480);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0B455F4D-C54E-44C8-B272-5573E52AF630/manage/4BC565CB-993F-44C2-8ADB-A4D70D2EB480/batches/35ED758D-C351-4DFC-8E03-BE9D86881DF7]
103279749_01214 (imageset: F6FBEB4D-ACDA-4C63-9661-82DF429D83DE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0B455F4D-C54E-44C8-B272-5573E52AF630/manage/F6FBEB4D-ACDA-4C63-9661-82DF429D83DE/batches/E081C795-B511-4E57-B193-87C9E57F75E5]
