Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 23;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 23;
004406766_00647 (imageset: F64589A5-73F2-4D40-BFED-D4F807CDFD80);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0DD87937-7D32-44A7-A098-4BB5B39270D2/manage/F64589A5-73F2-4D40-BFED-D4F807CDFD80/batches/E4C7AC7C-464C-4AE3-A65C-BCF95BF6A7C6]
004406766_00646 (imageset: F64589A5-73F2-4D40-BFED-D4F807CDFD80);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0DD87937-7D32-44A7-A098-4BB5B39270D2/manage/F64589A5-73F2-4D40-BFED-D4F807CDFD80/batches/E4C7AC7C-464C-4AE3-A65C-BCF95BF6A7C6]
004406766_00217 (imageset: F64589A5-73F2-4D40-BFED-D4F807CDFD80);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0DD87937-7D32-44A7-A098-4BB5B39270D2/manage/F64589A5-73F2-4D40-BFED-D4F807CDFD80/batches/E4C7AC7C-464C-4AE3-A65C-BCF95BF6A7C6]
004406766_00580 (imageset: F64589A5-73F2-4D40-BFED-D4F807CDFD80);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0DD87937-7D32-44A7-A098-4BB5B39270D2/manage/F64589A5-73F2-4D40-BFED-D4F807CDFD80/batches/E4C7AC7C-464C-4AE3-A65C-BCF95BF6A7C6]
004406766_00340 (imageset: F64589A5-73F2-4D40-BFED-D4F807CDFD80);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0DD87937-7D32-44A7-A098-4BB5B39270D2/manage/F64589A5-73F2-4D40-BFED-D4F807CDFD80/batches/E4C7AC7C-464C-4AE3-A65C-BCF95BF6A7C6]
004406766_00581 (imageset: F64589A5-73F2-4D40-BFED-D4F807CDFD80);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0DD87937-7D32-44A7-A098-4BB5B39270D2/manage/F64589A5-73F2-4D40-BFED-D4F807CDFD80/batches/E4C7AC7C-464C-4AE3-A65C-BCF95BF6A7C6]
004406766_00342 (imageset: F64589A5-73F2-4D40-BFED-D4F807CDFD80);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0DD87937-7D32-44A7-A098-4BB5B39270D2/manage/F64589A5-73F2-4D40-BFED-D4F807CDFD80/batches/E4C7AC7C-464C-4AE3-A65C-BCF95BF6A7C6]
004406766_00320 (imageset: F64589A5-73F2-4D40-BFED-D4F807CDFD80);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0DD87937-7D32-44A7-A098-4BB5B39270D2/manage/F64589A5-73F2-4D40-BFED-D4F807CDFD80/batches/E4C7AC7C-464C-4AE3-A65C-BCF95BF6A7C6]
004406766_00001 (imageset: F64589A5-73F2-4D40-BFED-D4F807CDFD80);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0DD87937-7D32-44A7-A098-4BB5B39270D2/manage/F64589A5-73F2-4D40-BFED-D4F807CDFD80/batches/E4C7AC7C-464C-4AE3-A65C-BCF95BF6A7C6]
004406766_00341 (imageset: F64589A5-73F2-4D40-BFED-D4F807CDFD80);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0DD87937-7D32-44A7-A098-4BB5B39270D2/manage/F64589A5-73F2-4D40-BFED-D4F807CDFD80/batches/E4C7AC7C-464C-4AE3-A65C-BCF95BF6A7C6]
0DD87937-7D32-44A7-A098-4BB5B39270D2;PROJECT;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL \\ PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/0DD87937-7D32-44A7-A098-4BB5B39270D2/overview]
004406766_00322 (imageset: F64589A5-73F2-4D40-BFED-D4F807CDFD80);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0DD87937-7D32-44A7-A098-4BB5B39270D2/manage/F64589A5-73F2-4D40-BFED-D4F807CDFD80/batches/E4C7AC7C-464C-4AE3-A65C-BCF95BF6A7C6]
004406766_00025 (imageset: F64589A5-73F2-4D40-BFED-D4F807CDFD80);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0DD87937-7D32-44A7-A098-4BB5B39270D2/manage/F64589A5-73F2-4D40-BFED-D4F807CDFD80/batches/E4C7AC7C-464C-4AE3-A65C-BCF95BF6A7C6]
004406766_00003 (imageset: F64589A5-73F2-4D40-BFED-D4F807CDFD80);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0DD87937-7D32-44A7-A098-4BB5B39270D2/manage/F64589A5-73F2-4D40-BFED-D4F807CDFD80/batches/E4C7AC7C-464C-4AE3-A65C-BCF95BF6A7C6]
004406766_00321 (imageset: F64589A5-73F2-4D40-BFED-D4F807CDFD80);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0DD87937-7D32-44A7-A098-4BB5B39270D2/manage/F64589A5-73F2-4D40-BFED-D4F807CDFD80/batches/E4C7AC7C-464C-4AE3-A65C-BCF95BF6A7C6]
