Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 58;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 58;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 58;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
102010349_00171 (imageset: EE73CFC2-8BB5-4AE1-8964-682552968229);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0E0DFABF-6EAB-4EAA-BAA7-0C702CE16CF1/manage/EE73CFC2-8BB5-4AE1-8964-682552968229/batches/A9CABA6A-1D00-4695-9B1B-DEF64F556CA5]
102010349_00172 (imageset: EE73CFC2-8BB5-4AE1-8964-682552968229);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0E0DFABF-6EAB-4EAA-BAA7-0C702CE16CF1/manage/EE73CFC2-8BB5-4AE1-8964-682552968229/batches/A9CABA6A-1D00-4695-9B1B-DEF64F556CA5]
101551096_00309 (imageset: 38C8AEF0-7F66-4159-B4A0-1A2F8614FD76);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0E0DFABF-6EAB-4EAA-BAA7-0C702CE16CF1/manage/38C8AEF0-7F66-4159-B4A0-1A2F8614FD76/batches/C59AA6F5-D7B0-4923-8C95-BAD714491FE1]
