Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 21;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 119;
004159752_00241 (imageset: 78DF23FF-70AE-4856-B0D9-1CE348578FC2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0FAB0F9D-05A7-4817-892D-245A8CAC8125/manage/78DF23FF-70AE-4856-B0D9-1CE348578FC2/batches/DC3DE66D-285B-46AE-9DBC-000184EA2DC9]
004159752_00242 (imageset: 78DF23FF-70AE-4856-B0D9-1CE348578FC2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0FAB0F9D-05A7-4817-892D-245A8CAC8125/manage/78DF23FF-70AE-4856-B0D9-1CE348578FC2/batches/DC3DE66D-285B-46AE-9DBC-000184EA2DC9]
004193607_00041 (imageset: D1A40D13-0C70-4718-90A9-662B6F0F9484);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0FAB0F9D-05A7-4817-892D-245A8CAC8125/manage/D1A40D13-0C70-4718-90A9-662B6F0F9484/batches/15571076-A094-4848-A60F-A8551761D4EB]
004159752_00240 (imageset: 78DF23FF-70AE-4856-B0D9-1CE348578FC2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0FAB0F9D-05A7-4817-892D-245A8CAC8125/manage/78DF23FF-70AE-4856-B0D9-1CE348578FC2/batches/DC3DE66D-285B-46AE-9DBC-000184EA2DC9]
004159228_00601 (imageset: 4D3288E3-B968-4924-B2CA-CF8A470D04B8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0FAB0F9D-05A7-4817-892D-245A8CAC8125/manage/4D3288E3-B968-4924-B2CA-CF8A470D04B8/batches/0167646E-F988-42A3-A86C-40FD20A735F3]
004159228_00602 (imageset: 4D3288E3-B968-4924-B2CA-CF8A470D04B8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0FAB0F9D-05A7-4817-892D-245A8CAC8125/manage/4D3288E3-B968-4924-B2CA-CF8A470D04B8/batches/0167646E-F988-42A3-A86C-40FD20A735F3]
004162837_00034 (imageset: 989BB421-5C76-4C81-A416-B6220E67CEA0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0FAB0F9D-05A7-4817-892D-245A8CAC8125/manage/989BB421-5C76-4C81-A416-B6220E67CEA0/batches/8AB18F92-D9FE-463A-B218-833CF19A2EBC]
004162826_00229 (imageset: 04BF983C-2EB8-4152-B8BF-56A5995FE480);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/0FAB0F9D-05A7-4817-892D-245A8CAC8125/manage/04BF983C-2EB8-4152-B8BF-56A5995FE480/batches/F6027150-FE10-402C-BA15-9016B6F262A2]
