Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 100;
6E96D786-4A3E-4BBF-A7A5-434BDAF1A4CA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/C41D041C-2E2D-4E5E-AC45-2FBD129EBF88/batches/6E96D786-4A3E-4BBF-A7A5-434BDAF1A4CA]
51BB6B1A-2D1C-4594-AA20-714218D9570D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/C41D041C-2E2D-4E5E-AC45-2FBD129EBF88/batches/51BB6B1A-2D1C-4594-AA20-714218D9570D]
48B03728-5F1C-4B3B-A1CD-51AA026373BF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/EF81E6C5-21B3-4A38-9794-BA5727528EF6/batches/48B03728-5F1C-4B3B-A1CD-51AA026373BF]
92BAB246-821F-4769-981F-0F8C3DDA92E3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/DD85CCE7-418F-4C0F-8264-19B0528416E6/batches/92BAB246-821F-4769-981F-0F8C3DDA92E3]
858FA59D-4C5F-4731-8514-7B84BD7BB5FA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/C41D041C-2E2D-4E5E-AC45-2FBD129EBF88/batches/858FA59D-4C5F-4731-8514-7B84BD7BB5FA]
BDCFC6E6-03C0-4410-BFC1-ED904ABB462C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/64B32CEB-5E8A-4C22-B8B8-4EDC7D84AD49/batches/BDCFC6E6-03C0-4410-BFC1-ED904ABB462C]
B42533A8-9ECF-4A09-9BC4-BEED01EB0C1A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/E828ADA3-4B37-4097-9918-4DE85DC7BC82/batches/B42533A8-9ECF-4A09-9BC4-BEED01EB0C1A]
6B086128-66A2-4C40-992C-2039EAE583C0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/874764A6-4FD7-47A2-9F31-7796DF3E1D81/batches/6B086128-66A2-4C40-992C-2039EAE583C0]
5564B862-99B7-4D89-89DC-2EF529D4EDCE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/920CDA97-F6DD-4B6C-9081-41A8BC26996B/batches/5564B862-99B7-4D89-89DC-2EF529D4EDCE]
3F84BF38-ECC1-40F2-AFEB-520F19673F01;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/8F8F9933-AB4A-4DCD-AC01-D290DE93BEF0/batches/3F84BF38-ECC1-40F2-AFEB-520F19673F01]
1C2DDD6E-1206-4FB6-9E12-788EE62135E1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/DD85CCE7-418F-4C0F-8264-19B0528416E6/batches/1C2DDD6E-1206-4FB6-9E12-788EE62135E1]
A8A8E7C5-A9B3-43F9-B9EC-2377AD038325;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/EF81E6C5-21B3-4A38-9794-BA5727528EF6/batches/A8A8E7C5-A9B3-43F9-B9EC-2377AD038325]
6F9A8294-2415-4259-81E9-6860A26F2EE8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/CB872E78-1ECC-4178-A585-7F5BBB724EF3/batches/6F9A8294-2415-4259-81E9-6860A26F2EE8]
5CDF8DD3-2342-44E8-8AC6-B41BD34044A1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/DD85CCE7-418F-4C0F-8264-19B0528416E6/batches/5CDF8DD3-2342-44E8-8AC6-B41BD34044A1]
53690160-2A58-462E-8EED-1491A2CE7B88;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/D389445E-FC5F-4331-8495-5DD7EDD2761E/batches/53690160-2A58-462E-8EED-1491A2CE7B88]
486D6422-C3E9-41BC-8351-A3DA0C5E6D0F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/C41D041C-2E2D-4E5E-AC45-2FBD129EBF88/batches/486D6422-C3E9-41BC-8351-A3DA0C5E6D0F]
9FC513D4-712E-48E7-B122-11D72D7502CF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/CA3F4E44-D3D4-4CFE-9CB9-C643E34B5152/batches/9FC513D4-712E-48E7-B122-11D72D7502CF]
A391B9E0-B3A7-4398-9607-1C2C3C0E4402;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/E828ADA3-4B37-4097-9918-4DE85DC7BC82/batches/A391B9E0-B3A7-4398-9607-1C2C3C0E4402]
8E727566-9A57-4BD5-A8DC-2A4E0F65069C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/E828ADA3-4B37-4097-9918-4DE85DC7BC82/batches/8E727566-9A57-4BD5-A8DC-2A4E0F65069C]
51ED16BC-8EEB-4CC7-820C-2C5D848B8F7C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/608BFD71-FC84-4C29-A0C1-8B806849E25C/batches/51ED16BC-8EEB-4CC7-820C-2C5D848B8F7C]
B1368C2A-3828-4D0B-AEED-EB1746318088;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/9EBFF061-6314-44C7-820F-402D08337818/batches/B1368C2A-3828-4D0B-AEED-EB1746318088]
0E126EEA-4F39-4BCA-8273-8F749B037485;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/E828ADA3-4B37-4097-9918-4DE85DC7BC82/batches/0E126EEA-4F39-4BCA-8273-8F749B037485]
764C746A-FB5F-464D-A31A-8F1042593613;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/00E42E49-D16B-4772-9B9E-F3FED37250FA/batches/764C746A-FB5F-464D-A31A-8F1042593613]
91664909-08BC-4086-B032-6B7BC71CFF9A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/4485B48E-1DBC-4A96-A54D-981C9EE53BCB/batches/91664909-08BC-4086-B032-6B7BC71CFF9A]
5D9FB58A-7879-4643-9DD1-C29A73C9FF42;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/49D51C9D-D62E-4E6C-AEB3-9847898ECF48/batches/5D9FB58A-7879-4643-9DD1-C29A73C9FF42]
0C351C8D-B80C-436B-8E90-C6805F6EB6D3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/00E42E49-D16B-4772-9B9E-F3FED37250FA/batches/0C351C8D-B80C-436B-8E90-C6805F6EB6D3]
1BA9D7EE-04E4-4285-8516-5CA344CBE19E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/64263166-DEB3-4470-A93F-9BB15048A7D0/batches/1BA9D7EE-04E4-4285-8516-5CA344CBE19E]
AC3FC354-8FE8-45DD-878F-40087B367867;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/FB1831A2-5A7A-46B7-93A7-046F7A6562CF/batches/AC3FC354-8FE8-45DD-878F-40087B367867]
7E72DEA0-7388-45F8-9F14-967DADD26FF5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/72C9380D-D662-42F6-8E58-A89E145E1120/batches/7E72DEA0-7388-45F8-9F14-967DADD26FF5]
7DDFB123-5691-4A61-9CF1-2E9B0CEBDE90;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/0FF7406C-1E16-4E33-AC27-B97FA3190076/manage/CA3F4E44-D3D4-4CFE-9CB9-C643E34B5152/batches/7DDFB123-5691-4A61-9CF1-2E9B0CEBDE90]
