Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 100;
E74A0926-A4C6-4490-A0B6-B36A2C000CB9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/E74A0926-A4C6-4490-A0B6-B36A2C000CB9]
596EE769-B302-4CDB-A9A6-2A21554F9B5B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/596EE769-B302-4CDB-A9A6-2A21554F9B5B]
94ABA6B0-86B7-45F1-AC31-078998A93AB8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/94ABA6B0-86B7-45F1-AC31-078998A93AB8]
65877B17-FE05-4F93-8F1F-6890F5F8C361;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/65877B17-FE05-4F93-8F1F-6890F5F8C361]
D1C4B5EA-E550-4041-8E75-B1A231A899F3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/D1C4B5EA-E550-4041-8E75-B1A231A899F3]
C0E48B53-6789-40C9-9658-1FF6DD0B895C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/C0E48B53-6789-40C9-9658-1FF6DD0B895C]
42503F11-E3B5-40A7-B258-F40040174958;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/42503F11-E3B5-40A7-B258-F40040174958]
C35C066D-B2C9-4221-B327-1F63907818BE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/C35C066D-B2C9-4221-B327-1F63907818BE]
4258169A-CDDC-47B9-83C1-67BA3DFAC91F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/4258169A-CDDC-47B9-83C1-67BA3DFAC91F]
0D9D76FE-4314-40CF-B7D0-E76DB36915F9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/0D9D76FE-4314-40CF-B7D0-E76DB36915F9]
6A8E8BBB-F379-4A00-9B46-ECEBD1154B83;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/6A8E8BBB-F379-4A00-9B46-ECEBD1154B83]
2637BAC2-2634-4F0B-9DF8-4A30A77E4B06;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/2637BAC2-2634-4F0B-9DF8-4A30A77E4B06]
AD225502-9B8A-4367-9985-44E5E1AAA58D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/AD225502-9B8A-4367-9985-44E5E1AAA58D]
C8BA8D94-06C7-4B6E-9C05-FD5FB253C09D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/C8BA8D94-06C7-4B6E-9C05-FD5FB253C09D]
56654F80-FD7B-466F-B243-11972855D344;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/56654F80-FD7B-466F-B243-11972855D344]
1E4051E2-2D67-412B-B9E9-D47E21DF9916;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/1E4051E2-2D67-412B-B9E9-D47E21DF9916]
B1236C5D-B090-440F-8479-9F95515515E8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/CA804E9F-E298-47B9-AA52-125E6CFE9838/batches/B1236C5D-B090-440F-8479-9F95515515E8]
AFC62667-ADA2-4D67-9939-EC803D81D8A8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/AFC62667-ADA2-4D67-9939-EC803D81D8A8]
58B4F26F-8069-4A2B-90E9-2F3B3A3B73E0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/58B4F26F-8069-4A2B-90E9-2F3B3A3B73E0]
31701157-D810-4D29-93D6-5938E9728689;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/31701157-D810-4D29-93D6-5938E9728689]
3574F835-DAC3-4276-9819-5EFC332AB908;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/3574F835-DAC3-4276-9819-5EFC332AB908]
C943539F-41E7-4CDB-A9C2-005BFA003A3A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/C943539F-41E7-4CDB-A9C2-005BFA003A3A]
F468F201-4E75-44CA-AB46-CC86E7579273;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/F468F201-4E75-44CA-AB46-CC86E7579273]
348F13C7-D309-4618-A287-2D77BFCCEC28;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/348F13C7-D309-4618-A287-2D77BFCCEC28]
269C86AD-CA1A-4C2C-9DB1-C8C16E32E65E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/269C86AD-CA1A-4C2C-9DB1-C8C16E32E65E]
0B8AF24A-2B13-42A7-A030-C3F84212ADFA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/0B8AF24A-2B13-42A7-A030-C3F84212ADFA]
93173A24-20F6-4248-B551-4CD9E4443E09;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/93173A24-20F6-4248-B551-4CD9E4443E09]
CE7AB032-A620-45DC-8B4C-68D12FF9C3E5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/CE7AB032-A620-45DC-8B4C-68D12FF9C3E5]
F1C35359-807B-4BE0-8CD7-8BE8E9A1B0C8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1040846F-51CD-4B86-8A2D-6DCF149634D3/manage/EFB3DB3B-3D94-44F1-8BBA-3EAFB2EFF9E8/batches/F1C35359-807B-4BE0-8CD7-8BE8E9A1B0C8]
