Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH_SHOULD_BE_EXPORTED: 180;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 180;
4E919D01-501F-4401-9E1D-5BE6E284899E;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/120B45B7-7675-4F8E-BBCC-DAFDF9B526B9/manage/8F7256A6-395F-4833-B99B-475575107828/batches/4E919D01-501F-4401-9E1D-5BE6E284899E]
ABC248D9-DC10-4332-AB87-DA7DAA0FBE4E;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/120B45B7-7675-4F8E-BBCC-DAFDF9B526B9/manage/8F7256A6-395F-4833-B99B-475575107828/batches/ABC248D9-DC10-4332-AB87-DA7DAA0FBE4E]
97B9FDF3-FFB9-4617-9DBF-A376614AB1F8;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/120B45B7-7675-4F8E-BBCC-DAFDF9B526B9/manage/8F7256A6-395F-4833-B99B-475575107828/batches/97B9FDF3-FFB9-4617-9DBF-A376614AB1F8]
BE100A6D-48C1-4EE5-A7C3-141F6AA9D413;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/120B45B7-7675-4F8E-BBCC-DAFDF9B526B9/manage/8F7256A6-395F-4833-B99B-475575107828/batches/BE100A6D-48C1-4EE5-A7C3-141F6AA9D413]
C62E6973-561A-4977-A944-4F35C2BB40DE;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/120B45B7-7675-4F8E-BBCC-DAFDF9B526B9/manage/8F7256A6-395F-4833-B99B-475575107828/batches/C62E6973-561A-4977-A944-4F35C2BB40DE]
5433F6F5-ED2F-4D8F-A8EF-E33942C36A46;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/120B45B7-7675-4F8E-BBCC-DAFDF9B526B9/manage/8F7256A6-395F-4833-B99B-475575107828/batches/5433F6F5-ED2F-4D8F-A8EF-E33942C36A46]
4A513AE6-2871-42DC-8CCA-B50C4188FEE2;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/120B45B7-7675-4F8E-BBCC-DAFDF9B526B9/manage/8F7256A6-395F-4833-B99B-475575107828/batches/4A513AE6-2871-42DC-8CCA-B50C4188FEE2]
