Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 240;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
004497987 (30DC6F02-B737-47AE-A484-AE32772BDDD2);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/1234CCE2-A83A-416A-88A8-1D98B05C3F24/manage/30DC6F02-B737-47AE-A484-AE32772BDDD2/batches/list]
008095947 (4A3B8DAB-EF71-42E4-8F06-4A4FDBEDF08C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/1234CCE2-A83A-416A-88A8-1D98B05C3F24/manage/4A3B8DAB-EF71-42E4-8F06-4A4FDBEDF08C/batches/list]
008080224 (566170A4-3EDE-4C9A-80D7-E4D5D68F9ECF);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/1234CCE2-A83A-416A-88A8-1D98B05C3F24/manage/566170A4-3EDE-4C9A-80D7-E4D5D68F9ECF/batches/list]
004007086 (DCA5EB93-B527-49C6-AD61-A19B394BA5F4);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/1234CCE2-A83A-416A-88A8-1D98B05C3F24/manage/DCA5EB93-B527-49C6-AD61-A19B394BA5F4/batches/list]
007567168 (9EDA06E2-B6D7-46CD-9B44-D9A5768AED95);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/1234CCE2-A83A-416A-88A8-1D98B05C3F24/manage/9EDA06E2-B6D7-46CD-9B44-D9A5768AED95/batches/list]
007011701 (6144CF0D-6A54-404F-9A55-96BE6FD63A5C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/1234CCE2-A83A-416A-88A8-1D98B05C3F24/manage/6144CF0D-6A54-404F-9A55-96BE6FD63A5C/batches/list]
008080109 (6E063AE1-C0E0-46CB-BC9B-CC72B174623E);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/1234CCE2-A83A-416A-88A8-1D98B05C3F24/manage/6E063AE1-C0E0-46CB-BC9B-CC72B174623E/batches/list]
007909204 (19E2D1CE-2A96-4FD6-B05C-8FAC693F47B4);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/1234CCE2-A83A-416A-88A8-1D98B05C3F24/manage/19E2D1CE-2A96-4FD6-B05C-8FAC693F47B4/batches/list]
