dgs;Date added to Report;Traveler: Project;Rosetta Assigned Project;Rosetta State;IDX Assigned Project;imageset;Project State;Projects with no Imageset workflow
008212449;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;7056F378-E8ED-440B-9E90-1D2B2DF62D03;;
008212451;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;57633D41-0D4D-479E-A74D-8B6E869E2B0F;;
008212452;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;7BA1EF6B-EB64-4E12-82C2-07EAF158F3D7;;
008212454;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;E08757BB-0221-4554-AD24-7F3C2FB0F71B;;
008212455;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;C66C9CD8-A1DB-4D65-9DFA-F170C24A8B37;;
008212457;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;D9A28245-F2FF-4776-B125-8C202951AA3E;;
008212458;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;7EBAFA82-6520-42E1-8DF2-77F89B155608;;
008212460;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;1865B2EF-7C5E-4084-88D8-EA5F2EC914FB;;
008212469;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;B7EA4DC0-9D12-4BA4-9A76-46CE7A9A3A74;;
008212471;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;3AB52973-74F9-4EA6-848D-5AA599D9186D;;
008212477;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;0B6C01F5-DDD7-4D7B-8A64-73DA1A52D71F;;
008212480;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;C0E98737-A7A1-4E0B-BC46-3003D7FBC8A2;;
008212482;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;A3D61EEF-EDE1-4EA5-B0A4-D30362D8A233;;
008212483;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;711BB6BA-0B12-43FC-94C2-94C687742352;;
008212485;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;A6BDB343-DC89-4192-A7CA-D2F021A43152;;
008212486;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;32594C45-2A2A-4649-9ECB-D8EC7CFA7872;;
008212490;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;56527F4A-2968-4F6C-878A-3055A40F4523;;
008212491;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;56EF6674-7158-44AB-9AB6-BF6EEE3A98C7;;
008212499;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;A0CB5E37-C4E5-4E26-89B7-27A52476414E;;
008212500;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;699A8F11-CC5B-4C45-A100-D81DDCD0EB78;;
008212501;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;CDF203CF-C4B7-431B-B510-88DC10404C16;;
008212502;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;2C23E1E4-A33F-4AA0-9AF1-FBD5AFA2AD8D;;
008212504;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;14DFC968-8BA0-4874-B623-DDB4DFBB227C;;
008212505;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;75302C20-90CB-4E1C-87D5-88D6A800B604;;
008212510;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;DBACE08D-5C4E-4C50-93C3-16D39EF2DE56;;
008212513;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;DEF7BAA9-AC34-41BA-AE16-A3A04651BF9A;;
008212516;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;0DAB7110-D9ED-45A8-87C3-BC3D87655884;;
008212518;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;FFE1B3F5-ABD5-4AE6-8087-5DBC2196AE15;;
008212737;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;D2B2A955-1E50-44F2-8F6C-46A1E64A52F3;;
008212738;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;013D2977-E67C-492B-B416-3E93B5CFAB7A;;
008212739;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;A18150DD-9384-4C28-825E-DA277B3A4551;;
008212742;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;1B12B36C-4869-4D6E-B1D2-BF219FC8672B;;
008212746;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;687006A0-5B5C-4767-96AA-9C17B4D66849;;
008212754;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;6C4F3407-FA7F-4F14-B84B-EACC2C2FEBA1;;
008212759;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;A60EA837-FE2C-4EB1-A962-C0D125829B3E;;
008212761;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;DE3658DC-3962-420B-BBE1-068097BD7218;;
008212764;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;F1AB1121-7D2B-4185-83F6-97144C399F59;;
008212768;2020-11-05 09:39:03;16-1180: Wales, National Library of Wales Marriage Bonds, 1564-1900 - FSI;[UK, Wales—National Library of Wales Marriage Bonds, 1564–1754 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B45BCF04-D53C-4A74-A32D-0E043F7B1606/overview];In Production;;E3A974CF-1293-479E-B7F0-FF7052BC4B05;;
