Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NO_WORKFLOW_STATE: 100;
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;BATCH:NOT_IN_PROJECT: 100;
69707501-E622-43DC-8498-AFE822C1586E;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/0D71C582-11F9-49E6-B1CD-C49DCD355835/batches/69707501-E622-43DC-8498-AFE822C1586E]
4645460F-2069-4C26-AA08-4F16B2E53403;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/810EB3D5-F46E-4A1F-9FBF-BDC01D360607/batches/4645460F-2069-4C26-AA08-4F16B2E53403]
4645460F-2069-4C26-AA08-4F16B2E53403;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/810EB3D5-F46E-4A1F-9FBF-BDC01D360607/batches/4645460F-2069-4C26-AA08-4F16B2E53403]
5D30C6BA-94F0-4CDB-B4C6-9542906EC5F0;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/E7ACE654-4EC5-4D02-8AB4-B5CAB33B3F35/batches/5D30C6BA-94F0-4CDB-B4C6-9542906EC5F0]
5D30C6BA-94F0-4CDB-B4C6-9542906EC5F0;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/E7ACE654-4EC5-4D02-8AB4-B5CAB33B3F35/batches/5D30C6BA-94F0-4CDB-B4C6-9542906EC5F0]
844F1A43-4CCD-4D99-A421-FBE8D09F0475;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/0A00CFF4-21E9-44D7-B027-8BFD5B51EEC0/batches/844F1A43-4CCD-4D99-A421-FBE8D09F0475]
A4B40544-DF1C-40CE-B4BA-E89F359A839A;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/0D71C582-11F9-49E6-B1CD-C49DCD355835/batches/A4B40544-DF1C-40CE-B4BA-E89F359A839A]
D7B927DF-7793-486A-BB27-681AABAC4CC0;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/0A00CFF4-21E9-44D7-B027-8BFD5B51EEC0/batches/D7B927DF-7793-486A-BB27-681AABAC4CC0]
568A5329-6D38-413B-8322-85D11ED79A37;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/2E9DD1B1-4252-4D94-8756-125FA56CFF0C/batches/568A5329-6D38-413B-8322-85D11ED79A37]
568A5329-6D38-413B-8322-85D11ED79A37;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/2E9DD1B1-4252-4D94-8756-125FA56CFF0C/batches/568A5329-6D38-413B-8322-85D11ED79A37]
845FB0BE-7BF3-4B18-9BA8-B83006B2AABA;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/0D71C582-11F9-49E6-B1CD-C49DCD355835/batches/845FB0BE-7BF3-4B18-9BA8-B83006B2AABA]
23AE8495-2E8D-4B0C-A26F-3AA8064B87CE;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/0A00CFF4-21E9-44D7-B027-8BFD5B51EEC0/batches/23AE8495-2E8D-4B0C-A26F-3AA8064B87CE]
147ACAB7-7E00-4E13-87AB-34C00E9D8072;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/0D71C582-11F9-49E6-B1CD-C49DCD355835/batches/147ACAB7-7E00-4E13-87AB-34C00E9D8072]
CC44F2B9-B118-4FE5-B88D-492B4920483D;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/7387D903-E89F-41DF-AF0F-08E317CF36A7/batches/CC44F2B9-B118-4FE5-B88D-492B4920483D]
CC44F2B9-B118-4FE5-B88D-492B4920483D;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/7387D903-E89F-41DF-AF0F-08E317CF36A7/batches/CC44F2B9-B118-4FE5-B88D-492B4920483D]
773C3FBF-6FFC-4F15-B951-83256AAE1C4E;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/0D71C582-11F9-49E6-B1CD-C49DCD355835/batches/773C3FBF-6FFC-4F15-B951-83256AAE1C4E]
0CF33F7B-1CD3-4FC4-8DF0-99F7370DF34C;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/0A00CFF4-21E9-44D7-B027-8BFD5B51EEC0/batches/0CF33F7B-1CD3-4FC4-8DF0-99F7370DF34C]
99E1C169-4B9D-4810-93CA-A04BD14E8B88;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/0D71C582-11F9-49E6-B1CD-C49DCD355835/batches/99E1C169-4B9D-4810-93CA-A04BD14E8B88]
1A2DF80B-4CE9-4A2F-862C-638FC546479A;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/manage/0A00CFF4-21E9-44D7-B027-8BFD5B51EEC0/batches/1A2DF80B-4CE9-4A2F-862C-638FC546479A]
