Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 2;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 98;
D0FC5969-DAF3-43D2-961F-C0A985EB691D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/0D522290-5E9F-4A09-B876-DDAF9935757C/batches/D0FC5969-DAF3-43D2-961F-C0A985EB691D]
5D1F16C9-7274-4792-BC41-EF030CDF7E99;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/B4BE0DC9-CECC-4365-BF63-C419AA8BEC89/batches/5D1F16C9-7274-4792-BC41-EF030CDF7E99]
7FD602AE-D55A-4DFE-9E56-7698CC90DB0A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/F3967E37-71A6-4A5D-8AEC-A052BEE39359/batches/7FD602AE-D55A-4DFE-9E56-7698CC90DB0A]
53415CE6-6523-4863-8B60-9743C4D7D06B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/36B04FAE-2962-47EC-841F-9B4DB6B8438A/batches/53415CE6-6523-4863-8B60-9743C4D7D06B]
8B1984F2-E5C6-4323-B961-25CF792EEB6F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/B3637938-31F5-4D02-8448-B11A3C7B7CB8/batches/8B1984F2-E5C6-4323-B961-25CF792EEB6F]
8B17940B-A57D-496F-AC14-A40441E1DB1F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/0830FF52-2329-4031-9C9B-090485FFF7B6/batches/8B17940B-A57D-496F-AC14-A40441E1DB1F]
5724403B-7FD3-44F7-8AA9-2262700F0078;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/48898888-B51A-4540-9F44-9C113E927826/batches/5724403B-7FD3-44F7-8AA9-2262700F0078]
04C83F67-CCAE-4BA7-9356-06258B6946CD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/ED7C428B-9006-4AEA-8603-70BC436067CC/batches/04C83F67-CCAE-4BA7-9356-06258B6946CD]
FE7BB43B-B181-4690-B4DB-474A34A601F1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/1B353406-F33A-43FE-84FF-BAD2A1872830/batches/FE7BB43B-B181-4690-B4DB-474A34A601F1]
BA1D234C-494F-423A-8E62-B890C004DEE9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/ACD83D81-7486-4637-9E4B-B69C81CD02B4/batches/BA1D234C-494F-423A-8E62-B890C004DEE9]
9D304602-D737-4654-A71D-1A72ABFA9666;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/1639EF7A-C92F-45EB-9DC3-80E31A0B201F/batches/9D304602-D737-4654-A71D-1A72ABFA9666]
5C2EF9B9-6A30-4FE7-A76C-3DBAB4574357;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/40B4983D-8330-4795-83F4-3AC94FA11CD7/batches/5C2EF9B9-6A30-4FE7-A76C-3DBAB4574357]
0EB1FA2A-C1F3-4622-9C18-8F67C24CB893;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/A5CD477F-BDE2-47E1-90F1-02DA6F29118F/batches/0EB1FA2A-C1F3-4622-9C18-8F67C24CB893]
E54E0D06-BC6F-402A-9FF6-11FAEE682A7B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/5FDC547F-D366-400E-AB42-C56C2EAA7246/batches/E54E0D06-BC6F-402A-9FF6-11FAEE682A7B]
45811851-62DB-4409-9300-6CDEC26FFBE3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/0C1BFF34-0449-478E-B0AD-F8139523B4A5/batches/45811851-62DB-4409-9300-6CDEC26FFBE3]
94F5C909-FD7B-4FB6-8125-B97FE6BA6319;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/A271B265-198B-40A9-ABE5-78E35ADB390F/batches/94F5C909-FD7B-4FB6-8125-B97FE6BA6319]
F5D8F29A-A237-4A73-8E99-698813D14839;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/634DCD38-01A4-41AD-BC5D-F402DDB67814/batches/F5D8F29A-A237-4A73-8E99-698813D14839]
D544D6AA-E6A8-4557-AE59-E8D5B2ADAE76;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/0C1BFF34-0449-478E-B0AD-F8139523B4A5/batches/D544D6AA-E6A8-4557-AE59-E8D5B2ADAE76]
A0FE001C-2F5D-4F62-9C55-159B9807FFAA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/FEB19D68-76CC-4941-A529-8159DDC64010/batches/A0FE001C-2F5D-4F62-9C55-159B9807FFAA]
F33F3A1B-8108-45E8-8A19-F542F4042925;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/F4969DC8-BA11-4AE4-8BAB-F2418DF589E4/batches/F33F3A1B-8108-45E8-8A19-F542F4042925]
E7FCC3EC-F3F8-4D8D-9E86-92CE9F28FEF2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/ACD83D81-7486-4637-9E4B-B69C81CD02B4/batches/E7FCC3EC-F3F8-4D8D-9E86-92CE9F28FEF2]
96DCC691-8EA8-4B6B-9588-0900A88CEEE6;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/AE9E47DF-8D59-4934-A332-50CED972940F/batches/96DCC691-8EA8-4B6B-9588-0900A88CEEE6]
CDA4A0FA-9729-471A-891E-4A66BCD2D3A5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/2433DE11-C02E-4AC5-9055-24A64AB99541/batches/CDA4A0FA-9729-471A-891E-4A66BCD2D3A5]
F6D45546-D35F-46C7-A1C1-E2E16474EDC2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/13367223-8191-42C7-A310-5C8E56492E29/batches/F6D45546-D35F-46C7-A1C1-E2E16474EDC2]
A9CE9DC5-9C37-4EFE-A0A7-0E5595F522D6;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/34FA70A9-4F59-4E7D-98F9-EA76868A57D0/batches/A9CE9DC5-9C37-4EFE-A0A7-0E5595F522D6]
558791D0-399D-4A31-9781-0735A807B1B9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/83A61784-10E3-4609-8834-77FCB79B15DC/batches/558791D0-399D-4A31-9781-0735A807B1B9]
3287AF3C-1788-4385-B2BD-D62BE7F632FF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/0E783DBC-A9E2-41B7-B15D-4031A8960C52/batches/3287AF3C-1788-4385-B2BD-D62BE7F632FF]
8B9BF871-08F7-4E5E-A182-83BBE50E30A2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/4272444A-13B5-4381-A0BD-99CE114A9FA7/batches/8B9BF871-08F7-4E5E-A182-83BBE50E30A2]
F019F22D-F308-4DBC-8919-011F508D3F81;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/16ED8CA3-E7A5-4484-A15F-4EA9A61AAD4C/manage/334647D2-5B65-4071-AD63-4D76B0709F3F/batches/F019F22D-F308-4DBC-8919-011F508D3F81]
