Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 14;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 1;
104685703 (FA919FCF-66D9-4BE6-8EB2-B8C1702FB294);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17B53F6F-11D5-46CB-9766-3C681AA5E1D2/manage/FA919FCF-66D9-4BE6-8EB2-B8C1702FB294/batches/list]
104685706 (35E7D8CC-0EAC-49F9-815F-573A8FF35761);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17B53F6F-11D5-46CB-9766-3C681AA5E1D2/manage/35E7D8CC-0EAC-49F9-815F-573A8FF35761/batches/list]
104685697 (0D9FA8D7-616B-404F-A5F1-4CE975EC4370);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17B53F6F-11D5-46CB-9766-3C681AA5E1D2/manage/0D9FA8D7-616B-404F-A5F1-4CE975EC4370/batches/list]
104685699 (C6498CE6-45E4-4630-88DF-3D425E5082BA);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17B53F6F-11D5-46CB-9766-3C681AA5E1D2/manage/C6498CE6-45E4-4630-88DF-3D425E5082BA/batches/list]
104685707 (885EC4CC-83E5-42DE-A001-84618D5355CC);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17B53F6F-11D5-46CB-9766-3C681AA5E1D2/manage/885EC4CC-83E5-42DE-A001-84618D5355CC/batches/list]
104685698 (AA6273CE-E541-4F0E-B0CE-5AB9EA5CFA1B);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17B53F6F-11D5-46CB-9766-3C681AA5E1D2/manage/AA6273CE-E541-4F0E-B0CE-5AB9EA5CFA1B/batches/list]
104685701 (FC262ECC-F3E1-4A69-AB8B-D6BDDAE3370C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17B53F6F-11D5-46CB-9766-3C681AA5E1D2/manage/FC262ECC-F3E1-4A69-AB8B-D6BDDAE3370C/batches/list]
104685705 (4F8A8E3D-1033-40F7-88A8-546DD3388BCF);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17B53F6F-11D5-46CB-9766-3C681AA5E1D2/manage/4F8A8E3D-1033-40F7-88A8-546DD3388BCF/batches/list]
