Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 40;
103162786 (F3063D12-BD21-4105-B575-A0067537928E);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/F3063D12-BD21-4105-B575-A0067537928E/batches/list]
103221793 (1A003844-9B45-48CC-8635-021D5551D2D5);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/1A003844-9B45-48CC-8635-021D5551D2D5/batches/list]
103184175 (36AC554C-C2C1-41F3-8318-12F27AA64538);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/36AC554C-C2C1-41F3-8318-12F27AA64538/batches/list]
102920960 (144BA99F-C3A6-444D-9D02-A16C6D904E88);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/144BA99F-C3A6-444D-9D02-A16C6D904E88/batches/list]
103183459 (88311CDB-7817-48D5-AB85-171AAE8C3E02);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/88311CDB-7817-48D5-AB85-171AAE8C3E02/batches/list]
103162894 (A155901C-4A75-4118-9788-0F89D4397718);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/A155901C-4A75-4118-9788-0F89D4397718/batches/list]
102921322 (CA3DDD72-A70D-4F63-8891-CF2B31D3C33C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/CA3DDD72-A70D-4F63-8891-CF2B31D3C33C/batches/list]
102920771 (C93B0310-784E-4430-993B-284A6D9870AD);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/C93B0310-784E-4430-993B-284A6D9870AD/batches/list]
103221672 (2B44C16B-71BF-448E-9584-70F8A1B381AB);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/2B44C16B-71BF-448E-9584-70F8A1B381AB/batches/list]
103162850 (8D3EF70F-BB69-4A41-BCF6-52346E37217A);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/8D3EF70F-BB69-4A41-BCF6-52346E37217A/batches/list]
103198465 (1D118901-301C-42F6-8B03-46DB01504E4C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/1D118901-301C-42F6-8B03-46DB01504E4C/batches/list]
103184699 (00FCC03B-3424-43B4-8657-F335BA911C08);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/00FCC03B-3424-43B4-8657-F335BA911C08/batches/list]
103184425 (266882AA-E01D-4738-9203-19E65E57A748);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/266882AA-E01D-4738-9203-19E65E57A748/batches/list]
103221853 (1BDF6557-3F7D-48E1-97E0-BCD4300E60E7);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/1BDF6557-3F7D-48E1-97E0-BCD4300E60E7/batches/list]
103162798 (CD97A58D-9E00-4598-B6A8-0DB3E55560F6);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/CD97A58D-9E00-4598-B6A8-0DB3E55560F6/batches/list]
103197532 (85707C36-34E1-44E2-A867-60B740825D10);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/85707C36-34E1-44E2-A867-60B740825D10/batches/list]
103162950 (908996D3-C7B8-42E6-9B3B-8C7FC27E49D7);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/908996D3-C7B8-42E6-9B3B-8C7FC27E49D7/batches/list]
103198481 (7399A0EB-6490-432A-88C9-9C3D01F99282);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/7399A0EB-6490-432A-88C9-9C3D01F99282/batches/list]
103183091 (955095F2-4772-4C93-9245-665A86DAA665);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/955095F2-4772-4C93-9245-665A86DAA665/batches/list]
103162947 (AF662E83-A9DE-415B-B12D-0BEE4B1D2273);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/AF662E83-A9DE-415B-B12D-0BEE4B1D2273/batches/list]
103101043 (1AD50939-E9BB-4534-A8B5-5FFA0649CEDD);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/1AD50939-E9BB-4534-A8B5-5FFA0649CEDD/batches/list]
103183594 (C3B39BE4-73F4-4E8F-BF8A-56BC2A0AC57C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/C3B39BE4-73F4-4E8F-BF8A-56BC2A0AC57C/batches/list]
103198220 (2C91B9AB-6C2D-46AF-9DF8-F020D66BFC1D);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/2C91B9AB-6C2D-46AF-9DF8-F020D66BFC1D/batches/list]
103197569 (B08F2390-FEE6-4661-833A-17FE6CAF7F2D);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/B08F2390-FEE6-4661-833A-17FE6CAF7F2D/batches/list]
103163009 (F7E62731-E279-460A-B880-6DDB80578A87);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/F7E62731-E279-460A-B880-6DDB80578A87/batches/list]
103183173 (A6A1EDCD-5F48-49F9-8D16-4DA6B6373774);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/A6A1EDCD-5F48-49F9-8D16-4DA6B6373774/batches/list]
102372468 (A434845C-3913-4046-9943-065689EFF1CD);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/A434845C-3913-4046-9943-065689EFF1CD/batches/list]
103162688 (89ED3F71-92CE-4EEE-9641-6AE10D09B109);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/89ED3F71-92CE-4EEE-9641-6AE10D09B109/batches/list]
102920948 (A6E7F8ED-C7BD-4AD9-BEF2-F4BB51390138);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/A6E7F8ED-C7BD-4AD9-BEF2-F4BB51390138/batches/list]
103198405 (F7396AEC-AACD-4592-93C9-838438240168);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/F7396AEC-AACD-4592-93C9-838438240168/batches/list]
103162995 (4479427C-0AE5-4871-A93E-5FCDA4198635);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/4479427C-0AE5-4871-A93E-5FCDA4198635/batches/list]
103162820 (02B7E93F-6B2E-491C-BA53-D5E45B56146A);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/02B7E93F-6B2E-491C-BA53-D5E45B56146A/batches/list]
102920696 (F1B9CD5A-691D-4ED0-8CB7-D2ECEDDFDF17);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/17C1D51B-28E3-4000-8C6A-79D06C4E503A/manage/F1B9CD5A-691D-4ED0-8CB7-D2ECEDDFDF17/batches/list]
