Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NO_WORKFLOW_STATE: 100;
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;BATCH:NOT_IN_PROJECT: 100;
ReportItem instance counts;;IMAGE:NOT_IN_IMAGE_EXPORT_TABLE: 11;
ReportItem instance counts;;IMAGE:NO_INDEXING_BATCH: 11;
B9DAFB2E-7EA5-42F3-BAA4-441F5D55F2F1;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/776F817D-D7EB-42A5-BA6B-F48C3F6AA7CC/batches/B9DAFB2E-7EA5-42F3-BAA4-441F5D55F2F1]
6B4A532B-73A5-446D-BA77-DB4C75C38D23;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/0029FBB4-32A6-481D-B867-812CEFDF2E17/batches/6B4A532B-73A5-446D-BA77-DB4C75C38D23]
4BCB201E-90AB-4A1A-963C-372EA63B5C26;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/047415AD-58E3-4CA9-AE55-767288343617/batches/4BCB201E-90AB-4A1A-963C-372EA63B5C26]
9E16F747-C420-450C-99CA-6B847F5B04B3;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/5C3E24E1-850D-42EC-8890-8A90D4F617C1/batches/9E16F747-C420-450C-99CA-6B847F5B04B3]
77224896-0FD9-4875-9189-44057E0EA99B;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/5855C287-CBB1-4957-BAAA-AF8FD820EDAE/batches/77224896-0FD9-4875-9189-44057E0EA99B]
E4FF0BED-718D-4ACA-90ED-F6C283761C44;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/01F6D19B-B635-4416-990F-53455EF68171/batches/E4FF0BED-718D-4ACA-90ED-F6C283761C44]
7BBD8CA1-EC88-4D09-905D-AC1E5B4E9DCF;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/BB2D7B9B-AA7D-4562-B1CA-35249C33D3FB/batches/7BBD8CA1-EC88-4D09-905D-AC1E5B4E9DCF]
C31A4A04-E4AC-4BA2-94DD-E3D443D19825;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/05B3327C-E050-417C-A8A9-0FEA0FEE6A9A/batches/C31A4A04-E4AC-4BA2-94DD-E3D443D19825]
774FC41D-B9F7-471D-A3FF-279818E03A89;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/81A00202-C42D-40BC-85E8-83ABE04CDE40/batches/774FC41D-B9F7-471D-A3FF-279818E03A89]
35C8EC0F-5EC1-465E-936D-F57617ABEC30;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/0C331202-A2E6-479B-8F6E-60B82DE3A86E/batches/35C8EC0F-5EC1-465E-936D-F57617ABEC30]
D9E2900E-7BD5-46B7-BFF4-F7557B71A0B1;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/02D2CFB4-C0AD-4949-842C-5BB71AF58810/batches/D9E2900E-7BD5-46B7-BFF4-F7557B71A0B1]
642626BA-44AD-45C7-946C-F2149D1FC83E;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/650BB64C-58CA-413D-8935-75B90E5FFA5C/batches/642626BA-44AD-45C7-946C-F2149D1FC83E]
7D51463A-6599-45B0-A63A-45A5D42A8858;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/9522EFAE-0FE6-4F53-9513-949EFE2FC660/batches/7D51463A-6599-45B0-A63A-45A5D42A8858]
9C909E7D-7219-4989-90C0-B87B7900FB0D;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/A666E9AB-89E7-49CF-B08C-BC787885F488/batches/9C909E7D-7219-4989-90C0-B87B7900FB0D]
76F2A2D1-AF2C-4EA0-AB29-F297EE4F79EA;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/8E58CE34-3132-45D5-8CE9-7BDE6F6C0E84/batches/76F2A2D1-AF2C-4EA0-AB29-F297EE4F79EA]
C2B8E6E3-3486-4657-9744-2382B9644BD9;BATCH;NOT_IN_IMAGE_EXPORT_TABLE\\NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/F00B6A2F-4363-4C30-943D-6B4C50CA0F24/batches/C2B8E6E3-3486-4657-9744-2382B9644BD9]
B6EC8753-90AE-459D-8878-F7E9FA1481FB;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/17F5D269-B419-4BD2-9ADD-901B4AE64B5B/manage/01F6D19B-B635-4416-990F-53455EF68171/batches/B6EC8753-90AE-459D-8878-F7E9FA1481FB]
