Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 6213;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 156;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 156;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
17F99F55-78D7-40DD-84A2-BD0D10BA6351;PROJECT;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/overview]
007513912_00101 (imageset: 78A7A4D2-A325-4956-BE7C-F1DC321EAF5C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/78A7A4D2-A325-4956-BE7C-F1DC321EAF5C/batches/list]
007513912_00100 (imageset: 78A7A4D2-A325-4956-BE7C-F1DC321EAF5C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/78A7A4D2-A325-4956-BE7C-F1DC321EAF5C/batches/list]
007514188_00581 (imageset: 204419D1-3FE2-4D3D-953D-3C80A52C9392);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/204419D1-3FE2-4D3D-953D-3C80A52C9392/batches/list]
007514188_00580 (imageset: 204419D1-3FE2-4D3D-953D-3C80A52C9392);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/204419D1-3FE2-4D3D-953D-3C80A52C9392/batches/list]
007514188_00583 (imageset: 204419D1-3FE2-4D3D-953D-3C80A52C9392);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/204419D1-3FE2-4D3D-953D-3C80A52C9392/batches/list]
007514188_00582 (imageset: 204419D1-3FE2-4D3D-953D-3C80A52C9392);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/204419D1-3FE2-4D3D-953D-3C80A52C9392/batches/list]
007514065_00321 (imageset: A99A0035-3D90-4CA7-B39D-F651A24903A9);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/A99A0035-3D90-4CA7-B39D-F651A24903A9/batches/list]
007514065_00320 (imageset: A99A0035-3D90-4CA7-B39D-F651A24903A9);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/A99A0035-3D90-4CA7-B39D-F651A24903A9/batches/list]
007514065_00323 (imageset: A99A0035-3D90-4CA7-B39D-F651A24903A9);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/A99A0035-3D90-4CA7-B39D-F651A24903A9/batches/list]
007514065_00322 (imageset: A99A0035-3D90-4CA7-B39D-F651A24903A9);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/A99A0035-3D90-4CA7-B39D-F651A24903A9/batches/list]
007514065_00325 (imageset: A99A0035-3D90-4CA7-B39D-F651A24903A9);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/A99A0035-3D90-4CA7-B39D-F651A24903A9/batches/list]
007514065_00324 (imageset: A99A0035-3D90-4CA7-B39D-F651A24903A9);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/A99A0035-3D90-4CA7-B39D-F651A24903A9/batches/list]
007424344_00329 (imageset: F8F6B11E-0D3F-4D82-8D13-12BAB0CD19F2);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/F8F6B11E-0D3F-4D82-8D13-12BAB0CD19F2/batches/list]
007514065_00327 (imageset: A99A0035-3D90-4CA7-B39D-F651A24903A9);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/A99A0035-3D90-4CA7-B39D-F651A24903A9/batches/list]
007514065_00326 (imageset: A99A0035-3D90-4CA7-B39D-F651A24903A9);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/A99A0035-3D90-4CA7-B39D-F651A24903A9/batches/list]
007514065_00329 (imageset: A99A0035-3D90-4CA7-B39D-F651A24903A9);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/A99A0035-3D90-4CA7-B39D-F651A24903A9/batches/list]
007514065_00328 (imageset: A99A0035-3D90-4CA7-B39D-F651A24903A9);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/A99A0035-3D90-4CA7-B39D-F651A24903A9/batches/list]
007424344_00330 (imageset: F8F6B11E-0D3F-4D82-8D13-12BAB0CD19F2);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/F8F6B11E-0D3F-4D82-8D13-12BAB0CD19F2/batches/list]
007424344_00332 (imageset: F8F6B11E-0D3F-4D82-8D13-12BAB0CD19F2);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/F8F6B11E-0D3F-4D82-8D13-12BAB0CD19F2/batches/list]
007424344_00331 (imageset: F8F6B11E-0D3F-4D82-8D13-12BAB0CD19F2);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/F8F6B11E-0D3F-4D82-8D13-12BAB0CD19F2/batches/list]
007424344_00334 (imageset: F8F6B11E-0D3F-4D82-8D13-12BAB0CD19F2);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/F8F6B11E-0D3F-4D82-8D13-12BAB0CD19F2/batches/list]
007424344_00333 (imageset: F8F6B11E-0D3F-4D82-8D13-12BAB0CD19F2);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/F8F6B11E-0D3F-4D82-8D13-12BAB0CD19F2/batches/list]
007424344_00335 (imageset: F8F6B11E-0D3F-4D82-8D13-12BAB0CD19F2);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/F8F6B11E-0D3F-4D82-8D13-12BAB0CD19F2/batches/list]
007514065_00310 (imageset: A99A0035-3D90-4CA7-B39D-F651A24903A9);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/17F99F55-78D7-40DD-84A2-BD0D10BA6351/manage/A99A0035-3D90-4CA7-B39D-F651A24903A9/batches/list]
