Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 874;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 1;
004209651_00049 (imageset: A1ACFB13-F054-4295-938F-95B307C5B4DF);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/A1ACFB13-F054-4295-938F-95B307C5B4DF/batches/list]
004209651_00048 (imageset: A1ACFB13-F054-4295-938F-95B307C5B4DF);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/A1ACFB13-F054-4295-938F-95B307C5B4DF/batches/list]
004209651_00046 (imageset: A1ACFB13-F054-4295-938F-95B307C5B4DF);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/A1ACFB13-F054-4295-938F-95B307C5B4DF/batches/list]
004208049_00002 (imageset: E4DDD0DA-761C-4C5C-9567-5937FCFFEA2C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/E4DDD0DA-761C-4C5C-9567-5937FCFFEA2C/batches/list]
004211486_00006 (imageset: 0237362F-6BC7-46FC-8376-EE5F7B999E73);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/0237362F-6BC7-46FC-8376-EE5F7B999E73/batches/list]
004208049_00001 (imageset: E4DDD0DA-761C-4C5C-9567-5937FCFFEA2C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/E4DDD0DA-761C-4C5C-9567-5937FCFFEA2C/batches/list]
004211481_00001 (imageset: D97BCC76-554C-457A-B857-23639974F781);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/D97BCC76-554C-457A-B857-23639974F781/batches/list]
004211481_00002 (imageset: D97BCC76-554C-457A-B857-23639974F781);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/D97BCC76-554C-457A-B857-23639974F781/batches/list]
004217340_00001 (imageset: 817E8EB9-9693-40B7-A87B-ABE27F561B7A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/817E8EB9-9693-40B7-A87B-ABE27F561B7A/batches/list]
004217358_00002 (imageset: B1FC89A8-9165-4A95-88DB-33653AA05BEA);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/B1FC89A8-9165-4A95-88DB-33653AA05BEA/batches/list]
004208049_00013 (imageset: E4DDD0DA-761C-4C5C-9567-5937FCFFEA2C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/E4DDD0DA-761C-4C5C-9567-5937FCFFEA2C/batches/list]
004217358_00001 (imageset: B1FC89A8-9165-4A95-88DB-33653AA05BEA);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/B1FC89A8-9165-4A95-88DB-33653AA05BEA/batches/list]
004217383_00056 (imageset: 5DA8473D-691B-41DE-8FAA-992C62DFA42D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/5DA8473D-691B-41DE-8FAA-992C62DFA42D/batches/list]
004217294_00001 (imageset: E31E8826-E827-446A-ABCE-92FEC279F098);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/E31E8826-E827-446A-ABCE-92FEC279F098/batches/list]
004209651_00023 (imageset: A1ACFB13-F054-4295-938F-95B307C5B4DF);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/A1ACFB13-F054-4295-938F-95B307C5B4DF/batches/list]
004211486_00035 (imageset: 0237362F-6BC7-46FC-8376-EE5F7B999E73);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/0237362F-6BC7-46FC-8376-EE5F7B999E73/batches/list]
004209651_00020 (imageset: A1ACFB13-F054-4295-938F-95B307C5B4DF);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/180E49FD-2D50-41CB-89C4-6B89B1D4C68C/manage/A1ACFB13-F054-4295-938F-95B307C5B4DF/batches/list]
