Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE: 45;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 6000;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 314;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 5686;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 6000;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
B23836D1-6D8D-43E7-8210-2746C8B7CEC9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1823203C-7D30-4138-9D0E-F08F6D642682/manage/C754F302-D647-49A3-9785-72E6031F622C/batches/B23836D1-6D8D-43E7-8210-2746C8B7CEC9]
B3AD90B7-1970-49A8-9F5D-E8A1A6A1F1C2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1823203C-7D30-4138-9D0E-F08F6D642682/manage/0424F3D7-0C90-4120-9667-A238D1B3499A/batches/B3AD90B7-1970-49A8-9F5D-E8A1A6A1F1C2]
12E0347C-9A6E-4576-93B2-484EA83CFB4B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/1823203C-7D30-4138-9D0E-F08F6D642682/manage/75A1CE95-9F41-4A84-9B3C-986A5AA37AF7/batches/12E0347C-9A6E-4576-93B2-484EA83CFB4B]
