Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
105187784_02922 (imageset: 6A18220B-013A-4F20-B610-F4407B1D6915);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/1CAB89D0-3CEF-4772-B626-8B16B7E03588/manage/6A18220B-013A-4F20-B610-F4407B1D6915/batches/B2E7C61D-2D0E-4BF8-A803-E15FC5DD3623]
105187800_02600 (imageset: 4194B918-0D8D-49C4-A300-B42C343A48AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/1CAB89D0-3CEF-4772-B626-8B16B7E03588/manage/4194B918-0D8D-49C4-A300-B42C343A48AF/batches/4291C304-B4B9-4A09-9889-EB83C20971F4]
105187799_01564 (imageset: E88BB20A-FE0C-46CC-8229-349040C30992);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/1CAB89D0-3CEF-4772-B626-8B16B7E03588/manage/E88BB20A-FE0C-46CC-8229-349040C30992/batches/7F9A2C52-1BBE-4D34-B5A5-560A0FF6912B]
105187800_03952 (imageset: 4194B918-0D8D-49C4-A300-B42C343A48AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/1CAB89D0-3CEF-4772-B626-8B16B7E03588/manage/4194B918-0D8D-49C4-A300-B42C343A48AF/batches/4708F550-4FAC-4865-8F21-128CE3FB52E8]
105187800_00787 (imageset: 4194B918-0D8D-49C4-A300-B42C343A48AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/1CAB89D0-3CEF-4772-B626-8B16B7E03588/manage/4194B918-0D8D-49C4-A300-B42C343A48AF/batches/B9C6A375-5705-4180-B9E6-5931F999EA21]
105208580_00944 (imageset: B62AE5F2-1185-4400-998F-2C66C79C9AA8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/1CAB89D0-3CEF-4772-B626-8B16B7E03588/manage/B62AE5F2-1185-4400-998F-2C66C79C9AA8/batches/593F8FC8-6013-4388-AE85-3FA613545F73]
105187801_01579 (imageset: 09E599C7-40BB-4401-A75A-A718D49D0D1C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/1CAB89D0-3CEF-4772-B626-8B16B7E03588/manage/09E599C7-40BB-4401-A75A-A718D49D0D1C/batches/AB7F393E-2A68-43ED-AD9D-6CEF840F3B9C]
105187800_01982 (imageset: 4194B918-0D8D-49C4-A300-B42C343A48AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/1CAB89D0-3CEF-4772-B626-8B16B7E03588/manage/4194B918-0D8D-49C4-A300-B42C343A48AF/batches/8B8AC211-6E1A-42E8-A195-DCE3A9E53AB9]
105187799_03683 (imageset: E88BB20A-FE0C-46CC-8229-349040C30992);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/1CAB89D0-3CEF-4772-B626-8B16B7E03588/manage/E88BB20A-FE0C-46CC-8229-349040C30992/batches/68BD253C-4F8F-462C-A497-7EB6004C7FC8]
