dgs;Traveler: Project;Rosetta Assigned Project;Rosetta State;IDX Assigned Project;imageset;Project State;Projects with no Imageset workflow
004001410;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[D3A053D7-809C-4269-B979-903643BAEC9A|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/D3A053D7-809C-4269-B979-903643BAEC9A/batches/list];READY_FOR_WORK;
004006314;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[7D55545E-B89D-496C-AA41-6E589D33588A|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/7D55545E-B89D-496C-AA41-6E589D33588A/batches/list];READY_FOR_WORK;
004011602;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[67D35680-DE34-4BBD-9E66-DFA123540450|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/67D35680-DE34-4BBD-9E66-DFA123540450/batches/list];READY_FOR_WORK;
004011604;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[E3A9F0AA-E91B-4E4B-AF6E-75078BDF7E21|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/E3A9F0AA-E91B-4E4B-AF6E-75078BDF7E21/batches/list];READY_FOR_WORK;
004030937;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[4DC56829-D8BE-4CB7-983F-EA079BAAF2DC|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/4DC56829-D8BE-4CB7-983F-EA079BAAF2DC/batches/list];READY_FOR_WORK;
004030939;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[30DE8071-B978-4174-9D8C-EAEAC6515640|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/30DE8071-B978-4174-9D8C-EAEAC6515640/batches/list];READY_FOR_WORK;
004030940;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[52E83694-B5F9-42BD-9B06-93C3697A7611|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/52E83694-B5F9-42BD-9B06-93C3697A7611/batches/list];READY_FOR_WORK;
004030941;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[1E748BC4-C73A-4AE8-91BC-37C9E84A3139|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/1E748BC4-C73A-4AE8-91BC-37C9E84A3139/batches/list];READY_FOR_WORK;
004030942;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[E3614188-6C98-4D71-BB3E-369CD3117A0F|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/E3614188-6C98-4D71-BB3E-369CD3117A0F/batches/list];READY_FOR_WORK;
004030944;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[6A3B63C6-77A2-466D-8E47-E04CE4C7DFAB|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/6A3B63C6-77A2-466D-8E47-E04CE4C7DFAB/batches/list];READY_FOR_WORK;
004030945;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[D1AB1BAC-A105-4E81-A718-43B9C45B559B|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/D1AB1BAC-A105-4E81-A718-43B9C45B559B/batches/list];READY_FOR_WORK;
004030947;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[636DA10E-31F3-4F28-855F-27BB7AD90BB0|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/636DA10E-31F3-4F28-855F-27BB7AD90BB0/batches/list];READY_FOR_WORK;
004030966;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[1F0EB085-529A-4D9F-8565-C85FBF528623|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/1F0EB085-529A-4D9F-8565-C85FBF528623/batches/list];READY_FOR_WORK;
004030968;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[BDF07F09-6CA5-4DA8-905C-5DE6D2CD79DF|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/BDF07F09-6CA5-4DA8-905C-5DE6D2CD79DF/batches/list];READY_FOR_WORK;
004030971;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[DAAFCE1C-6EF4-4193-A139-70BBEF326250|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/DAAFCE1C-6EF4-4193-A139-70BBEF326250/batches/list];READY_FOR_WORK;
004030974;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[4A557EC2-7871-4909-977C-6308B293F352|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/4A557EC2-7871-4909-977C-6308B293F352/batches/list];READY_FOR_WORK;
004030976;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[479082AD-6EBE-4D54-A164-BADF8C5F9EE4|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/479082AD-6EBE-4D54-A164-BADF8C5F9EE4/batches/list];READY_FOR_WORK;
004030978;20-0093: England, Middlesex Parish Registers, 1539-1988 - FSI;;;[UK, England, Middlesex—Parish Registers, 1539–1988|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/overview];[FA014FAF-8AC5-4B8D-B62F-D8FB177C5CDD|https://www.familysearch.org/indexing/admin-new/#/projects/83DE46B3-042C-47DB-B625-02FAF2CD7365/manage/FA014FAF-8AC5-4B8D-B62F-D8FB177C5CDD/batches/list];READY_FOR_WORK;
