Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 290;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 5710;
C77A1AE7-9806-45F0-9A96-CC14D08770B3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/C5F92BCE-02F0-4824-9731-EC007F9898BF/batches/C77A1AE7-9806-45F0-9A96-CC14D08770B3]
20FB83C5-9E0A-4CF2-9100-B1837B12401B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/A144C11A-F0AF-472C-8140-79154B5143A0/batches/20FB83C5-9E0A-4CF2-9100-B1837B12401B]
E1C62BAB-8386-4B98-B8F0-2A9ED8C1930D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/4084B369-F41E-487E-BAE6-9AB88617A4AD/batches/E1C62BAB-8386-4B98-B8F0-2A9ED8C1930D]
0AFC7826-F365-470D-9DF3-243DFBE0D63A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/F71D95C5-9100-4F1C-946B-28E76A9E3D96/batches/0AFC7826-F365-470D-9DF3-243DFBE0D63A]
EC9279C4-A678-4A40-983F-FFB3F36BDB95;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/D282A4C7-9A94-4CC6-BAE9-EEE00FDEF825/batches/EC9279C4-A678-4A40-983F-FFB3F36BDB95]
17708D43-2C03-4ED9-8C97-C9CA1C1D9E11;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/96CA5B97-5D3E-4406-AB87-66DAEE38D9F1/batches/17708D43-2C03-4ED9-8C97-C9CA1C1D9E11]
C47EC18C-3960-4FA9-A42F-C91F7A8BC8CF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/91D11183-8875-48D5-B80E-22DEE486A05C/batches/C47EC18C-3960-4FA9-A42F-C91F7A8BC8CF]
15604985-45ED-468F-87C3-CB0D1B5CF963;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/8D724B6F-137D-4060-979F-D3DE443E1EAC/batches/15604985-45ED-468F-87C3-CB0D1B5CF963]
D5A3FCEA-E0DA-469F-BEFC-8E21A7DFB8EB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/B9EC6CCE-8342-4106-8EBC-DE4131898587/batches/D5A3FCEA-E0DA-469F-BEFC-8E21A7DFB8EB]
D6CE9C0C-111E-4E94-B0C3-626A354AD97F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/FCF6CA67-8754-49EA-BBE9-BC155E3B60E5/batches/D6CE9C0C-111E-4E94-B0C3-626A354AD97F]
7716C463-1F6E-46A5-886E-50C237F1A6A5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/14888D39-86AD-48A9-8E98-EBEFB177E739/batches/7716C463-1F6E-46A5-886E-50C237F1A6A5]
76931CCC-81C8-451C-9B36-492638AF5A9B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/04D50A93-1851-4489-8F43-A9D4A8E3EC6B/batches/76931CCC-81C8-451C-9B36-492638AF5A9B]
3E064D03-19E9-49F9-8B4C-A8781AD3F360;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/14888D39-86AD-48A9-8E98-EBEFB177E739/batches/3E064D03-19E9-49F9-8B4C-A8781AD3F360]
D3067C16-45E9-4F2F-A6C7-71AB080AE24B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/E7674DC6-4B24-4F94-805C-9F5EC339262C/batches/D3067C16-45E9-4F2F-A6C7-71AB080AE24B]
7013CB74-7E97-4EEB-9AA6-7E210D227830;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/176283AF-87C5-4D85-920D-7AFBBD2EC971/batches/7013CB74-7E97-4EEB-9AA6-7E210D227830]
5B8C811F-9F2C-4E42-92B7-9F544E84BDA7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/0E246051-C552-45A2-AF21-F973C8F4F1F0/batches/5B8C811F-9F2C-4E42-92B7-9F544E84BDA7]
4B527B09-ECCA-4772-8C1F-27EC929DE4F5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/BEFED0A9-8468-4F9E-B2B9-FC99CAF61576/batches/4B527B09-ECCA-4772-8C1F-27EC929DE4F5]
73E50C2F-548F-4715-BB9B-A07599C009CB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/FCF6CA67-8754-49EA-BBE9-BC155E3B60E5/batches/73E50C2F-548F-4715-BB9B-A07599C009CB]
5D86FF89-8A99-42E7-B1E8-784BB5D352B9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/064882B2-C801-4F04-912F-56F1FD30AB8A/batches/5D86FF89-8A99-42E7-B1E8-784BB5D352B9]
250222D1-5221-4AB7-82B0-04A3E0B1E5C4;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/1C9DC39E-5193-42B6-99E3-31FEA80883E0/batches/250222D1-5221-4AB7-82B0-04A3E0B1E5C4]
F64D6802-1A30-4FED-93F0-C295CF833F77;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/7E0F6CCD-E9D2-48FE-8BBF-90FB678C08F0/batches/F64D6802-1A30-4FED-93F0-C295CF833F77]
B5A426A1-FE5F-4913-83A6-24F861510613;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/FD44148B-B699-43FD-91BD-00A7EA6563DD/batches/B5A426A1-FE5F-4913-83A6-24F861510613]
B0609F8A-2F08-410E-BF06-AF340E59B5E1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/46F430E9-5D0A-49E7-8E97-0CE6A59146CC/batches/B0609F8A-2F08-410E-BF06-AF340E59B5E1]
60E937D0-CE88-4F55-9E9D-0A8315517D5B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/96CA5B97-5D3E-4406-AB87-66DAEE38D9F1/batches/60E937D0-CE88-4F55-9E9D-0A8315517D5B]
02EA0B76-7DC5-4E79-AA55-84ED2DAAEBCE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/D641C930-8CDD-435A-BD0F-032B74859208/batches/02EA0B76-7DC5-4E79-AA55-84ED2DAAEBCE]
3B5C8D81-049E-45D0-BEDE-1B213C5CDFCB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/F9A69A09-AA69-405E-AEEC-FB08527169DD/batches/3B5C8D81-049E-45D0-BEDE-1B213C5CDFCB]
F2A4E372-04C6-477E-9554-E45C856C3239;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/0A7A4FD8-63FC-4B23-8285-6A96A4FCFF91/batches/F2A4E372-04C6-477E-9554-E45C856C3239]
286586D4-F0A7-47BE-9EF2-933FF76CCDFA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/91D11183-8875-48D5-B80E-22DEE486A05C/batches/286586D4-F0A7-47BE-9EF2-933FF76CCDFA]
74D3AD86-C31B-4DA9-99D1-4782BC693592;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/206326A1-5F23-461B-AEA6-BEE84E5F20CF/manage/7F36A8D7-898F-48E1-A709-455796F6AA3C/batches/74D3AD86-C31B-4DA9-99D1-4782BC693592]
