Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 17;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 2921;
105786131_00041 (imageset: 114AC298-7B90-4AD8-BCBA-357E785CD265);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/210E5CFC-D88D-4546-A81B-D6611BAB7918/manage/114AC298-7B90-4AD8-BCBA-357E785CD265/batches/0DEC611D-F090-4142-ACBA-B491B3B21D54]
105786131_00044 (imageset: 114AC298-7B90-4AD8-BCBA-357E785CD265);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/210E5CFC-D88D-4546-A81B-D6611BAB7918/manage/114AC298-7B90-4AD8-BCBA-357E785CD265/batches/0DEC611D-F090-4142-ACBA-B491B3B21D54]
105630182_00094 (imageset: B4A2C2AB-7F53-4AE4-BA91-F7EBA87C1FED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/210E5CFC-D88D-4546-A81B-D6611BAB7918/manage/B4A2C2AB-7F53-4AE4-BA91-F7EBA87C1FED/batches/08A74CA3-50A7-495F-9FC7-FF85BBEE1548]
105630182_00093 (imageset: B4A2C2AB-7F53-4AE4-BA91-F7EBA87C1FED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/210E5CFC-D88D-4546-A81B-D6611BAB7918/manage/B4A2C2AB-7F53-4AE4-BA91-F7EBA87C1FED/batches/08A74CA3-50A7-495F-9FC7-FF85BBEE1548]
105630182_00096 (imageset: B4A2C2AB-7F53-4AE4-BA91-F7EBA87C1FED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/210E5CFC-D88D-4546-A81B-D6611BAB7918/manage/B4A2C2AB-7F53-4AE4-BA91-F7EBA87C1FED/batches/DC7CE4BB-918E-4A30-902F-7C29194CEA95]
105630182_00095 (imageset: B4A2C2AB-7F53-4AE4-BA91-F7EBA87C1FED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/210E5CFC-D88D-4546-A81B-D6611BAB7918/manage/B4A2C2AB-7F53-4AE4-BA91-F7EBA87C1FED/batches/DC7CE4BB-918E-4A30-902F-7C29194CEA95]
105630182_00090 (imageset: B4A2C2AB-7F53-4AE4-BA91-F7EBA87C1FED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/210E5CFC-D88D-4546-A81B-D6611BAB7918/manage/B4A2C2AB-7F53-4AE4-BA91-F7EBA87C1FED/batches/D8B4000D-4B6F-452D-A554-0AD0556E964B]
105630117_00156 (imageset: C26547D9-B7E4-4B34-8F50-C8653F2A6D30);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/210E5CFC-D88D-4546-A81B-D6611BAB7918/manage/C26547D9-B7E4-4B34-8F50-C8653F2A6D30/batches/98F02A8A-32CD-4D64-81B8-944A4C7126DF]
