Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
102707781_00128 (imageset: CE5B8A2E-031E-455F-8079-6D74752B8742);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/CE5B8A2E-031E-455F-8079-6D74752B8742/batches/4B22631F-47B1-4D1E-9D5D-EA1B91D61BC0]
102707830_00172 (imageset: 383DAEA7-D076-48CC-AB46-374AF3E96AA1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/383DAEA7-D076-48CC-AB46-374AF3E96AA1/batches/2C25FF0B-A330-4878-A6C5-B6CF390897BB]
102707860_00063 (imageset: 0F58E37E-EF6D-4021-BAE3-E27A6D508A04);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/0F58E37E-EF6D-4021-BAE3-E27A6D508A04/batches/071180D8-955D-45D8-9764-DB9AFD303365]
102707266_00004 (imageset: BBABE445-34AA-4C3A-AA23-F28D2BE36C43);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/BBABE445-34AA-4C3A-AA23-F28D2BE36C43/batches/A8FB91C8-A50B-41AE-9803-EDCDF74B52FF]
102708154_00097 (imageset: 28026254-0293-4885-9109-77904A72D6FA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/28026254-0293-4885-9109-77904A72D6FA/batches/A74E5548-9F4F-43F6-B59B-40996DAFB1D5]
102708160_00060 (imageset: 5A293EB5-2946-46CB-AE1A-06D717BCDD2F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/5A293EB5-2946-46CB-AE1A-06D717BCDD2F/batches/48EA341B-2EF9-4F77-BBCA-70351DC5B8EE]
102708162_00024 (imageset: 5AC2E54D-D0D4-4B2F-ABCB-24C3EE6F9C2F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/5AC2E54D-D0D4-4B2F-ABCB-24C3EE6F9C2F/batches/BA72DF9F-6328-4C0B-A8DB-2DCF6E7491A3]
102707868_00086 (imageset: AF65511C-86F6-43C6-85A6-4294610EC9A4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/AF65511C-86F6-43C6-85A6-4294610EC9A4/batches/67C4180A-A849-4E33-BE92-E6589B8DF964]
102707253_00153 (imageset: 6DD0A614-2918-49B8-A23C-72CF727D0481);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/6DD0A614-2918-49B8-A23C-72CF727D0481/batches/90960403-0266-4695-BAEB-E522A2069865]
102708211_00139 (imageset: A3C54D88-7C61-4541-91D8-61630C6C3F03);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/A3C54D88-7C61-4541-91D8-61630C6C3F03/batches/A5D8C91D-BC1B-40CE-ABBE-EC6752A8847F]
102707239_00004 (imageset: BE38C268-2EBB-4FD9-A758-C1BCA5B6EEC4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/BE38C268-2EBB-4FD9-A758-C1BCA5B6EEC4/batches/65DE32A7-3710-4E53-AEBC-AA42A0422729]
102708203_00159 (imageset: FCB8E433-239B-4C77-B247-8440735F78A0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/FCB8E433-239B-4C77-B247-8440735F78A0/batches/11457223-FD85-419D-AE6E-8DC66A4B307B]
102707261_00303 (imageset: C336E0E0-6F44-429D-8BD8-73EF1AFF2B10);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/C336E0E0-6F44-429D-8BD8-73EF1AFF2B10/batches/3EDA604F-44BD-4E05-8213-289FC762E08A]
102708211_00033 (imageset: A3C54D88-7C61-4541-91D8-61630C6C3F03);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/A3C54D88-7C61-4541-91D8-61630C6C3F03/batches/2990D971-6FAF-4339-8BB4-8309B437627E]
102707333_00136 (imageset: 4B4107E6-72EF-425B-AD87-9E180746B42D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/4B4107E6-72EF-425B-AD87-9E180746B42D/batches/A35FE7F3-6D41-41A3-821B-4CCABB49BD7E]
102707347_00229 (imageset: E5050482-7A0A-4447-8641-8E2841C35ED6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/E5050482-7A0A-4447-8641-8E2841C35ED6/batches/E8F92664-90C0-4F91-802E-17161E1222A8]
102708211_00172 (imageset: A3C54D88-7C61-4541-91D8-61630C6C3F03);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/A3C54D88-7C61-4541-91D8-61630C6C3F03/batches/F1267173-A839-42F4-8302-DCBFE0BB4D00]
102707264_00303 (imageset: 4B6FDB18-6A09-4D7C-BF86-9492C1B18ECF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/4B6FDB18-6A09-4D7C-BF86-9492C1B18ECF/batches/77F3EA28-30C2-4B90-9C58-E86FC17F9E23]
102708164_00137 (imageset: A1CED270-A5BA-4E26-92A0-D9F6D2245DAF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/A1CED270-A5BA-4E26-92A0-D9F6D2245DAF/batches/5689A336-8646-43B3-860C-ACD11A2E429F]
102708159_00214 (imageset: B0354B23-CFB9-4079-9FD9-9BCB01751AD8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/223070EB-F391-4C7D-8D33-66056E4E26E8/manage/B0354B23-CFB9-4079-9FD9-9BCB01751AD8/batches/1FD5D39E-AC56-4643-9B60-8DCAE2448D9B]
