Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH_HAS_UNINDEXED_IMAGES: 1;
ReportItem instance counts;;BATCH_HAS_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;IMAGE_HAS_NOT_BEEN_INDEXED: 4806;
F10D2553-ADD8-412E-B0CD-650583892D62;BATCH;BATCH_HAS_TOO_MANY_IMAGES \\ BATCH_HAS_UNINDEXED_IMAGES;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05292 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05291 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05290 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05299 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05298 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05297 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05296 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05295 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05294 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05293 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_01700 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_01707 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_01708 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_01705 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_01706 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_01703 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_01704 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_01701 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_01702 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05270 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05278 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05277 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05276 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05275 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05274 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05273 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
005248436_05272 (imageset: C996EC61-119A-443C-B8E0-1816CE3B9923);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/manage/C996EC61-119A-443C-B8E0-1816CE3B9923/batches/F10D2553-ADD8-412E-B0CD-650583892D62]
