Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 5270;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 69;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 69;
004280180_00261 (imageset: 6EF6D392-3879-467C-8349-D875B6EC6A92);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/26DE739D-EDC5-4941-B591-92D6B0CF73D3/manage/6EF6D392-3879-467C-8349-D875B6EC6A92/batches/list]
004280180_00260 (imageset: 6EF6D392-3879-467C-8349-D875B6EC6A92);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/26DE739D-EDC5-4941-B591-92D6B0CF73D3/manage/6EF6D392-3879-467C-8349-D875B6EC6A92/batches/list]
004280180_00265 (imageset: 6EF6D392-3879-467C-8349-D875B6EC6A92);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/26DE739D-EDC5-4941-B591-92D6B0CF73D3/manage/6EF6D392-3879-467C-8349-D875B6EC6A92/batches/list]
004280180_00264 (imageset: 6EF6D392-3879-467C-8349-D875B6EC6A92);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/26DE739D-EDC5-4941-B591-92D6B0CF73D3/manage/6EF6D392-3879-467C-8349-D875B6EC6A92/batches/list]
004255814_00001 (imageset: C866972A-6F17-4854-92AB-CF466BE9BED9);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/26DE739D-EDC5-4941-B591-92D6B0CF73D3/manage/C866972A-6F17-4854-92AB-CF466BE9BED9/batches/list]
004280180_00263 (imageset: 6EF6D392-3879-467C-8349-D875B6EC6A92);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/26DE739D-EDC5-4941-B591-92D6B0CF73D3/manage/6EF6D392-3879-467C-8349-D875B6EC6A92/batches/list]
004255814_00002 (imageset: C866972A-6F17-4854-92AB-CF466BE9BED9);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/26DE739D-EDC5-4941-B591-92D6B0CF73D3/manage/C866972A-6F17-4854-92AB-CF466BE9BED9/batches/list]
004280180_00262 (imageset: 6EF6D392-3879-467C-8349-D875B6EC6A92);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/26DE739D-EDC5-4941-B591-92D6B0CF73D3/manage/6EF6D392-3879-467C-8349-D875B6EC6A92/batches/list]
004255814_00003 (imageset: C866972A-6F17-4854-92AB-CF466BE9BED9);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/26DE739D-EDC5-4941-B591-92D6B0CF73D3/manage/C866972A-6F17-4854-92AB-CF466BE9BED9/batches/list]
004279478_00166 (imageset: 7A905E52-B782-4171-9F48-F5C6B89E57C8);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/26DE739D-EDC5-4941-B591-92D6B0CF73D3/manage/7A905E52-B782-4171-9F48-F5C6B89E57C8/batches/list]
004279478_00165 (imageset: 7A905E52-B782-4171-9F48-F5C6B89E57C8);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/26DE739D-EDC5-4941-B591-92D6B0CF73D3/manage/7A905E52-B782-4171-9F48-F5C6B89E57C8/batches/list]
004279478_00168 (imageset: 7A905E52-B782-4171-9F48-F5C6B89E57C8);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/26DE739D-EDC5-4941-B591-92D6B0CF73D3/manage/7A905E52-B782-4171-9F48-F5C6B89E57C8/batches/list]
004279478_00167 (imageset: 7A905E52-B782-4171-9F48-F5C6B89E57C8);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/26DE739D-EDC5-4941-B591-92D6B0CF73D3/manage/7A905E52-B782-4171-9F48-F5C6B89E57C8/batches/list]
004311760_00269 (imageset: 3B2F1F73-A0F9-4EB7-9820-2006F9284D33);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/26DE739D-EDC5-4941-B591-92D6B0CF73D3/manage/3B2F1F73-A0F9-4EB7-9820-2006F9284D33/batches/list]
004279478_00169 (imageset: 7A905E52-B782-4171-9F48-F5C6B89E57C8);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/26DE739D-EDC5-4941-B591-92D6B0CF73D3/manage/7A905E52-B782-4171-9F48-F5C6B89E57C8/batches/list]
