Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
007904973_00899 (imageset: 8267D375-8579-400F-AE3B-F87E21EED67E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2CC41CCE-20DB-4300-B984-DE392D01FD23/manage/8267D375-8579-400F-AE3B-F87E21EED67E/batches/5216856C-5B49-45B4-870D-BDBD801901B6]
007904973_00888 (imageset: 8267D375-8579-400F-AE3B-F87E21EED67E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2CC41CCE-20DB-4300-B984-DE392D01FD23/manage/8267D375-8579-400F-AE3B-F87E21EED67E/batches/5216856C-5B49-45B4-870D-BDBD801901B6]
008098887_00247 (imageset: A7A914B0-E9AB-4FAA-BA95-4C7194CE2A19);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2CC41CCE-20DB-4300-B984-DE392D01FD23/manage/A7A914B0-E9AB-4FAA-BA95-4C7194CE2A19/batches/9B2BB9C1-5393-4B27-91DC-13393F13FB59]
007904973_00897 (imageset: 8267D375-8579-400F-AE3B-F87E21EED67E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2CC41CCE-20DB-4300-B984-DE392D01FD23/manage/8267D375-8579-400F-AE3B-F87E21EED67E/batches/5216856C-5B49-45B4-870D-BDBD801901B6]
007904973_00886 (imageset: 8267D375-8579-400F-AE3B-F87E21EED67E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2CC41CCE-20DB-4300-B984-DE392D01FD23/manage/8267D375-8579-400F-AE3B-F87E21EED67E/batches/5216856C-5B49-45B4-870D-BDBD801901B6]
007904973_00898 (imageset: 8267D375-8579-400F-AE3B-F87E21EED67E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2CC41CCE-20DB-4300-B984-DE392D01FD23/manage/8267D375-8579-400F-AE3B-F87E21EED67E/batches/5216856C-5B49-45B4-870D-BDBD801901B6]
007904973_00887 (imageset: 8267D375-8579-400F-AE3B-F87E21EED67E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2CC41CCE-20DB-4300-B984-DE392D01FD23/manage/8267D375-8579-400F-AE3B-F87E21EED67E/batches/5216856C-5B49-45B4-870D-BDBD801901B6]
007904973_00895 (imageset: 8267D375-8579-400F-AE3B-F87E21EED67E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2CC41CCE-20DB-4300-B984-DE392D01FD23/manage/8267D375-8579-400F-AE3B-F87E21EED67E/batches/5216856C-5B49-45B4-870D-BDBD801901B6]
007904973_00896 (imageset: 8267D375-8579-400F-AE3B-F87E21EED67E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2CC41CCE-20DB-4300-B984-DE392D01FD23/manage/8267D375-8579-400F-AE3B-F87E21EED67E/batches/5216856C-5B49-45B4-870D-BDBD801901B6]
007904973_00885 (imageset: 8267D375-8579-400F-AE3B-F87E21EED67E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2CC41CCE-20DB-4300-B984-DE392D01FD23/manage/8267D375-8579-400F-AE3B-F87E21EED67E/batches/5216856C-5B49-45B4-870D-BDBD801901B6]
