Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 19;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
103140759 (71B47EBC-AE1B-418D-A99E-8952DA7261D3);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/71B47EBC-AE1B-418D-A99E-8952DA7261D3/batches/list]
103140731 (CC3CC50D-45AC-4F4D-9E4E-4F8D21DB0551);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/CC3CC50D-45AC-4F4D-9E4E-4F8D21DB0551/batches/list]
103140773 (CFFDB27E-F591-4C58-949C-75D7A87EC1FC);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/CFFDB27E-F591-4C58-949C-75D7A87EC1FC/batches/list]
103140748 (AA044F54-F8B4-47E5-A062-426B7C81ACCA);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/AA044F54-F8B4-47E5-A062-426B7C81ACCA/batches/list]
103140747 (9FA9C84D-1E0D-4003-8E19-5CBEF604A07D);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/9FA9C84D-1E0D-4003-8E19-5CBEF604A07D/batches/list]
103140732 (F80A6B3E-FA25-4AA0-B38C-55CA0DB90610);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/F80A6B3E-FA25-4AA0-B38C-55CA0DB90610/batches/list]
103140729 (E5835800-A634-4464-A1A6-DEB574A71B80);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/E5835800-A634-4464-A1A6-DEB574A71B80/batches/list]
103140760 (D6ACFA34-BA6A-463D-B829-6A4A088DB7EB);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/D6ACFA34-BA6A-463D-B829-6A4A088DB7EB/batches/list]
103140740 (6B63558C-A5B2-483B-A714-6AE33A404898);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/6B63558C-A5B2-483B-A714-6AE33A404898/batches/list]
103140767 (C95FD538-220D-496D-BAAD-01B312355B79);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/C95FD538-220D-496D-BAAD-01B312355B79/batches/list]
103140742 (77A3D77E-FA36-4A07-AE05-E2314E8D6E9F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/77A3D77E-FA36-4A07-AE05-E2314E8D6E9F/batches/list]
103140724 (1E83E528-7A1C-4815-A68E-D0352621A8E4);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/1E83E528-7A1C-4815-A68E-D0352621A8E4/batches/list]
103140736 (9A9F7ECD-DC93-4271-B7D1-977DDC314BEE);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/9A9F7ECD-DC93-4271-B7D1-977DDC314BEE/batches/list]
103140758 (E3FEDF6A-0719-4493-8EF4-CC11B417ACBA);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/E3FEDF6A-0719-4493-8EF4-CC11B417ACBA/batches/list]
103140737 (87C41E24-5BCD-47DD-B56D-2638594DFF69);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/87C41E24-5BCD-47DD-B56D-2638594DFF69/batches/list]
103140770 (7C6BEA22-8D2B-476B-B51C-C0AFE8AA6444);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/7C6BEA22-8D2B-476B-B51C-C0AFE8AA6444/batches/list]
103140774 (AA3D9957-510B-42CA-963A-C968A3301627);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/AA3D9957-510B-42CA-963A-C968A3301627/batches/list]
103140741 (6C5AAE96-1504-47BD-BC4B-F51D477248B4);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/6C5AAE96-1504-47BD-BC4B-F51D477248B4/batches/list]
103140745 (5A99141C-5D1A-4A26-B316-A1D744AB5390);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/5A99141C-5D1A-4A26-B316-A1D744AB5390/batches/list]
103140759_00672 (imageset: 71B47EBC-AE1B-418D-A99E-8952DA7261D3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/71B47EBC-AE1B-418D-A99E-8952DA7261D3/batches/25FDE29D-C214-4FDD-B590-DEA76FF9F657]
103140759_00630 (imageset: 71B47EBC-AE1B-418D-A99E-8952DA7261D3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/71B47EBC-AE1B-418D-A99E-8952DA7261D3/batches/5A2F452E-958D-46A7-AC40-95D05472DCE7]
103140759_00974 (imageset: 71B47EBC-AE1B-418D-A99E-8952DA7261D3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/71B47EBC-AE1B-418D-A99E-8952DA7261D3/batches/9078814E-5635-43AD-9C90-3C867740817A]
103140758_00441 (imageset: E3FEDF6A-0719-4493-8EF4-CC11B417ACBA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/E3FEDF6A-0719-4493-8EF4-CC11B417ACBA/batches/78AC7D61-7E74-4E36-A645-AFB47274DC72]
103140759_00050 (imageset: 71B47EBC-AE1B-418D-A99E-8952DA7261D3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/71B47EBC-AE1B-418D-A99E-8952DA7261D3/batches/C3EF0B84-88E2-4A44-854F-A5342F8E6FA1]
103140758_00800 (imageset: E3FEDF6A-0719-4493-8EF4-CC11B417ACBA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/E3FEDF6A-0719-4493-8EF4-CC11B417ACBA/batches/53D6F878-570F-4C06-B908-316D50A2930A]
103140759_00473 (imageset: 71B47EBC-AE1B-418D-A99E-8952DA7261D3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/71B47EBC-AE1B-418D-A99E-8952DA7261D3/batches/803D2F7D-D9B6-40D0-B932-D15267AC6DF7]
103140758_00821 (imageset: E3FEDF6A-0719-4493-8EF4-CC11B417ACBA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2D5C4F3B-29E7-4D43-AB3E-2EBFAF8030C5/manage/E3FEDF6A-0719-4493-8EF4-CC11B417ACBA/batches/53A2F0D9-C396-43D0-8865-71A3884DA5EE]
