Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;PROJECT:IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
029FB674-FB1A-4685-9607-EBF4217CEA31;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/2E920BC4-2B0A-4169-ABFF-02846F4FA970/manage/02F901C8-381E-4F4E-847E-EB2EBDD32221/batches/029FB674-FB1A-4685-9607-EBF4217CEA31]
CD626F3A-9525-496B-87AC-9D88B2706945;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/2E920BC4-2B0A-4169-ABFF-02846F4FA970/manage/454722CB-05F3-45E5-9B86-0C437527F75E/batches/CD626F3A-9525-496B-87AC-9D88B2706945]
54CBE08C-DF2E-41A2-A30E-DA7DF61B1072;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/2E920BC4-2B0A-4169-ABFF-02846F4FA970/manage/91AF4C94-6F03-44C5-B9E0-D557D9235C2A/batches/54CBE08C-DF2E-41A2-A30E-DA7DF61B1072]
35A74793-4682-45B0-A262-25CB291C8AAE;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/2E920BC4-2B0A-4169-ABFF-02846F4FA970/manage/B35B08D3-4E9E-4665-A42B-B9181D2F839E/batches/35A74793-4682-45B0-A262-25CB291C8AAE]
9EB9046C-1EDB-4822-B7FA-4F3E975070A4;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/2E920BC4-2B0A-4169-ABFF-02846F4FA970/manage/2768FDA5-FE8C-4EB1-8163-DB0429D2B706/batches/9EB9046C-1EDB-4822-B7FA-4F3E975070A4]
31802D06-AE15-4DF3-922B-5D56051BD940;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/2E920BC4-2B0A-4169-ABFF-02846F4FA970/manage/6C4FB601-D7AA-408E-BAE4-57AD368668D5/batches/31802D06-AE15-4DF3-922B-5D56051BD940]
148626F1-3055-4877-9083-12142B453B6A;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/2E920BC4-2B0A-4169-ABFF-02846F4FA970/manage/03F20F41-ED63-40BB-8067-A79CB191F89D/batches/148626F1-3055-4877-9083-12142B453B6A]
956019D1-987E-4AAB-8E02-B53752103186;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/2E920BC4-2B0A-4169-ABFF-02846F4FA970/manage/6FDB511B-F304-4648-9EEE-97F627F63B99/batches/956019D1-987E-4AAB-8E02-B53752103186]
9137706C-DF5F-47D2-AC1C-650342804611;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/2E920BC4-2B0A-4169-ABFF-02846F4FA970/manage/91AF4C94-6F03-44C5-B9E0-D557D9235C2A/batches/9137706C-DF5F-47D2-AC1C-650342804611]
1A3AF4CA-966C-470C-BDEA-6E104E7D4BC2;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/2E920BC4-2B0A-4169-ABFF-02846F4FA970/manage/498E4A13-65FE-42CA-8C03-303791F534D1/batches/1A3AF4CA-966C-470C-BDEA-6E104E7D4BC2]
CCC10473-98C7-4010-A10C-445B9F8894E4;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/2E920BC4-2B0A-4169-ABFF-02846F4FA970/manage/AD3959D3-07F8-4696-8258-651753214EC1/batches/CCC10473-98C7-4010-A10C-445B9F8894E4]
6B9332DC-C09E-454C-BD12-AD462A366DBA;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/2E920BC4-2B0A-4169-ABFF-02846F4FA970/manage/02F901C8-381E-4F4E-847E-EB2EBDD32221/batches/6B9332DC-C09E-454C-BD12-AD462A366DBA]
08C630CD-6DF0-4057-B669-83F4A6AED2EA;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/2E920BC4-2B0A-4169-ABFF-02846F4FA970/manage/C23E8C30-1EFD-4499-B623-45A9A38FB2B2/batches/08C630CD-6DF0-4057-B669-83F4A6AED2EA]
