Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_FAILED_STATE: 5;
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 3;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 442;
004700103_00304 (imageset: 98C3E78C-CA34-4FD2-9B0F-53F639DD205C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/98C3E78C-CA34-4FD2-9B0F-53F639DD205C/batches/08A2873C-2305-48C8-B1BA-117563B082E3]
004700226_00440 (imageset: 29979966-A221-47BF-8B6E-54D44F00C3B0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/29979966-A221-47BF-8B6E-54D44F00C3B0/batches/FE7A3288-CEFB-4469-983C-1C3901FE6904]
004700270_00058 (imageset: 49735978-7AA7-4885-9288-B3413A191C45);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/49735978-7AA7-4885-9288-B3413A191C45/batches/BCD32258-BAFE-4E2D-9536-02FCFD3649AA]
004700270_00062 (imageset: 49735978-7AA7-4885-9288-B3413A191C45);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/49735978-7AA7-4885-9288-B3413A191C45/batches/6E6DE795-614A-48A9-A5EC-F76FED6B15AB]
004700270_00061 (imageset: 49735978-7AA7-4885-9288-B3413A191C45);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/49735978-7AA7-4885-9288-B3413A191C45/batches/6E6DE795-614A-48A9-A5EC-F76FED6B15AB]
004700261_00302 (imageset: BE8968F8-9C45-43BC-9D96-C96F25DD77BE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/BE8968F8-9C45-43BC-9D96-C96F25DD77BE/batches/FEA3D4BF-E874-485D-97CE-87563E0B094E]
004700459_00367 (imageset: FFEE16F4-2639-49B4-AEF2-E9EA37180C94);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/FFEE16F4-2639-49B4-AEF2-E9EA37180C94/batches/427E667B-72C8-4BAD-AD4A-8D5007BE8019]
004700541_00082 (imageset: 0090EF1E-8C77-41C8-8840-E8938ACB7B29);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/0090EF1E-8C77-41C8-8840-E8938ACB7B29/batches/3A55205D-3612-455F-B8C4-6EDE7E315B2B]
004700569_00153 (imageset: 6F61172B-67B0-41FA-AE8F-8A3BFFB88973);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/6F61172B-67B0-41FA-AE8F-8A3BFFB88973/batches/036C98C9-6EFA-46BC-9259-9A41C866B1BC]
004700545_00444 (imageset: A6E61E00-F7CF-40F0-A947-CEE2A33F9787);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/A6E61E00-F7CF-40F0-A947-CEE2A33F9787/batches/2199CDC4-371C-49C6-999D-B7A9ED1187CB]
004700251_00135 (imageset: DF27876F-8F24-4249-A1AD-59F760EED3BD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/DF27876F-8F24-4249-A1AD-59F760EED3BD/batches/A473C16D-F98A-4438-B0BD-3BAEEEB99F5A]
004700516_00131 (imageset: F9EDACD7-DBE8-4C96-BAB9-8BB4E63455C0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/F9EDACD7-DBE8-4C96-BAB9-8BB4E63455C0/batches/2A4C25D2-8E01-4281-86AA-498ABB5C6583]
004700269_00052 (imageset: 7FA127BE-FE0E-4721-911F-0677662E4D5E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/7FA127BE-FE0E-4721-911F-0677662E4D5E/batches/D73E28CE-CF89-477D-B170-FAC1716107AD]
004700270_00065 (imageset: 49735978-7AA7-4885-9288-B3413A191C45);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/49735978-7AA7-4885-9288-B3413A191C45/batches/6E6DE795-614A-48A9-A5EC-F76FED6B15AB]
004700270_00064 (imageset: 49735978-7AA7-4885-9288-B3413A191C45);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/49735978-7AA7-4885-9288-B3413A191C45/batches/6E6DE795-614A-48A9-A5EC-F76FED6B15AB]
004700270_00063 (imageset: 49735978-7AA7-4885-9288-B3413A191C45);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/49735978-7AA7-4885-9288-B3413A191C45/batches/6E6DE795-614A-48A9-A5EC-F76FED6B15AB]
004700473_00388 (imageset: 3D4CE1BD-59D2-4158-8956-24FD496E28B6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/3D4CE1BD-59D2-4158-8956-24FD496E28B6/batches/61E84A1C-899B-44E5-8627-E012A2CD0F16]
004700229_00142 (imageset: 2D94C0EA-309D-4372-A15B-07ABBC3F9977);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/2D94C0EA-309D-4372-A15B-07ABBC3F9977/batches/CE1E9BCF-974B-4EE0-B6FC-7C7A218F5659]
004700240_00321 (imageset: 60176B02-22B7-4733-B348-D41E4C8E3253);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/60176B02-22B7-4733-B348-D41E4C8E3253/batches/C501730B-7EA6-439B-8CCD-8B49C2AE54F2]
004700537_00482 (imageset: 5067CB63-F8A3-4B94-B558-3CE26D42203B);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/5067CB63-F8A3-4B94-B558-3CE26D42203B/batches/0A4FF616-607E-4DA3-A04C-BEF67FE257C3]
004700524_00376 (imageset: F73B1E79-4CB8-44FA-9C10-0996B315EF42);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/F73B1E79-4CB8-44FA-9C10-0996B315EF42/batches/8B51E2E3-D91C-482F-936D-81C1FBA8C654]
004700569_00398 (imageset: 6F61172B-67B0-41FA-AE8F-8A3BFFB88973);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/6F61172B-67B0-41FA-AE8F-8A3BFFB88973/batches/47845F69-D879-4E31-A641-F66DA716EF4F]
004700261_00559 (imageset: BE8968F8-9C45-43BC-9D96-C96F25DD77BE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F215373-8615-4BB3-815B-43C5B8FD7144/manage/BE8968F8-9C45-43BC-9D96-C96F25DD77BE/batches/C7F74162-5199-4F9B-A4D5-441D9E8CAC07]
