Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 20;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
107081005_00032 (imageset: 45F52B8D-0C29-4CEC-8A90-EE639A758B1C);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/45F52B8D-0C29-4CEC-8A90-EE639A758B1C/batches/71CBC377-87DC-4558-A14F-199F8992EE1C]
107080996_00407 (imageset: 90982B99-9194-4A78-83DF-CD9B2A7C35F1);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/90982B99-9194-4A78-83DF-CD9B2A7C35F1/batches/34922A1C-4F95-45D8-B2F8-3CC0B7EADC94]
107080996_00306 (imageset: 90982B99-9194-4A78-83DF-CD9B2A7C35F1);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/90982B99-9194-4A78-83DF-CD9B2A7C35F1/batches/731B9918-67C2-478E-90D8-C4ECCF9E6949]
107080976_00264 (imageset: 14394742-FAB7-481B-8F7F-3626F885035B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/14394742-FAB7-481B-8F7F-3626F885035B/batches/7392B1CD-C73F-4C1F-9C9C-EBE8E3DC0909]
107080976_00263 (imageset: 14394742-FAB7-481B-8F7F-3626F885035B);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/14394742-FAB7-481B-8F7F-3626F885035B/batches/7392B1CD-C73F-4C1F-9C9C-EBE8E3DC0909]
107080965_00359 (imageset: 6039423E-858D-4B76-9D0A-AE3C69747ECF);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/6039423E-858D-4B76-9D0A-AE3C69747ECF/batches/EA897772-5F33-4199-9A3A-0D4C89C05B19]
107080987_00055 (imageset: 2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D/batches/AD0A9663-6BA9-45B5-ABC5-3058291BD461]
107080987_00056 (imageset: 2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D/batches/AD0A9663-6BA9-45B5-ABC5-3058291BD461]
107081016_00493 (imageset: 2CB95D72-9F37-445E-806A-2D8C036A91DB);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/2CB95D72-9F37-445E-806A-2D8C036A91DB/batches/66621BB8-DA4B-47DC-A4DD-BA97A6EA8891]
107081016_00492 (imageset: 2CB95D72-9F37-445E-806A-2D8C036A91DB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/2CB95D72-9F37-445E-806A-2D8C036A91DB/batches/66621BB8-DA4B-47DC-A4DD-BA97A6EA8891]
107080989_00096 (imageset: BB3FCBD2-5697-4ED4-9A18-C044A6ADC094);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/BB3FCBD2-5697-4ED4-9A18-C044A6ADC094/batches/448C3043-97F3-40A2-84AB-F7109482956F]
107080984_00250 (imageset: 530D09BA-809F-49C7-A917-F9B8ABFACB03);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/530D09BA-809F-49C7-A917-F9B8ABFACB03/batches/1E2BA49F-36E0-47ED-8EFD-F8291469DF43]
107080989_00095 (imageset: BB3FCBD2-5697-4ED4-9A18-C044A6ADC094);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/BB3FCBD2-5697-4ED4-9A18-C044A6ADC094/batches/448C3043-97F3-40A2-84AB-F7109482956F]
107080984_00251 (imageset: 530D09BA-809F-49C7-A917-F9B8ABFACB03);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/530D09BA-809F-49C7-A917-F9B8ABFACB03/batches/1E2BA49F-36E0-47ED-8EFD-F8291469DF43]
107080965_00783 (imageset: 6039423E-858D-4B76-9D0A-AE3C69747ECF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/6039423E-858D-4B76-9D0A-AE3C69747ECF/batches/3F68B5B8-A167-4532-A593-433AB670D0F3]
107081016_00874 (imageset: 2CB95D72-9F37-445E-806A-2D8C036A91DB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/2CB95D72-9F37-445E-806A-2D8C036A91DB/batches/EFC49540-0A85-4C7F-B138-666235016F79]
107080965_00784 (imageset: 6039423E-858D-4B76-9D0A-AE3C69747ECF);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/6039423E-858D-4B76-9D0A-AE3C69747ECF/batches/3F68B5B8-A167-4532-A593-433AB670D0F3]
107080965_00487 (imageset: 6039423E-858D-4B76-9D0A-AE3C69747ECF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/6039423E-858D-4B76-9D0A-AE3C69747ECF/batches/1867C8F5-4400-49B4-9BF3-85BBD9E75720]
107081016_00875 (imageset: 2CB95D72-9F37-445E-806A-2D8C036A91DB);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/2CB95D72-9F37-445E-806A-2D8C036A91DB/batches/EFC49540-0A85-4C7F-B138-666235016F79]
107080976_00016 (imageset: 14394742-FAB7-481B-8F7F-3626F885035B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/14394742-FAB7-481B-8F7F-3626F885035B/batches/C86152DC-89E3-475C-A841-15C68B78AEA8]
107080965_00488 (imageset: 6039423E-858D-4B76-9D0A-AE3C69747ECF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/6039423E-858D-4B76-9D0A-AE3C69747ECF/batches/1867C8F5-4400-49B4-9BF3-85BBD9E75720]
107080965_00360 (imageset: 6039423E-858D-4B76-9D0A-AE3C69747ECF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/6039423E-858D-4B76-9D0A-AE3C69747ECF/batches/EA897772-5F33-4199-9A3A-0D4C89C05B19]
107080984_02816 (imageset: 530D09BA-809F-49C7-A917-F9B8ABFACB03);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/530D09BA-809F-49C7-A917-F9B8ABFACB03/batches/9484AAF9-8CC5-49D8-80D8-50CCE1564D1C]
107080984_02739 (imageset: 530D09BA-809F-49C7-A917-F9B8ABFACB03);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/530D09BA-809F-49C7-A917-F9B8ABFACB03/batches/E0B7169E-20C0-4959-9BDB-412219F1B4BE]
107080984_02738 (imageset: 530D09BA-809F-49C7-A917-F9B8ABFACB03);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/530D09BA-809F-49C7-A917-F9B8ABFACB03/batches/E0B7169E-20C0-4959-9BDB-412219F1B4BE]
107080976_00015 (imageset: 14394742-FAB7-481B-8F7F-3626F885035B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/14394742-FAB7-481B-8F7F-3626F885035B/batches/C86152DC-89E3-475C-A841-15C68B78AEA8]
107080984_02817 (imageset: 530D09BA-809F-49C7-A917-F9B8ABFACB03);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/530D09BA-809F-49C7-A917-F9B8ABFACB03/batches/9484AAF9-8CC5-49D8-80D8-50CCE1564D1C]
107080996_00079 (imageset: 90982B99-9194-4A78-83DF-CD9B2A7C35F1);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/90982B99-9194-4A78-83DF-CD9B2A7C35F1/batches/DE71C633-C608-46F3-A2FF-127C9065516E]
107080987_01060 (imageset: 2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D/batches/A21A90E0-97A4-4E63-995F-3B76622CDBCD]
107080987_00143 (imageset: 2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D/batches/6D2D1C25-1956-4396-AA2A-C6AB9C5DDC24]
107080996_00080 (imageset: 90982B99-9194-4A78-83DF-CD9B2A7C35F1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/90982B99-9194-4A78-83DF-CD9B2A7C35F1/batches/DE71C633-C608-46F3-A2FF-127C9065516E]
107080987_01059 (imageset: 2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D/batches/A21A90E0-97A4-4E63-995F-3B76622CDBCD]
107080987_00144 (imageset: 2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D/batches/6D2D1C25-1956-4396-AA2A-C6AB9C5DDC24]
107081016_01130 (imageset: 2CB95D72-9F37-445E-806A-2D8C036A91DB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/2CB95D72-9F37-445E-806A-2D8C036A91DB/batches/DEE82EA7-CC33-451F-9542-41F9DFDCF53B]
107080984_01294 (imageset: 530D09BA-809F-49C7-A917-F9B8ABFACB03);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/530D09BA-809F-49C7-A917-F9B8ABFACB03/batches/295F539F-A886-462E-A8AC-18A4A5804C2E]
107080987_00627 (imageset: 2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D/batches/ADC94F02-FDBF-43C9-9BB4-3738F2198D85]
107080987_00628 (imageset: 2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/2D7374EB-B65B-4D7E-89E5-E6EF44D6C80D/batches/ADC94F02-FDBF-43C9-9BB4-3738F2198D85]
107080984_01295 (imageset: 530D09BA-809F-49C7-A917-F9B8ABFACB03);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/530D09BA-809F-49C7-A917-F9B8ABFACB03/batches/295F539F-A886-462E-A8AC-18A4A5804C2E]
107081016_00381 (imageset: 2CB95D72-9F37-445E-806A-2D8C036A91DB);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/2CB95D72-9F37-445E-806A-2D8C036A91DB/batches/178C87AC-8616-4892-9310-220AEE48A0D0]
107081016_00380 (imageset: 2CB95D72-9F37-445E-806A-2D8C036A91DB);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2F8DDF7A-9E04-4097-8039-F750F4A942F3/manage/2CB95D72-9F37-445E-806A-2D8C036A91DB/batches/178C87AC-8616-4892-9310-220AEE48A0D0]
