Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 6;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
007370172_00268 (imageset: 640FA44F-B774-40D8-823E-F06ACD56C992);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2FD62716-5598-432E-84D1-4057F224A3E9/manage/640FA44F-B774-40D8-823E-F06ACD56C992/batches/A2328E77-D343-49E3-9029-61D6BDEBCF88]
007370172_00309 (imageset: 640FA44F-B774-40D8-823E-F06ACD56C992);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2FD62716-5598-432E-84D1-4057F224A3E9/manage/640FA44F-B774-40D8-823E-F06ACD56C992/batches/B00D4889-55A2-4DE0-9FA8-ED8EF83F5E9C]
007370172_00291 (imageset: 640FA44F-B774-40D8-823E-F06ACD56C992);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2FD62716-5598-432E-84D1-4057F224A3E9/manage/640FA44F-B774-40D8-823E-F06ACD56C992/batches/C79EF476-D7E9-42A8-A9D7-3E3ABBD008DF]
007370172_00292 (imageset: 640FA44F-B774-40D8-823E-F06ACD56C992);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2FD62716-5598-432E-84D1-4057F224A3E9/manage/640FA44F-B774-40D8-823E-F06ACD56C992/batches/C79EF476-D7E9-42A8-A9D7-3E3ABBD008DF]
007370178_00040 (imageset: 534FAA5E-77F0-4C3E-B6B8-FD5A458626E9);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2FD62716-5598-432E-84D1-4057F224A3E9/manage/534FAA5E-77F0-4C3E-B6B8-FD5A458626E9/batches/62A6A887-F8FD-443D-8D4E-3D6E26A9A69A]
007370172_00311 (imageset: 640FA44F-B774-40D8-823E-F06ACD56C992);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2FD62716-5598-432E-84D1-4057F224A3E9/manage/640FA44F-B774-40D8-823E-F06ACD56C992/batches/B00D4889-55A2-4DE0-9FA8-ED8EF83F5E9C]
007370172_00011 (imageset: 640FA44F-B774-40D8-823E-F06ACD56C992);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2FD62716-5598-432E-84D1-4057F224A3E9/manage/640FA44F-B774-40D8-823E-F06ACD56C992/batches/52871865-9E12-4368-9EBB-D9A1D1C72611]
007368673_00161 (imageset: 85FBC45C-08B7-4C50-9C1B-E94CC1604503);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2FD62716-5598-432E-84D1-4057F224A3E9/manage/85FBC45C-08B7-4C50-9C1B-E94CC1604503/batches/0493E24F-2FCC-4E1F-B240-152AAF895286]
007370172_00295 (imageset: 640FA44F-B774-40D8-823E-F06ACD56C992);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2FD62716-5598-432E-84D1-4057F224A3E9/manage/640FA44F-B774-40D8-823E-F06ACD56C992/batches/C79EF476-D7E9-42A8-A9D7-3E3ABBD008DF]
007370172_00296 (imageset: 640FA44F-B774-40D8-823E-F06ACD56C992);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2FD62716-5598-432E-84D1-4057F224A3E9/manage/640FA44F-B774-40D8-823E-F06ACD56C992/batches/C79EF476-D7E9-42A8-A9D7-3E3ABBD008DF]
007370172_00318 (imageset: 640FA44F-B774-40D8-823E-F06ACD56C992);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/2FD62716-5598-432E-84D1-4057F224A3E9/manage/640FA44F-B774-40D8-823E-F06ACD56C992/batches/92FC853A-53BF-4B55-948E-8D91C2CBB348]
