Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 12;
008616593_00588 (imageset: FA63539D-7F89-49DD-B703-2F73A34589F5);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3032CB4E-64A0-4083-B591-50C9BB683E18/manage/FA63539D-7F89-49DD-B703-2F73A34589F5/batches/D1D658E2-7E00-496D-807B-A721239C9248]
008616593_00531 (imageset: FA63539D-7F89-49DD-B703-2F73A34589F5);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3032CB4E-64A0-4083-B591-50C9BB683E18/manage/FA63539D-7F89-49DD-B703-2F73A34589F5/batches/CF4500E2-F487-4487-AFBF-001AEA4DB65E]
008616593_00454 (imageset: FA63539D-7F89-49DD-B703-2F73A34589F5);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3032CB4E-64A0-4083-B591-50C9BB683E18/manage/FA63539D-7F89-49DD-B703-2F73A34589F5/batches/3C58A11B-12B7-4EA8-934B-20FA91AC0839]
008616593_00146 (imageset: FA63539D-7F89-49DD-B703-2F73A34589F5);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3032CB4E-64A0-4083-B591-50C9BB683E18/manage/FA63539D-7F89-49DD-B703-2F73A34589F5/batches/C43F1D59-2357-47EA-A632-EF2C7D0A840F]
008616593_00123 (imageset: FA63539D-7F89-49DD-B703-2F73A34589F5);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3032CB4E-64A0-4083-B591-50C9BB683E18/manage/FA63539D-7F89-49DD-B703-2F73A34589F5/batches/0B47334E-4326-414D-A19D-61CE74613F39]
008616593_00409 (imageset: FA63539D-7F89-49DD-B703-2F73A34589F5);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3032CB4E-64A0-4083-B591-50C9BB683E18/manage/FA63539D-7F89-49DD-B703-2F73A34589F5/batches/48DD78AC-1F98-4D3D-BCFF-964082743902]
008616593_00718 (imageset: FA63539D-7F89-49DD-B703-2F73A34589F5);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3032CB4E-64A0-4083-B591-50C9BB683E18/manage/FA63539D-7F89-49DD-B703-2F73A34589F5/batches/CA03AE76-3594-4254-A230-723F1C7BD018]
008616593_00628 (imageset: FA63539D-7F89-49DD-B703-2F73A34589F5);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3032CB4E-64A0-4083-B591-50C9BB683E18/manage/FA63539D-7F89-49DD-B703-2F73A34589F5/batches/5A69EB1C-5348-4596-98C8-24B5290AAE24]
008616593_00669 (imageset: FA63539D-7F89-49DD-B703-2F73A34589F5);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3032CB4E-64A0-4083-B591-50C9BB683E18/manage/FA63539D-7F89-49DD-B703-2F73A34589F5/batches/BC017139-F015-4E08-A283-F4F24EE29DFB]
008616593_00736 (imageset: FA63539D-7F89-49DD-B703-2F73A34589F5);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3032CB4E-64A0-4083-B591-50C9BB683E18/manage/FA63539D-7F89-49DD-B703-2F73A34589F5/batches/EB883962-60BC-44FC-B249-09DB94B2FDBB]
008616593_00469 (imageset: FA63539D-7F89-49DD-B703-2F73A34589F5);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3032CB4E-64A0-4083-B591-50C9BB683E18/manage/FA63539D-7F89-49DD-B703-2F73A34589F5/batches/3E3492A6-9BDD-452F-B264-1D37A8673503]
008616593_00558 (imageset: FA63539D-7F89-49DD-B703-2F73A34589F5);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3032CB4E-64A0-4083-B591-50C9BB683E18/manage/FA63539D-7F89-49DD-B703-2F73A34589F5/batches/9383484F-FEBF-4C1A-854F-1F76C34FFDEC]
