Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 10;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 90;
30F62C3D-8B73-4E43-89E0-1EF5678CA96A;PROJECT;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/overview]
B5912157-337B-4BE8-A846-A01596C4D493;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/B5912157-337B-4BE8-A846-A01596C4D493]
62309743-FB47-4C48-A487-F424F5966839;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/62309743-FB47-4C48-A487-F424F5966839]
9A2A5A92-9E60-4FEF-829E-0B219E061942;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/80B0DACB-73D0-4F62-B571-40621222C056/batches/9A2A5A92-9E60-4FEF-829E-0B219E061942]
FFB8ED58-5B22-4267-B361-4DBF489DB1C1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/80B0DACB-73D0-4F62-B571-40621222C056/batches/FFB8ED58-5B22-4267-B361-4DBF489DB1C1]
037210B0-E901-4AF4-8785-10122CD29963;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/037210B0-E901-4AF4-8785-10122CD29963]
279B4361-79CE-4D59-8FD4-A2700DEE6AEB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/80B0DACB-73D0-4F62-B571-40621222C056/batches/279B4361-79CE-4D59-8FD4-A2700DEE6AEB]
F36236FE-E42C-4677-ADBE-8C285F9009E7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/F36236FE-E42C-4677-ADBE-8C285F9009E7]
D50CF8E8-D8B3-464B-AF1E-F4A9165BF570;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/80B0DACB-73D0-4F62-B571-40621222C056/batches/D50CF8E8-D8B3-464B-AF1E-F4A9165BF570]
DC96E299-0C0A-4CB5-B31A-C1FD43341E1E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/DC96E299-0C0A-4CB5-B31A-C1FD43341E1E]
BB13D2BF-46A6-47CD-BEA4-FF116FCEAC5D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/BB13D2BF-46A6-47CD-BEA4-FF116FCEAC5D]
B6E346A1-19AD-44D8-8A05-94B1DAA2A868;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/B6E346A1-19AD-44D8-8A05-94B1DAA2A868]
C01C5772-6836-490C-9FAD-BC5298B5A7CB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/C01C5772-6836-490C-9FAD-BC5298B5A7CB]
882BC91C-1C2F-46FB-818F-198FD3319584;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/882BC91C-1C2F-46FB-818F-198FD3319584]
2312DE6B-8DA0-4E06-B8D7-EEB03F7BCCCF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/80B0DACB-73D0-4F62-B571-40621222C056/batches/2312DE6B-8DA0-4E06-B8D7-EEB03F7BCCCF]
1D7BDDE1-8F75-45C4-824E-B2052C9DBF10;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/80B0DACB-73D0-4F62-B571-40621222C056/batches/1D7BDDE1-8F75-45C4-824E-B2052C9DBF10]
C91D0305-7D3B-4105-A739-2199CFFDC1BC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/C91D0305-7D3B-4105-A739-2199CFFDC1BC]
733DCF1C-AF73-40D4-889F-C213E3D38690;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/80B0DACB-73D0-4F62-B571-40621222C056/batches/733DCF1C-AF73-40D4-889F-C213E3D38690]
DB31AB6B-AFDF-42C4-91E5-D9ACB12A2979;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/80B0DACB-73D0-4F62-B571-40621222C056/batches/DB31AB6B-AFDF-42C4-91E5-D9ACB12A2979]
3F52BCB7-0317-409D-8155-EB1EFF44E91C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/3F52BCB7-0317-409D-8155-EB1EFF44E91C]
B7441724-B8E3-49F8-B980-E8959F8E31CF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/B7441724-B8E3-49F8-B980-E8959F8E31CF]
B6FE254E-051C-4211-A53B-F415CCCC2F62;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/B6FE254E-051C-4211-A53B-F415CCCC2F62]
E51E0D9F-AF90-4394-B03A-964E9B412113;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/E51E0D9F-AF90-4394-B03A-964E9B412113]
7DE71D13-C1D2-48BB-A09E-005FAEB2FF7E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/7DE71D13-C1D2-48BB-A09E-005FAEB2FF7E]
31F2BD3E-88BD-4B84-937F-869E40C76397;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/31F2BD3E-88BD-4B84-937F-869E40C76397]
7D4DD8E8-A5AE-4611-A9A8-A99AE5D61BE6;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/80B0DACB-73D0-4F62-B571-40621222C056/batches/7D4DD8E8-A5AE-4611-A9A8-A99AE5D61BE6]
5BC19A6B-AD1E-4CEB-90E2-DFA3D319F567;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/5BC19A6B-AD1E-4CEB-90E2-DFA3D319F567]
C2E098F7-DD58-4CC0-AA01-490158034B1F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/80B0DACB-73D0-4F62-B571-40621222C056/batches/C2E098F7-DD58-4CC0-AA01-490158034B1F]
3D12F9D9-25C5-4267-8227-056EFCF7F802;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/3D12F9D9-25C5-4267-8227-056EFCF7F802]
891C4E50-3EC4-4C37-B8CD-7C1008794121;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/30F62C3D-8B73-4E43-89E0-1EF5678CA96A/manage/0F1B198B-7924-46F9-8A5B-02A17363FE37/batches/891C4E50-3EC4-4C37-B8CD-7C1008794121]
