Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 6;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 94;
F3630858-0992-4679-8AA7-35D7EA5B19F2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/03702D2D-B273-44D9-8035-4D733B25331D/batches/F3630858-0992-4679-8AA7-35D7EA5B19F2]
DF426F21-3003-4340-93A0-56DA938E196A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/9A2534E3-534B-45B5-99C5-A9FC4BB7AAF0/batches/DF426F21-3003-4340-93A0-56DA938E196A]
189C8A8C-1AB1-45AF-9A9D-468081834347;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/03702D2D-B273-44D9-8035-4D733B25331D/batches/189C8A8C-1AB1-45AF-9A9D-468081834347]
A41BD236-3E19-43B5-8024-D211F6CC7712;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/B7E89D5B-0450-4902-8E15-E42EB27ABEC6/batches/A41BD236-3E19-43B5-8024-D211F6CC7712]
A02F193B-8F08-4B6E-AE9E-AABBF5A08601;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/4F285D3B-D9AD-4985-9E05-634F11E44F9A/batches/A02F193B-8F08-4B6E-AE9E-AABBF5A08601]
E5392542-3DD6-457F-B0E8-24424794FE07;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/126ABE59-C7A4-43FA-991B-513C9AF02BA9/batches/E5392542-3DD6-457F-B0E8-24424794FE07]
C7212785-2DC0-4457-A051-4A66118C0633;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/126ABE59-C7A4-43FA-991B-513C9AF02BA9/batches/C7212785-2DC0-4457-A051-4A66118C0633]
2C5CAC21-991C-43EE-8940-92FAFF0C7EE2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/6A76A8AF-EA41-450C-8988-21A5CC99079B/batches/2C5CAC21-991C-43EE-8940-92FAFF0C7EE2]
662B6A3A-89D2-41FD-9541-CDA7663AAD83;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/242A294A-0F14-42CB-9A08-5D08D069D7C5/batches/662B6A3A-89D2-41FD-9541-CDA7663AAD83]
9F6BA737-8D3B-4E3F-A4B0-206FB376FF4D;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/9873CA1D-0EE3-4810-8482-B2EF0C543191/batches/9F6BA737-8D3B-4E3F-A4B0-206FB376FF4D]
151646C9-B8BA-44BE-9E68-4A52035C6A76;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/242A294A-0F14-42CB-9A08-5D08D069D7C5/batches/151646C9-B8BA-44BE-9E68-4A52035C6A76]
32EFBF00-8AA3-459A-A69A-3709EF469E4A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/F7E9E1BC-DBB2-4B3B-80C5-A8CD5184F8E8/batches/32EFBF00-8AA3-459A-A69A-3709EF469E4A]
B3A33BF1-3766-41D5-9798-662085D57569;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/03702D2D-B273-44D9-8035-4D733B25331D/batches/B3A33BF1-3766-41D5-9798-662085D57569]
66893B00-EAC9-4176-8E05-C24178B6E317;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/242A294A-0F14-42CB-9A08-5D08D069D7C5/batches/66893B00-EAC9-4176-8E05-C24178B6E317]
470E7D4C-50CA-4135-95E9-8955ED8DB0C0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/FD08BF3A-C40D-4153-9DAB-77DD7E43DEB9/batches/470E7D4C-50CA-4135-95E9-8955ED8DB0C0]
7E093F44-A3FA-4F67-A381-ADB5DE1D5BA6;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/FD08BF3A-C40D-4153-9DAB-77DD7E43DEB9/batches/7E093F44-A3FA-4F67-A381-ADB5DE1D5BA6]
EF8477F7-8E9B-4EDE-B0CB-36323EF32885;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/753DCFFE-BA74-402C-8F61-48F97885B4D8/batches/EF8477F7-8E9B-4EDE-B0CB-36323EF32885]
A710BC35-5A70-4360-BE3A-CE0E606C5618;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/753DCFFE-BA74-402C-8F61-48F97885B4D8/batches/A710BC35-5A70-4360-BE3A-CE0E606C5618]
8D1E8665-1626-44A6-9C37-96D1254D331A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/753DCFFE-BA74-402C-8F61-48F97885B4D8/batches/8D1E8665-1626-44A6-9C37-96D1254D331A]
CB0DE0FC-279D-4DC8-B097-8BE0C61B105D;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/BE456498-E84A-421A-8897-A66A4D5F63B1/batches/CB0DE0FC-279D-4DC8-B097-8BE0C61B105D]
B8077CB4-DB9B-431F-98FC-C0820D1F93FC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/9A2534E3-534B-45B5-99C5-A9FC4BB7AAF0/batches/B8077CB4-DB9B-431F-98FC-C0820D1F93FC]
B195B85F-E103-41B0-BAEF-9810D4AC1B8D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/242A294A-0F14-42CB-9A08-5D08D069D7C5/batches/B195B85F-E103-41B0-BAEF-9810D4AC1B8D]
DE64B671-D06A-42CA-90D8-304BF5C2EB55;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/FD08BF3A-C40D-4153-9DAB-77DD7E43DEB9/batches/DE64B671-D06A-42CA-90D8-304BF5C2EB55]
C7CAE21A-0909-4603-B2CF-3300B64EDE1B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/49C3F621-AB6D-47FD-B14F-565B9C95E9D1/batches/C7CAE21A-0909-4603-B2CF-3300B64EDE1B]
A486ECED-0702-4DE2-AE8F-6F608EEA9C04;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/242A294A-0F14-42CB-9A08-5D08D069D7C5/batches/A486ECED-0702-4DE2-AE8F-6F608EEA9C04]
B42BAA0D-F772-470A-AB40-396853BD6208;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/9A2534E3-534B-45B5-99C5-A9FC4BB7AAF0/batches/B42BAA0D-F772-470A-AB40-396853BD6208]
C16B7DF3-F02A-4FFE-94B9-1763BC8483F0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/03702D2D-B273-44D9-8035-4D733B25331D/batches/C16B7DF3-F02A-4FFE-94B9-1763BC8483F0]
CC4601B2-2358-4892-82D6-D016BB56317D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/FD08BF3A-C40D-4153-9DAB-77DD7E43DEB9/batches/CC4601B2-2358-4892-82D6-D016BB56317D]
0BB65502-D2D3-4E0C-90B4-5E35BE6B1707;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/49C3F621-AB6D-47FD-B14F-565B9C95E9D1/batches/0BB65502-D2D3-4E0C-90B4-5E35BE6B1707]
E890F43C-BD6F-46EA-A4DB-0ED356ED10A0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/3151AB83-C91C-4E6E-B31E-150B99FA8685/manage/FD08BF3A-C40D-4153-9DAB-77DD7E43DEB9/batches/E890F43C-BD6F-46EA-A4DB-0ED356ED10A0]
