Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 41;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
104344448 (AB232E8F-870C-4F04-B618-F242AF749842);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/AB232E8F-870C-4F04-B618-F242AF749842/batches/list]
104344429 (4FAB17B3-6E09-473C-A081-2004697CE981);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/4FAB17B3-6E09-473C-A081-2004697CE981/batches/list]
104344420 (18113DA2-92AE-455C-AB68-D7357A66DB4E);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/18113DA2-92AE-455C-AB68-D7357A66DB4E/batches/list]
104344434 (C59134B1-FAD1-4A5F-A0E5-98407113DFDD);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/C59134B1-FAD1-4A5F-A0E5-98407113DFDD/batches/list]
104344433 (00B0A6FC-2B61-4059-A2D6-DEE88C855B78);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/00B0A6FC-2B61-4059-A2D6-DEE88C855B78/batches/list]
104344437 (A7FA990A-ED2F-4A34-846C-C4C7D520065B);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/A7FA990A-ED2F-4A34-846C-C4C7D520065B/batches/list]
104344452 (FFDF4B37-7FFF-44B4-9B45-5AC698E2E1BD);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/FFDF4B37-7FFF-44B4-9B45-5AC698E2E1BD/batches/list]
104344428 (2F4A3CE5-06CF-4B3A-A8AC-65914DB0E2F1);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/2F4A3CE5-06CF-4B3A-A8AC-65914DB0E2F1/batches/list]
104344425 (6CD87487-2276-40E7-B8F7-7408012F294F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/6CD87487-2276-40E7-B8F7-7408012F294F/batches/list]
104344424 (CB3DA6F6-B066-459C-9840-2BAA65848066);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/CB3DA6F6-B066-459C-9840-2BAA65848066/batches/list]
104344447 (6D3DDBD6-ECCC-4CA6-9461-396E6D378030);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/6D3DDBD6-ECCC-4CA6-9461-396E6D378030/batches/list]
104344440 (ED2DE2D6-4986-48E4-8642-D4FA502563F8);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/ED2DE2D6-4986-48E4-8642-D4FA502563F8/batches/list]
104344439 (2F997089-6938-4A6B-9CBA-1420259CDE9E);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/2F997089-6938-4A6B-9CBA-1420259CDE9E/batches/list]
104344444 (43454645-BA9F-41BC-8DE1-0E510BFBB389);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/43454645-BA9F-41BC-8DE1-0E510BFBB389/batches/list]
104344450 (404830F1-03EE-41B0-934D-601B8C46CBF4);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/404830F1-03EE-41B0-934D-601B8C46CBF4/batches/list]
104344455 (4025D6A7-779F-4607-824B-E538B446D6B9);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/4025D6A7-779F-4607-824B-E538B446D6B9/batches/list]
104344459 (48D42C84-5996-40F9-8D72-57DBEBFD6846);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/48D42C84-5996-40F9-8D72-57DBEBFD6846/batches/list]
104344423 (1A855A84-4284-45B1-870F-C1F0A9BDDF0E);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/1A855A84-4284-45B1-870F-C1F0A9BDDF0E/batches/list]
104344421 (B430EABA-2211-4D0F-AE3E-61B64EEAF502);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/B430EABA-2211-4D0F-AE3E-61B64EEAF502/batches/list]
104344427 (096F9C57-EA79-4607-8625-5DE2944B65EA);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/096F9C57-EA79-4607-8625-5DE2944B65EA/batches/list]
104344460 (AD1F59F9-090D-4465-B48D-06AB5F8A15DD);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/AD1F59F9-090D-4465-B48D-06AB5F8A15DD/batches/list]
104344446 (C7D30DBF-440D-4428-8BEC-A971065C1FA8);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/C7D30DBF-440D-4428-8BEC-A971065C1FA8/batches/list]
104344430 (634DC51A-4B22-40A9-8DED-1647B8829760);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/634DC51A-4B22-40A9-8DED-1647B8829760/batches/list]
104344442 (BD3CF71B-7052-45D6-8150-4B50EB3C71E4);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/BD3CF71B-7052-45D6-8150-4B50EB3C71E4/batches/list]
104344458 (5DEE2474-72D5-4CCF-A062-3685200669A5);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/5DEE2474-72D5-4CCF-A062-3685200669A5/batches/list]
104344449 (52DDEFF8-6C9A-4E05-A8B7-C1775FEDC4B5);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/52DDEFF8-6C9A-4E05-A8B7-C1775FEDC4B5/batches/list]
104344441 (7BE8915F-C158-465F-9C2B-005EC132D5C7);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/7BE8915F-C158-465F-9C2B-005EC132D5C7/batches/list]
104344451 (C22178C5-0088-4E07-8CF8-D8C5704406EE);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/C22178C5-0088-4E07-8CF8-D8C5704406EE/batches/list]
104344431 (6E7A836B-FC16-4F65-AB8E-FCD8DC4BA41F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/6E7A836B-FC16-4F65-AB8E-FCD8DC4BA41F/batches/list]
104344435 (2E1ED8CA-8225-4BCA-80CD-F8B948F05E8B);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/2E1ED8CA-8225-4BCA-80CD-F8B948F05E8B/batches/list]
104344456 (61FCCD8F-CB79-4588-8F7A-14133F7B92FE);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/61FCCD8F-CB79-4588-8F7A-14133F7B92FE/batches/list]
104344445 (8F414C13-76E8-4AB3-B365-D51255483B8F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/8F414C13-76E8-4AB3-B365-D51255483B8F/batches/list]
104344443 (8829C8CE-D0F6-4836-9097-4A6CCA5B5771);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/8829C8CE-D0F6-4836-9097-4A6CCA5B5771/batches/list]
104344426 (134083A6-32EF-4C25-9127-730ED0B47915);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/134083A6-32EF-4C25-9127-730ED0B47915/batches/list]
104344454 (AF25326F-2E3E-46EF-A127-A420696DF239);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/AF25326F-2E3E-46EF-A127-A420696DF239/batches/list]
104344436 (9BB36825-D7B8-44D8-BDEE-111114DDD579);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/9BB36825-D7B8-44D8-BDEE-111114DDD579/batches/list]
104344422 (C32F07A2-7275-488F-928E-F0CFA6817B62);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/C32F07A2-7275-488F-928E-F0CFA6817B62/batches/list]
104344453 (55C700CA-E12B-4DA8-B59C-D95E719E8553);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/55C700CA-E12B-4DA8-B59C-D95E719E8553/batches/list]
104344457 (12425353-67CD-4514-92ED-D9AA5E6A881D);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/12425353-67CD-4514-92ED-D9AA5E6A881D/batches/list]
104344438 (A5882AE1-F28B-40E3-94D9-7B6DC856CE01);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/31793D8D-578F-4EC4-802A-0CED0B5FA903/manage/A5882AE1-F28B-40E3-94D9-7B6DC856CE01/batches/list]
