Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 53899;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 1050;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 1050;
33651B1F-8E0B-439E-B84C-E7CCA17B562E;PROJECT;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/overview]
102027662_00360 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027662_00361 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027662_00362 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027662_00363 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027662_00368 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027662_00369 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027662_00364 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027662_00365 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027662_00366 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027662_00367 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027662_00371 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027662_00372 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027662_00370 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027710_00616 (imageset: 73007078-91C3-4FDA-BE7A-D4E9691C38FB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/73007078-91C3-4FDA-BE7A-D4E9691C38FB/batches/list]
102027710_00617 (imageset: 73007078-91C3-4FDA-BE7A-D4E9691C38FB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/73007078-91C3-4FDA-BE7A-D4E9691C38FB/batches/list]
102027710_00614 (imageset: 73007078-91C3-4FDA-BE7A-D4E9691C38FB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/73007078-91C3-4FDA-BE7A-D4E9691C38FB/batches/list]
102027662_00340 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027710_00615 (imageset: 73007078-91C3-4FDA-BE7A-D4E9691C38FB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/73007078-91C3-4FDA-BE7A-D4E9691C38FB/batches/list]
102027662_00341 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027710_00612 (imageset: 73007078-91C3-4FDA-BE7A-D4E9691C38FB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/73007078-91C3-4FDA-BE7A-D4E9691C38FB/batches/list]
102027710_00613 (imageset: 73007078-91C3-4FDA-BE7A-D4E9691C38FB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/73007078-91C3-4FDA-BE7A-D4E9691C38FB/batches/list]
102027710_00610 (imageset: 73007078-91C3-4FDA-BE7A-D4E9691C38FB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/73007078-91C3-4FDA-BE7A-D4E9691C38FB/batches/list]
102027710_00611 (imageset: 73007078-91C3-4FDA-BE7A-D4E9691C38FB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/73007078-91C3-4FDA-BE7A-D4E9691C38FB/batches/list]
102027662_00346 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027662_00347 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027710_00609 (imageset: 73007078-91C3-4FDA-BE7A-D4E9691C38FB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/73007078-91C3-4FDA-BE7A-D4E9691C38FB/batches/list]
102027662_00342 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027662_00343 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027710_00607 (imageset: 73007078-91C3-4FDA-BE7A-D4E9691C38FB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/73007078-91C3-4FDA-BE7A-D4E9691C38FB/batches/list]
102027662_00344 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027710_00608 (imageset: 73007078-91C3-4FDA-BE7A-D4E9691C38FB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/73007078-91C3-4FDA-BE7A-D4E9691C38FB/batches/list]
102027662_00345 (imageset: E3B7AC8A-5534-4E0C-8866-4A19E4C988AB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/E3B7AC8A-5534-4E0C-8866-4A19E4C988AB/batches/list]
102027710_00623 (imageset: 73007078-91C3-4FDA-BE7A-D4E9691C38FB);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/33651B1F-8E0B-439E-B84C-E7CCA17B562E/manage/73007078-91C3-4FDA-BE7A-D4E9691C38FB/batches/list]
