Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 460;
102574584_00010 (imageset: 12B7DBC7-3951-457B-90D3-BD457D0C86C1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/35433113-BDCC-4E3A-B1B4-37D3203D07E2/manage/12B7DBC7-3951-457B-90D3-BD457D0C86C1/batches/3D76E430-9DFD-495C-B519-91B89E6A98A1]
102574584_00011 (imageset: 12B7DBC7-3951-457B-90D3-BD457D0C86C1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/35433113-BDCC-4E3A-B1B4-37D3203D07E2/manage/12B7DBC7-3951-457B-90D3-BD457D0C86C1/batches/3D76E430-9DFD-495C-B519-91B89E6A98A1]
102574584_00012 (imageset: 12B7DBC7-3951-457B-90D3-BD457D0C86C1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/35433113-BDCC-4E3A-B1B4-37D3203D07E2/manage/12B7DBC7-3951-457B-90D3-BD457D0C86C1/batches/E36C2BE4-D5B7-47EF-BE73-35894AA3F2E1]
102574568_00178 (imageset: 52FD4AE9-390F-435F-B9C3-2F75DCBB296C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/35433113-BDCC-4E3A-B1B4-37D3203D07E2/manage/52FD4AE9-390F-435F-B9C3-2F75DCBB296C/batches/DA7232BA-F615-41A5-A723-821AB5EFCEE4]
102574568_00179 (imageset: 52FD4AE9-390F-435F-B9C3-2F75DCBB296C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/35433113-BDCC-4E3A-B1B4-37D3203D07E2/manage/52FD4AE9-390F-435F-B9C3-2F75DCBB296C/batches/DA7232BA-F615-41A5-A723-821AB5EFCEE4]
102565750_00008 (imageset: 3CF7D983-9436-4B52-99A6-E9D69473A38F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/35433113-BDCC-4E3A-B1B4-37D3203D07E2/manage/3CF7D983-9436-4B52-99A6-E9D69473A38F/batches/E12B4BB4-D976-4645-AD35-524D11EBA91F]
102565750_00007 (imageset: 3CF7D983-9436-4B52-99A6-E9D69473A38F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/35433113-BDCC-4E3A-B1B4-37D3203D07E2/manage/3CF7D983-9436-4B52-99A6-E9D69473A38F/batches/E12B4BB4-D976-4645-AD35-524D11EBA91F]
102565750_00009 (imageset: 3CF7D983-9436-4B52-99A6-E9D69473A38F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/35433113-BDCC-4E3A-B1B4-37D3203D07E2/manage/3CF7D983-9436-4B52-99A6-E9D69473A38F/batches/E12B4BB4-D976-4645-AD35-524D11EBA91F]
102574041_00066 (imageset: 72CE377C-964C-431E-8E59-9426D6A2119F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/35433113-BDCC-4E3A-B1B4-37D3203D07E2/manage/72CE377C-964C-431E-8E59-9426D6A2119F/batches/E6D8812E-C135-4D70-A959-BC0FC09AAFE6]
