Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 6;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 3;
005092730_00047 (imageset: 8C8AEA1A-ABF1-44EA-8808-5AC2E6515600);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3761A906-4408-4A2F-A5FC-89E26BAB7D72/manage/8C8AEA1A-ABF1-44EA-8808-5AC2E6515600/batches/62033790-3A47-4139-872D-409208D17E3C]
005090717_00608 (imageset: 07F4B572-F1A4-40B1-A14A-DD894A87269F);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3761A906-4408-4A2F-A5FC-89E26BAB7D72/manage/07F4B572-F1A4-40B1-A14A-DD894A87269F/batches/2AE33F33-78C9-4D4B-9116-BDCDD8195764]
005092653_00145 (imageset: AE18D598-75B3-4A54-B86D-BBC531D2DD2B);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3761A906-4408-4A2F-A5FC-89E26BAB7D72/manage/AE18D598-75B3-4A54-B86D-BBC531D2DD2B/batches/82DC83BE-6275-4D76-AA9C-B056475D4361]
005092679_00587 (imageset: 7E57D5F1-D54B-4630-A6BD-66DF0F5A526F);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3761A906-4408-4A2F-A5FC-89E26BAB7D72/manage/7E57D5F1-D54B-4630-A6BD-66DF0F5A526F/batches/81832C51-3FCD-4CDD-8D93-709C1AD6A4E7]
005092679_00268 (imageset: 7E57D5F1-D54B-4630-A6BD-66DF0F5A526F);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3761A906-4408-4A2F-A5FC-89E26BAB7D72/manage/7E57D5F1-D54B-4630-A6BD-66DF0F5A526F/batches/04FD22D0-FB73-4905-86CC-5D8FA8F01E52]
005090717_00846 (imageset: 07F4B572-F1A4-40B1-A14A-DD894A87269F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3761A906-4408-4A2F-A5FC-89E26BAB7D72/manage/07F4B572-F1A4-40B1-A14A-DD894A87269F/batches/8661FBC7-C040-470E-9281-3BC54C37B8DF]
005092243_00322 (imageset: 9D353A85-C185-4D76-93E5-D080CF1A6129);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3761A906-4408-4A2F-A5FC-89E26BAB7D72/manage/9D353A85-C185-4D76-93E5-D080CF1A6129/batches/2CC00349-6F3D-45BD-B749-7CF9171D1D48]
005092243_00284 (imageset: 9D353A85-C185-4D76-93E5-D080CF1A6129);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3761A906-4408-4A2F-A5FC-89E26BAB7D72/manage/9D353A85-C185-4D76-93E5-D080CF1A6129/batches/8AAF651F-C141-4EC8-87FB-D75913173902]
005090717_00845 (imageset: 07F4B572-F1A4-40B1-A14A-DD894A87269F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3761A906-4408-4A2F-A5FC-89E26BAB7D72/manage/07F4B572-F1A4-40B1-A14A-DD894A87269F/batches/8661FBC7-C040-470E-9281-3BC54C37B8DF]
