Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 450;
ReportItem instance counts;;DGS_MISSASSIGNMENTS: 1;
101630452 (5C11D03A-3B19-43DC-8B0E-1587B22B0086);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/39FABF38-4BAA-44E4-9E93-42C755198070/manage/5C11D03A-3B19-43DC-8B0E-1587B22B0086/batches/list]
100606034 (B51FF33A-64E2-47BE-A745-02F79E35EBC6);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/39FABF38-4BAA-44E4-9E93-42C755198070/manage/B51FF33A-64E2-47BE-A745-02F79E35EBC6/batches/list]
101490502 (716A10B1-FD48-40AC-B8D4-967CE4B49A77);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/39FABF38-4BAA-44E4-9E93-42C755198070/manage/716A10B1-FD48-40AC-B8D4-967CE4B49A77/batches/list]
100605894 (D543CA73-6CA8-425D-BD3B-6BD7912BF87F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/39FABF38-4BAA-44E4-9E93-42C755198070/manage/D543CA73-6CA8-425D-BD3B-6BD7912BF87F/batches/list]
101630455 (62B45B28-6FE3-43E1-B030-BBC367186238);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/39FABF38-4BAA-44E4-9E93-42C755198070/manage/62B45B28-6FE3-43E1-B030-BBC367186238/batches/list]
101629242 (C51DD88A-5F30-4412-A71A-5302ADC094C0);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/39FABF38-4BAA-44E4-9E93-42C755198070/manage/C51DD88A-5F30-4412-A71A-5302ADC094C0/batches/list]
101630475 (078C6398-4869-4660-ADB2-084BF9F8E7C2);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/39FABF38-4BAA-44E4-9E93-42C755198070/manage/078C6398-4869-4660-ADB2-084BF9F8E7C2/batches/list]
101629357 (9078E01F-EA2C-41E2-A95A-F309E26E6E5C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/39FABF38-4BAA-44E4-9E93-42C755198070/manage/9078E01F-EA2C-41E2-A95A-F309E26E6E5C/batches/list]
