Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
105051077_00138 (imageset: D58CC81D-0904-4EBE-9AB9-0419F64F4752);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B319179-61D0-4732-AB13-D9418AD144D5/manage/D58CC81D-0904-4EBE-9AB9-0419F64F4752/batches/8DF93B43-4881-4848-8E50-A586A057E599]
105051077_00212 (imageset: D58CC81D-0904-4EBE-9AB9-0419F64F4752);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B319179-61D0-4732-AB13-D9418AD144D5/manage/D58CC81D-0904-4EBE-9AB9-0419F64F4752/batches/449A39A3-B542-4FF7-B236-0DB84C00408C]
105051075_00117 (imageset: DEDF7D47-C055-44B9-BDCC-9B814B276086);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B319179-61D0-4732-AB13-D9418AD144D5/manage/DEDF7D47-C055-44B9-BDCC-9B814B276086/batches/B650DAAA-0C3A-4647-898E-01D707170455]
105051073_00074 (imageset: 384D94A0-0636-48E8-AC02-1C2DD8D8A7B5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B319179-61D0-4732-AB13-D9418AD144D5/manage/384D94A0-0636-48E8-AC02-1C2DD8D8A7B5/batches/2AA6DC04-0767-4441-90BD-19C2BE9B4B0A]
105051101_00415 (imageset: 3C92E149-986F-4FE9-9ECA-624FA057142B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B319179-61D0-4732-AB13-D9418AD144D5/manage/3C92E149-986F-4FE9-9ECA-624FA057142B/batches/E9CCF4BB-E2C6-4190-9A39-DB4A7A176F13]
105051073_00084 (imageset: 384D94A0-0636-48E8-AC02-1C2DD8D8A7B5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B319179-61D0-4732-AB13-D9418AD144D5/manage/384D94A0-0636-48E8-AC02-1C2DD8D8A7B5/batches/64C915E2-C1F7-4BE6-81FE-15F8A4624BC0]
105051101_02049 (imageset: 3C92E149-986F-4FE9-9ECA-624FA057142B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B319179-61D0-4732-AB13-D9418AD144D5/manage/3C92E149-986F-4FE9-9ECA-624FA057142B/batches/48D21276-A2C1-43D1-A9CE-4F8D59FF7E4D]
105051089_01833 (imageset: 86935F3D-3190-410A-8ECC-37CBCDD2C53F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B319179-61D0-4732-AB13-D9418AD144D5/manage/86935F3D-3190-410A-8ECC-37CBCDD2C53F/batches/60AD5169-24C7-4D59-B87B-5F5706386535]
105051088_01340 (imageset: 93D1BACC-F30C-4684-A3F7-CF5A5022B96C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B319179-61D0-4732-AB13-D9418AD144D5/manage/93D1BACC-F30C-4684-A3F7-CF5A5022B96C/batches/8E2E5A21-DD6D-4E84-843A-BC86DD398618]
