Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 20;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
007722979_01358 (imageset: 828B55CA-F536-46E4-BD84-2819826B6AC7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/828B55CA-F536-46E4-BD84-2819826B6AC7/batches/2F4068F0-AE7B-44A4-A94C-7997031EC906]
007648404_07988 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/7F713062-F89C-4FD8-BC35-DCB95F3F73A7]
007648404_04896 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/28494E9B-3FBA-4466-837B-A6A4F5E4923C]
007648404_04897 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/28494E9B-3FBA-4466-837B-A6A4F5E4923C]
007722961_06119 (imageset: 2FA5C719-B5EA-4F7C-A55A-7FA4C3529E76);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/2FA5C719-B5EA-4F7C-A55A-7FA4C3529E76/batches/075FC8B6-69D2-4773-AC61-8CAB67820CD5]
007722961_06118 (imageset: 2FA5C719-B5EA-4F7C-A55A-7FA4C3529E76);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/2FA5C719-B5EA-4F7C-A55A-7FA4C3529E76/batches/075FC8B6-69D2-4773-AC61-8CAB67820CD5]
007722979_01397 (imageset: 828B55CA-F536-46E4-BD84-2819826B6AC7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/828B55CA-F536-46E4-BD84-2819826B6AC7/batches/9EA0E282-1E85-4354-BA63-462B6144AF1E]
007722979_01398 (imageset: 828B55CA-F536-46E4-BD84-2819826B6AC7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/828B55CA-F536-46E4-BD84-2819826B6AC7/batches/9EA0E282-1E85-4354-BA63-462B6144AF1E]
007722979_00227 (imageset: 828B55CA-F536-46E4-BD84-2819826B6AC7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/828B55CA-F536-46E4-BD84-2819826B6AC7/batches/8ABA55B4-5D59-4A03-B63F-A32A69CBEC53]
007648404_02719 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/7F1051C0-F956-4C01-A4D8-2A123B068A40]
007648404_02717 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/7F1051C0-F956-4C01-A4D8-2A123B068A40]
007648404_04818 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/D5EE0201-1C69-4DC3-BB14-D1DB38B2E38F]
007648404_02415 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/F5EE01CF-270D-478F-833C-ED4F9B1913B5]
007648404_04815 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/D5EE0201-1C69-4DC3-BB14-D1DB38B2E38F]
007648404_02414 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/F5EE01CF-270D-478F-833C-ED4F9B1913B5]
007648404_04817 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/D5EE0201-1C69-4DC3-BB14-D1DB38B2E38F]
007648404_03849 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/6A85AF73-82C8-4D86-B5AA-F6253D220718]
007648404_04898 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/28494E9B-3FBA-4466-837B-A6A4F5E4923C]
007648404_02716 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/7F1051C0-F956-4C01-A4D8-2A123B068A40]
007648404_07989 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/7F713062-F89C-4FD8-BC35-DCB95F3F73A7]
007648404_04899 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/28494E9B-3FBA-4466-837B-A6A4F5E4923C]
007648404_04658 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/96C48D7A-5C30-4590-BFC8-29198FC54F30]
007648404_02417 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/F5EE01CF-270D-478F-833C-ED4F9B1913B5]
007648404_02416 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/F5EE01CF-270D-478F-833C-ED4F9B1913B5]
007722961_06441 (imageset: 2FA5C719-B5EA-4F7C-A55A-7FA4C3529E76);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/2FA5C719-B5EA-4F7C-A55A-7FA4C3529E76/batches/45C8E098-3F72-4EDC-B955-DBD62B73BE5A]
007648404_07710 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/E577FC4E-5C12-4DD7-9B98-964A21B3CD51]
007648404_03850 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/6A85AF73-82C8-4D86-B5AA-F6253D220718]
007722961_06121 (imageset: 2FA5C719-B5EA-4F7C-A55A-7FA4C3529E76);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/2FA5C719-B5EA-4F7C-A55A-7FA4C3529E76/batches/075FC8B6-69D2-4773-AC61-8CAB67820CD5]
007648404_03851 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/6A85AF73-82C8-4D86-B5AA-F6253D220718]
007722961_06120 (imageset: 2FA5C719-B5EA-4F7C-A55A-7FA4C3529E76);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/2FA5C719-B5EA-4F7C-A55A-7FA4C3529E76/batches/075FC8B6-69D2-4773-AC61-8CAB67820CD5]
007648404_03852 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/6A85AF73-82C8-4D86-B5AA-F6253D220718]
007648404_04660 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/96C48D7A-5C30-4590-BFC8-29198FC54F30]
007648404_04661 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/96C48D7A-5C30-4590-BFC8-29198FC54F30]
007648404_08483 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/C4A433B6-ED33-4793-8424-9C9C7040AD37]
007648404_08481 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/C4A433B6-ED33-4793-8424-9C9C7040AD37]
007648404_08482 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/C4A433B6-ED33-4793-8424-9C9C7040AD37]
007722961_06444 (imageset: 2FA5C719-B5EA-4F7C-A55A-7FA4C3529E76);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/2FA5C719-B5EA-4F7C-A55A-7FA4C3529E76/batches/45C8E098-3F72-4EDC-B955-DBD62B73BE5A]
007722961_06443 (imageset: 2FA5C719-B5EA-4F7C-A55A-7FA4C3529E76);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/2FA5C719-B5EA-4F7C-A55A-7FA4C3529E76/batches/45C8E098-3F72-4EDC-B955-DBD62B73BE5A]
007648404_08480 (imageset: 16344BD1-F18B-4EE1-ADC6-FCFD4109AA46);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3B96211A-D0C3-4249-A78A-9EA86018EB61/manage/16344BD1-F18B-4EE1-ADC6-FCFD4109AA46/batches/C4A433B6-ED33-4793-8424-9C9C7040AD37]
