Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 3;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 398581;
005150505_00398 (imageset: BD9C59A3-D1F8-4A1E-A834-783B888B2D10);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3BC83693-DC43-47AC-84A0-1D50A78B75DF/manage/BD9C59A3-D1F8-4A1E-A834-783B888B2D10/batches/14E7BCBC-B9F6-49EC-A005-A019A9F693E6]
005150505_00399 (imageset: BD9C59A3-D1F8-4A1E-A834-783B888B2D10);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3BC83693-DC43-47AC-84A0-1D50A78B75DF/manage/BD9C59A3-D1F8-4A1E-A834-783B888B2D10/batches/14E7BCBC-B9F6-49EC-A005-A019A9F693E6]
005150716_01660 (imageset: FA686CC6-EAAB-4956-85A3-C9DAAF0372B8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3BC83693-DC43-47AC-84A0-1D50A78B75DF/manage/FA686CC6-EAAB-4956-85A3-C9DAAF0372B8/batches/3E3A70DF-5654-4F3D-BA3B-2AA446426F14]
005150716_01656 (imageset: FA686CC6-EAAB-4956-85A3-C9DAAF0372B8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3BC83693-DC43-47AC-84A0-1D50A78B75DF/manage/FA686CC6-EAAB-4956-85A3-C9DAAF0372B8/batches/3E3A70DF-5654-4F3D-BA3B-2AA446426F14]
005150716_01657 (imageset: FA686CC6-EAAB-4956-85A3-C9DAAF0372B8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3BC83693-DC43-47AC-84A0-1D50A78B75DF/manage/FA686CC6-EAAB-4956-85A3-C9DAAF0372B8/batches/3E3A70DF-5654-4F3D-BA3B-2AA446426F14]
005150716_01658 (imageset: FA686CC6-EAAB-4956-85A3-C9DAAF0372B8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3BC83693-DC43-47AC-84A0-1D50A78B75DF/manage/FA686CC6-EAAB-4956-85A3-C9DAAF0372B8/batches/3E3A70DF-5654-4F3D-BA3B-2AA446426F14]
005150716_01659 (imageset: FA686CC6-EAAB-4956-85A3-C9DAAF0372B8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3BC83693-DC43-47AC-84A0-1D50A78B75DF/manage/FA686CC6-EAAB-4956-85A3-C9DAAF0372B8/batches/3E3A70DF-5654-4F3D-BA3B-2AA446426F14]
005150505_00376 (imageset: BD9C59A3-D1F8-4A1E-A834-783B888B2D10);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3BC83693-DC43-47AC-84A0-1D50A78B75DF/manage/BD9C59A3-D1F8-4A1E-A834-783B888B2D10/batches/907D0F2E-3CD8-494D-9888-B6FAC1DA3273]
005150505_00377 (imageset: BD9C59A3-D1F8-4A1E-A834-783B888B2D10);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3BC83693-DC43-47AC-84A0-1D50A78B75DF/manage/BD9C59A3-D1F8-4A1E-A834-783B888B2D10/batches/907D0F2E-3CD8-494D-9888-B6FAC1DA3273]
005150505_00378 (imageset: BD9C59A3-D1F8-4A1E-A834-783B888B2D10);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3BC83693-DC43-47AC-84A0-1D50A78B75DF/manage/BD9C59A3-D1F8-4A1E-A834-783B888B2D10/batches/907D0F2E-3CD8-494D-9888-B6FAC1DA3273]
005150505_00379 (imageset: BD9C59A3-D1F8-4A1E-A834-783B888B2D10);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3BC83693-DC43-47AC-84A0-1D50A78B75DF/manage/BD9C59A3-D1F8-4A1E-A834-783B888B2D10/batches/907D0F2E-3CD8-494D-9888-B6FAC1DA3273]
005150505_00380 (imageset: BD9C59A3-D1F8-4A1E-A834-783B888B2D10);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3BC83693-DC43-47AC-84A0-1D50A78B75DF/manage/BD9C59A3-D1F8-4A1E-A834-783B888B2D10/batches/907D0F2E-3CD8-494D-9888-B6FAC1DA3273]
005150505_00381 (imageset: BD9C59A3-D1F8-4A1E-A834-783B888B2D10);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3BC83693-DC43-47AC-84A0-1D50A78B75DF/manage/BD9C59A3-D1F8-4A1E-A834-783B888B2D10/batches/323400D9-7789-491E-B5DC-325473FA502C]
005150505_00382 (imageset: BD9C59A3-D1F8-4A1E-A834-783B888B2D10);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3BC83693-DC43-47AC-84A0-1D50A78B75DF/manage/BD9C59A3-D1F8-4A1E-A834-783B888B2D10/batches/323400D9-7789-491E-B5DC-325473FA502C]
005150505_00383 (imageset: BD9C59A3-D1F8-4A1E-A834-783B888B2D10);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3BC83693-DC43-47AC-84A0-1D50A78B75DF/manage/BD9C59A3-D1F8-4A1E-A834-783B888B2D10/batches/323400D9-7789-491E-B5DC-325473FA502C]
