Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 1584;
104074294_00220 (imageset: 4031F9C1-468E-4370-AE5F-090343CE803D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E8B763B-3CC1-400B-A099-A5795B848F74/manage/4031F9C1-468E-4370-AE5F-090343CE803D/batches/C181362E-7BF2-4D3D-85F7-B7CF8F516C77]
104074192_00439 (imageset: A3F9F873-A28D-4FFE-A121-A5F36EEB71AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E8B763B-3CC1-400B-A099-A5795B848F74/manage/A3F9F873-A28D-4FFE-A121-A5F36EEB71AF/batches/08A912C6-2462-4B46-A2DF-A5AC583751EE]
104074192_00432 (imageset: A3F9F873-A28D-4FFE-A121-A5F36EEB71AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E8B763B-3CC1-400B-A099-A5795B848F74/manage/A3F9F873-A28D-4FFE-A121-A5F36EEB71AF/batches/08A912C6-2462-4B46-A2DF-A5AC583751EE]
104074192_00433 (imageset: A3F9F873-A28D-4FFE-A121-A5F36EEB71AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E8B763B-3CC1-400B-A099-A5795B848F74/manage/A3F9F873-A28D-4FFE-A121-A5F36EEB71AF/batches/08A912C6-2462-4B46-A2DF-A5AC583751EE]
104074192_00434 (imageset: A3F9F873-A28D-4FFE-A121-A5F36EEB71AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E8B763B-3CC1-400B-A099-A5795B848F74/manage/A3F9F873-A28D-4FFE-A121-A5F36EEB71AF/batches/08A912C6-2462-4B46-A2DF-A5AC583751EE]
104074192_00435 (imageset: A3F9F873-A28D-4FFE-A121-A5F36EEB71AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E8B763B-3CC1-400B-A099-A5795B848F74/manage/A3F9F873-A28D-4FFE-A121-A5F36EEB71AF/batches/08A912C6-2462-4B46-A2DF-A5AC583751EE]
104074192_00436 (imageset: A3F9F873-A28D-4FFE-A121-A5F36EEB71AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E8B763B-3CC1-400B-A099-A5795B848F74/manage/A3F9F873-A28D-4FFE-A121-A5F36EEB71AF/batches/08A912C6-2462-4B46-A2DF-A5AC583751EE]
104074192_00437 (imageset: A3F9F873-A28D-4FFE-A121-A5F36EEB71AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E8B763B-3CC1-400B-A099-A5795B848F74/manage/A3F9F873-A28D-4FFE-A121-A5F36EEB71AF/batches/08A912C6-2462-4B46-A2DF-A5AC583751EE]
104074192_00438 (imageset: A3F9F873-A28D-4FFE-A121-A5F36EEB71AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E8B763B-3CC1-400B-A099-A5795B848F74/manage/A3F9F873-A28D-4FFE-A121-A5F36EEB71AF/batches/08A912C6-2462-4B46-A2DF-A5AC583751EE]
104074269_00664 (imageset: B1F6871D-C65D-4BA3-9965-7179190A52C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E8B763B-3CC1-400B-A099-A5795B848F74/manage/B1F6871D-C65D-4BA3-9965-7179190A52C6/batches/A8EB1742-07CC-4CF3-9EFB-FF5CC1802D94]
104074269_00663 (imageset: B1F6871D-C65D-4BA3-9965-7179190A52C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E8B763B-3CC1-400B-A099-A5795B848F74/manage/B1F6871D-C65D-4BA3-9965-7179190A52C6/batches/A8EB1742-07CC-4CF3-9EFB-FF5CC1802D94]
104074269_00665 (imageset: B1F6871D-C65D-4BA3-9965-7179190A52C6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E8B763B-3CC1-400B-A099-A5795B848F74/manage/B1F6871D-C65D-4BA3-9965-7179190A52C6/batches/A8EB1742-07CC-4CF3-9EFB-FF5CC1802D94]
104074294_00217 (imageset: 4031F9C1-468E-4370-AE5F-090343CE803D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E8B763B-3CC1-400B-A099-A5795B848F74/manage/4031F9C1-468E-4370-AE5F-090343CE803D/batches/C181362E-7BF2-4D3D-85F7-B7CF8F516C77]
104074294_00216 (imageset: 4031F9C1-468E-4370-AE5F-090343CE803D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E8B763B-3CC1-400B-A099-A5795B848F74/manage/4031F9C1-468E-4370-AE5F-090343CE803D/batches/C181362E-7BF2-4D3D-85F7-B7CF8F516C77]
