Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 2;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
007312236_00219 (imageset: 7E98AA9E-8CDF-4BD6-BA69-4ED3E3C8465B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/7E98AA9E-8CDF-4BD6-BA69-4ED3E3C8465B/batches/8702A8CC-5EBE-4923-A4A4-95E841AB500B]
007312197_00410 (imageset: 7825C34F-7F65-4C7E-9796-927B8ED95583);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/7825C34F-7F65-4C7E-9796-927B8ED95583/batches/4F8C32EE-D47B-43CD-966B-E5018135921C]
007312202_00637 (imageset: 7D622547-C173-44AC-A830-83B8D10D85EF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/7D622547-C173-44AC-A830-83B8D10D85EF/batches/AD568096-A4F8-46A4-9C2C-86D1423BAD38]
007312197_00414 (imageset: 7825C34F-7F65-4C7E-9796-927B8ED95583);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/7825C34F-7F65-4C7E-9796-927B8ED95583/batches/4F8C32EE-D47B-43CD-966B-E5018135921C]
007312202_01242 (imageset: 7D622547-C173-44AC-A830-83B8D10D85EF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/7D622547-C173-44AC-A830-83B8D10D85EF/batches/DAB487AA-6D43-48AE-9275-5A88CF300A6A]
007312202_01088 (imageset: 7D622547-C173-44AC-A830-83B8D10D85EF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/7D622547-C173-44AC-A830-83B8D10D85EF/batches/5E6FEF69-8989-497D-BEB3-4FC8B71AD635]
007312202_01241 (imageset: 7D622547-C173-44AC-A830-83B8D10D85EF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/7D622547-C173-44AC-A830-83B8D10D85EF/batches/DAB487AA-6D43-48AE-9275-5A88CF300A6A]
007312202_01087 (imageset: 7D622547-C173-44AC-A830-83B8D10D85EF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/7D622547-C173-44AC-A830-83B8D10D85EF/batches/5E6FEF69-8989-497D-BEB3-4FC8B71AD635]
007312202_01240 (imageset: 7D622547-C173-44AC-A830-83B8D10D85EF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/7D622547-C173-44AC-A830-83B8D10D85EF/batches/DAB487AA-6D43-48AE-9275-5A88CF300A6A]
007312202_01086 (imageset: 7D622547-C173-44AC-A830-83B8D10D85EF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/7D622547-C173-44AC-A830-83B8D10D85EF/batches/5E6FEF69-8989-497D-BEB3-4FC8B71AD635]
007312202_01085 (imageset: 7D622547-C173-44AC-A830-83B8D10D85EF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/7D622547-C173-44AC-A830-83B8D10D85EF/batches/5E6FEF69-8989-497D-BEB3-4FC8B71AD635]
007312202_01246 (imageset: 7D622547-C173-44AC-A830-83B8D10D85EF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/7D622547-C173-44AC-A830-83B8D10D85EF/batches/DAB487AA-6D43-48AE-9275-5A88CF300A6A]
007311728_00665 (imageset: 405A7B53-61AF-4C95-93DE-7A470B7EA28E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/405A7B53-61AF-4C95-93DE-7A470B7EA28E/batches/F4E4925C-1193-4D52-BD15-4F47C35B3E1B]
007312202_01245 (imageset: 7D622547-C173-44AC-A830-83B8D10D85EF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/7D622547-C173-44AC-A830-83B8D10D85EF/batches/DAB487AA-6D43-48AE-9275-5A88CF300A6A]
007312202_01244 (imageset: 7D622547-C173-44AC-A830-83B8D10D85EF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/7D622547-C173-44AC-A830-83B8D10D85EF/batches/DAB487AA-6D43-48AE-9275-5A88CF300A6A]
007312202_01243 (imageset: 7D622547-C173-44AC-A830-83B8D10D85EF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3E9F110A-D8C4-43D9-AC1D-C58287C7AEE3/manage/7D622547-C173-44AC-A830-83B8D10D85EF/batches/DAB487AA-6D43-48AE-9275-5A88CF300A6A]
