Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 7334;
007897004_00511 (imageset: D19AD867-A2E3-4613-9F54-6801D102185C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3F4805EA-62A0-403B-8524-6F99197ABB77/manage/D19AD867-A2E3-4613-9F54-6801D102185C/batches/A2406A1A-C3C9-4E5E-A3A0-64EC5A7F752B]
007897004_00512 (imageset: D19AD867-A2E3-4613-9F54-6801D102185C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3F4805EA-62A0-403B-8524-6F99197ABB77/manage/D19AD867-A2E3-4613-9F54-6801D102185C/batches/E1D79042-8454-4636-92FC-7E2AAA583D30]
007897015_00209 (imageset: 4C5EED04-455F-47FD-8173-0F0CA281021B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3F4805EA-62A0-403B-8524-6F99197ABB77/manage/4C5EED04-455F-47FD-8173-0F0CA281021B/batches/626CA4A3-48F2-4A4F-839D-0A8765D2941D]
007897004_00510 (imageset: D19AD867-A2E3-4613-9F54-6801D102185C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3F4805EA-62A0-403B-8524-6F99197ABB77/manage/D19AD867-A2E3-4613-9F54-6801D102185C/batches/C30A4808-C901-4880-87E5-90EFFAFD74DF]
007897015_00208 (imageset: 4C5EED04-455F-47FD-8173-0F0CA281021B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3F4805EA-62A0-403B-8524-6F99197ABB77/manage/4C5EED04-455F-47FD-8173-0F0CA281021B/batches/3E0EDD45-4320-42DC-8FBB-8CFF116FB646]
007897015_00206 (imageset: 4C5EED04-455F-47FD-8173-0F0CA281021B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3F4805EA-62A0-403B-8524-6F99197ABB77/manage/4C5EED04-455F-47FD-8173-0F0CA281021B/batches/7BFB00E7-1A3F-4B16-A7E1-FAA9458A5B55]
007897004_00519 (imageset: D19AD867-A2E3-4613-9F54-6801D102185C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3F4805EA-62A0-403B-8524-6F99197ABB77/manage/D19AD867-A2E3-4613-9F54-6801D102185C/batches/47E4D26E-C828-4475-A73A-D1126D908FDB]
007897015_00203 (imageset: 4C5EED04-455F-47FD-8173-0F0CA281021B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3F4805EA-62A0-403B-8524-6F99197ABB77/manage/4C5EED04-455F-47FD-8173-0F0CA281021B/batches/05FB3237-D8C5-4C4F-ABA0-1AFB7E0CFAA5]
007897015_00204 (imageset: 4C5EED04-455F-47FD-8173-0F0CA281021B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3F4805EA-62A0-403B-8524-6F99197ABB77/manage/4C5EED04-455F-47FD-8173-0F0CA281021B/batches/1B735447-0908-4403-9F88-7CED792BDD9C]
007897015_00201 (imageset: 4C5EED04-455F-47FD-8173-0F0CA281021B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3F4805EA-62A0-403B-8524-6F99197ABB77/manage/4C5EED04-455F-47FD-8173-0F0CA281021B/batches/7FA53A8F-951C-4101-A974-A999CCD0E866]
007897004_00518 (imageset: D19AD867-A2E3-4613-9F54-6801D102185C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3F4805EA-62A0-403B-8524-6F99197ABB77/manage/D19AD867-A2E3-4613-9F54-6801D102185C/batches/42243483-8243-4237-8485-542CCB66B465]
007897015_00202 (imageset: 4C5EED04-455F-47FD-8173-0F0CA281021B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3F4805EA-62A0-403B-8524-6F99197ABB77/manage/4C5EED04-455F-47FD-8173-0F0CA281021B/batches/F0DF872D-1078-4D35-83ED-16CC6D51A4B9]
