Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 3163;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 2;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 2;
103140069_00004 (imageset: 72A9B051-2D4A-42CD-A022-008A40E129D3);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FD8C214-33A8-4871-B662-EF52CE01A802/manage/72A9B051-2D4A-42CD-A022-008A40E129D3/batches/list]
103169457_00207 (imageset: 40F9BB21-A083-41EE-BBFA-7B79107C20C6);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FD8C214-33A8-4871-B662-EF52CE01A802/manage/40F9BB21-A083-41EE-BBFA-7B79107C20C6/batches/list]
103140069_00002 (imageset: 72A9B051-2D4A-42CD-A022-008A40E129D3);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FD8C214-33A8-4871-B662-EF52CE01A802/manage/72A9B051-2D4A-42CD-A022-008A40E129D3/batches/list]
103169998_00205 (imageset: 438B8ED8-8875-4ACD-83D1-8CD72A0C0E3E);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FD8C214-33A8-4871-B662-EF52CE01A802/manage/438B8ED8-8875-4ACD-83D1-8CD72A0C0E3E/batches/list]
103169457_00208 (imageset: 40F9BB21-A083-41EE-BBFA-7B79107C20C6);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FD8C214-33A8-4871-B662-EF52CE01A802/manage/40F9BB21-A083-41EE-BBFA-7B79107C20C6/batches/list]
103140069_00001 (imageset: 72A9B051-2D4A-42CD-A022-008A40E129D3);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FD8C214-33A8-4871-B662-EF52CE01A802/manage/72A9B051-2D4A-42CD-A022-008A40E129D3/batches/list]
