Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 13014;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 1893;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 3;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 4;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 1893;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
3FDB544E-C6B3-4BCE-AA06-76CC2B779550;PROJECT;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/overview]
107155516_01671 (imageset: AFECAE04-5A4E-4671-A020-8A16CA47E42B);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/AFECAE04-5A4E-4671-A020-8A16CA47E42B/batches/list]
107155554_00161 (imageset: FDDEAF42-832B-4D11-84B0-CCA50056C42A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/FDDEAF42-832B-4D11-84B0-CCA50056C42A/batches/list]
107155605_01242 (imageset: 665F5382-A8EB-454F-84BC-F60CBA645458);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/665F5382-A8EB-454F-84BC-F60CBA645458/batches/list]
107155554_00165 (imageset: FDDEAF42-832B-4D11-84B0-CCA50056C42A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/FDDEAF42-832B-4D11-84B0-CCA50056C42A/batches/list]
107155554_00163 (imageset: FDDEAF42-832B-4D11-84B0-CCA50056C42A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/FDDEAF42-832B-4D11-84B0-CCA50056C42A/batches/list]
107155516_00341 (imageset: AFECAE04-5A4E-4671-A020-8A16CA47E42B);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/AFECAE04-5A4E-4671-A020-8A16CA47E42B/batches/list]
107155587_00957 (imageset: BE81A289-B6C5-4E1A-BE35-66899E6CA827);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/BE81A289-B6C5-4E1A-BE35-66899E6CA827/batches/list]
107155554_00168 (imageset: FDDEAF42-832B-4D11-84B0-CCA50056C42A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/FDDEAF42-832B-4D11-84B0-CCA50056C42A/batches/list]
107155519_01149 (imageset: 6AC27C6D-45E3-4C9F-9E08-18379AB184E2);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/6AC27C6D-45E3-4C9F-9E08-18379AB184E2/batches/list]
107155554_00167 (imageset: FDDEAF42-832B-4D11-84B0-CCA50056C42A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/FDDEAF42-832B-4D11-84B0-CCA50056C42A/batches/list]
107155519_01147 (imageset: 6AC27C6D-45E3-4C9F-9E08-18379AB184E2);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/6AC27C6D-45E3-4C9F-9E08-18379AB184E2/batches/list]
107155519_01143 (imageset: 6AC27C6D-45E3-4C9F-9E08-18379AB184E2);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/6AC27C6D-45E3-4C9F-9E08-18379AB184E2/batches/list]
107155587_00950 (imageset: BE81A289-B6C5-4E1A-BE35-66899E6CA827);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/BE81A289-B6C5-4E1A-BE35-66899E6CA827/batches/list]
107155397_00513 (imageset: 1A5090C8-0F03-4D90-BA3C-706DE4D6CA41);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/1A5090C8-0F03-4D90-BA3C-706DE4D6CA41/batches/list]
107155640_01579 (imageset: C941397F-BE1C-4C49-8DD3-55327906FF90);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/C941397F-BE1C-4C49-8DD3-55327906FF90/batches/list]
107155554_00155 (imageset: FDDEAF42-832B-4D11-84B0-CCA50056C42A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/FDDEAF42-832B-4D11-84B0-CCA50056C42A/batches/list]
107155554_01480 (imageset: FDDEAF42-832B-4D11-84B0-CCA50056C42A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/FDDEAF42-832B-4D11-84B0-CCA50056C42A/batches/list]
107155554_00153 (imageset: FDDEAF42-832B-4D11-84B0-CCA50056C42A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/FDDEAF42-832B-4D11-84B0-CCA50056C42A/batches/list]
107155554_00159 (imageset: FDDEAF42-832B-4D11-84B0-CCA50056C42A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/FDDEAF42-832B-4D11-84B0-CCA50056C42A/batches/list]
107155554_00157 (imageset: FDDEAF42-832B-4D11-84B0-CCA50056C42A);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/FDDEAF42-832B-4D11-84B0-CCA50056C42A/batches/list]
107155587_00940 (imageset: BE81A289-B6C5-4E1A-BE35-66899E6CA827);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/BE81A289-B6C5-4E1A-BE35-66899E6CA827/batches/list]
107155572_01517 (imageset: 18DF88CB-343A-4C36-BB7E-D0F6A9BDC1BD);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/manage/18DF88CB-343A-4C36-BB7E-D0F6A9BDC1BD/batches/list]
