Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;PROJECT:IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:NO_BLOCKED_IMAGES: 1;
ReportItem instance counts;;IMAGESET:NOT_IN_IMAGE_EXPORT_TABLE: 133;
ReportItem instance counts;;IMAGE:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;IMAGE:NO_INDEXING_BATCH: 100;
ReportItem instance counts;;PROJECT:BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
BC4B7234-13D6-4413-9A90-424BAC0347F6;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/40ED89EA-E80B-417B-BBC1-A7522A1155C0/manage/74CEBE14-DEC3-47B8-8388-1022496E6E82/batches/BC4B7234-13D6-4413-9A90-424BAC0347F6]
2C7FF23A-D916-4650-9599-63B1E612FC8C;IMAGESET;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/40ED89EA-E80B-417B-BBC1-A7522A1155C0/manage/2C7FF23A-D916-4650-9599-63B1E612FC8C/batches/list]
F26F59ED-0432-447C-A6FA-F809A5AB6116;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/40ED89EA-E80B-417B-BBC1-A7522A1155C0/manage/72D47EF7-A901-449C-B6EB-D4BEF363D463/batches/F26F59ED-0432-447C-A6FA-F809A5AB6116]
06330A89-51D4-49B5-A653-8BF2E2ECB028;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/40ED89EA-E80B-417B-BBC1-A7522A1155C0/manage/18E8B3B8-69F5-40C0-A5DF-C3C19DAB34A2/batches/06330A89-51D4-49B5-A653-8BF2E2ECB028]
5257A056-B6DD-437B-B024-58CB73D4023E;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/40ED89EA-E80B-417B-BBC1-A7522A1155C0/manage/2C7FF23A-D916-4650-9599-63B1E612FC8C/batches/5257A056-B6DD-437B-B024-58CB73D4023E]
C9997FD1-4833-4C52-9AE5-9E664F819226;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/40ED89EA-E80B-417B-BBC1-A7522A1155C0/manage/95A2EDCE-AB1A-419F-9DDE-1B3E09AAFA02/batches/C9997FD1-4833-4C52-9AE5-9E664F819226]
914699C8-4E39-4F62-BADC-0FF8A9E83896;IMAGESET;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/40ED89EA-E80B-417B-BBC1-A7522A1155C0/manage/914699C8-4E39-4F62-BADC-0FF8A9E83896/batches/list]
2B74CBDF-D2CB-4C80-A0C2-34511D4497EA;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/40ED89EA-E80B-417B-BBC1-A7522A1155C0/manage/494CB6BE-2891-4DFE-9ECA-FD15EE102E80/batches/2B74CBDF-D2CB-4C80-A0C2-34511D4497EA]
2C3ACEFB-F13B-4A88-8DE0-BCE49674AFA3;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/40ED89EA-E80B-417B-BBC1-A7522A1155C0/manage/18E8B3B8-69F5-40C0-A5DF-C3C19DAB34A2/batches/2C3ACEFB-F13B-4A88-8DE0-BCE49674AFA3]
BDC5CCCB-0CBE-44E3-80FF-8CD8E496DAE0;IMAGESET;NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/40ED89EA-E80B-417B-BBC1-A7522A1155C0/manage/BDC5CCCB-0CBE-44E3-80FF-8CD8E496DAE0/batches/list]
21B94A23-6F93-4251-82BD-DCBD577A0D49;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/40ED89EA-E80B-417B-BBC1-A7522A1155C0/manage/2027A0E1-48E7-4534-8BE7-4485908DE6D4/batches/21B94A23-6F93-4251-82BD-DCBD577A0D49]
72ED86D4-3140-46C8-B2EE-FDF23F97ADE0;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/40ED89EA-E80B-417B-BBC1-A7522A1155C0/manage/E5AF54FB-1CD6-4B15-B56D-8A65DF1BAB05/batches/72ED86D4-3140-46C8-B2EE-FDF23F97ADE0]
