Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH_HAS_UNINDEXED_IMAGES: 1;
ReportItem instance counts;;BATCH_HAS_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;IMAGE_HAS_NOT_BEEN_INDEXED: 1909;
1C1B3F34-E404-47FE-BCD8-0CC8B67A8016;BATCH;BATCH_HAS_TOO_MANY_IMAGES \\ BATCH_HAS_UNINDEXED_IMAGES;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
4104188D-600D-442F-BFF0-64E4E333864B;PROJECT;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES;[PROJECT|https:///www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview]
007897414_03435 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03436 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03433 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03434 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03431 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03432 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03430 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03439 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03437 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03438 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03424 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03425 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03422 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03423 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03420 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03421 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03428 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03429 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03426 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03427 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03897 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03413 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03898 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03414 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
007897414_03895 (imageset: C9EEDABA-2596-4E78-B965-A4FFBB96F8B7);IMAGE;IMAGE_HAS_NOT_BEEN_INDEXED;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/manage/C9EEDABA-2596-4E78-B965-A4FFBB96F8B7/batches/1C1B3F34-E404-47FE-BCD8-0CC8B67A8016]
