Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 360345;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 96;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 200;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 96;
43752B23-F048-4C22-ACA3-F8190681A057;PROJECT;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/43752B23-F048-4C22-ACA3-F8190681A057/overview]
007810160 (DF076AE5-FA6C-4544-9A8D-051F82A5CEFA);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/43752B23-F048-4C22-ACA3-F8190681A057/manage/DF076AE5-FA6C-4544-9A8D-051F82A5CEFA/batches/list]
007818077 (83A512A6-030F-41D3-A7D7-BAE721DA7F5B);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/43752B23-F048-4C22-ACA3-F8190681A057/manage/83A512A6-030F-41D3-A7D7-BAE721DA7F5B/batches/list]
007818070 (36BF5837-067C-41E9-84B1-1529E804F6A6);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/43752B23-F048-4C22-ACA3-F8190681A057/manage/36BF5837-067C-41E9-84B1-1529E804F6A6/batches/list]
007818056 (AE9E8A3F-619C-46E2-9339-A3C2EEB91B7B);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/43752B23-F048-4C22-ACA3-F8190681A057/manage/AE9E8A3F-619C-46E2-9339-A3C2EEB91B7B/batches/list]
007808641 (FE2265E0-F530-49BD-A05A-CAFA24E1E18B);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/43752B23-F048-4C22-ACA3-F8190681A057/manage/FE2265E0-F530-49BD-A05A-CAFA24E1E18B/batches/list]
007818086 (DC58A83C-8B25-4D64-A1C5-EC714DEED37B);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/43752B23-F048-4C22-ACA3-F8190681A057/manage/DC58A83C-8B25-4D64-A1C5-EC714DEED37B/batches/list]
007808628 (B442791F-7031-4AA8-9AAE-AB9B13B7D24F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/43752B23-F048-4C22-ACA3-F8190681A057/manage/B442791F-7031-4AA8-9AAE-AB9B13B7D24F/batches/list]
007808635 (9DC4336A-0939-4E36-ACC3-4091F39DF308);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/43752B23-F048-4C22-ACA3-F8190681A057/manage/9DC4336A-0939-4E36-ACC3-4091F39DF308/batches/list]
007808585 (9DFE81D4-D415-4922-9CFE-18D3C1C5D4DC);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/43752B23-F048-4C22-ACA3-F8190681A057/manage/9DFE81D4-D415-4922-9CFE-18D3C1C5D4DC/batches/list]
007820954 (EBB07AC6-D6D3-46F9-8842-736B87F13D61);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/43752B23-F048-4C22-ACA3-F8190681A057/manage/EBB07AC6-D6D3-46F9-8842-736B87F13D61/batches/list]
007808602 (0B89360D-7083-4EC8-84C6-2D128CD0C876);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/43752B23-F048-4C22-ACA3-F8190681A057/manage/0B89360D-7083-4EC8-84C6-2D128CD0C876/batches/list]
007808598 (4FFB7A1F-713A-4414-BF1B-259C7479A70A);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/43752B23-F048-4C22-ACA3-F8190681A057/manage/4FFB7A1F-713A-4414-BF1B-259C7479A70A/batches/list]
