Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;PROJECT:IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
72B018F7-2FEB-4398-9A03-4FBA7F02958C;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/43AE809C-5832-4AFB-9F9E-A56FA9F474CD/manage/058D9086-F47D-4C6D-BCCF-630242767A62/batches/72B018F7-2FEB-4398-9A03-4FBA7F02958C]
2551ABF4-9C1E-41EB-AB4E-633D2DFC0D4B;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/43AE809C-5832-4AFB-9F9E-A56FA9F474CD/manage/7846B481-BE08-4DBE-87B9-708DF2ADF507/batches/2551ABF4-9C1E-41EB-AB4E-633D2DFC0D4B]
D50BB39B-D60E-4347-931F-294046AB74E1;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/43AE809C-5832-4AFB-9F9E-A56FA9F474CD/manage/FA4B6360-B520-4579-9DE6-C04A61713BD3/batches/D50BB39B-D60E-4347-931F-294046AB74E1]
86F55695-3885-4FC8-82ED-922E430441CD;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/43AE809C-5832-4AFB-9F9E-A56FA9F474CD/manage/0D4E4EE6-3849-48FE-A37B-E74082FCF6D5/batches/86F55695-3885-4FC8-82ED-922E430441CD]
A440C440-5AA1-405C-AB9F-DCD7059C9A67;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/43AE809C-5832-4AFB-9F9E-A56FA9F474CD/manage/A657020F-DD4E-4F40-95E8-91A647B3DF81/batches/A440C440-5AA1-405C-AB9F-DCD7059C9A67]
5C93E5EC-27B2-4ABF-80B8-DEDBCA91F040;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/43AE809C-5832-4AFB-9F9E-A56FA9F474CD/manage/948947A2-C6CB-447D-8948-72D4F32BE447/batches/5C93E5EC-27B2-4ABF-80B8-DEDBCA91F040]
EAA73D89-B39A-4B42-81D1-50398A395128;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/43AE809C-5832-4AFB-9F9E-A56FA9F474CD/manage/FA4B6360-B520-4579-9DE6-C04A61713BD3/batches/EAA73D89-B39A-4B42-81D1-50398A395128]
AF4A7191-0CB9-4F70-BCEA-A395CE807DCC;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/43AE809C-5832-4AFB-9F9E-A56FA9F474CD/manage/EA9F3B16-C8A8-4F15-BC88-774A008D82BA/batches/AF4A7191-0CB9-4F70-BCEA-A395CE807DCC]
F4BA8247-BE83-434F-8797-2FBB8F0AC518;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/43AE809C-5832-4AFB-9F9E-A56FA9F474CD/manage/8D52AA6B-8532-4F22-B983-149A95D009B7/batches/F4BA8247-BE83-434F-8797-2FBB8F0AC518]
06C9BA25-8F80-4208-BE9B-49378EEA5E25;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/43AE809C-5832-4AFB-9F9E-A56FA9F474CD/manage/948947A2-C6CB-447D-8948-72D4F32BE447/batches/06C9BA25-8F80-4208-BE9B-49378EEA5E25]
9E309128-AB8D-407E-ACE5-149A2CD234BF;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/43AE809C-5832-4AFB-9F9E-A56FA9F474CD/manage/A7A0D4A9-1E11-4DDA-830C-4C4853B5A632/batches/9E309128-AB8D-407E-ACE5-149A2CD234BF]
343EA3D2-860E-4C49-9E98-141B2B6B7B28;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/43AE809C-5832-4AFB-9F9E-A56FA9F474CD/manage/62DAC8B8-5263-47FF-BA81-5F45A8856B90/batches/343EA3D2-860E-4C49-9E98-141B2B6B7B28]
2AAE336A-D8F0-4FC8-A66B-23D559F6D047;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/43AE809C-5832-4AFB-9F9E-A56FA9F474CD/manage/8D52AA6B-8532-4F22-B983-149A95D009B7/batches/2AAE336A-D8F0-4FC8-A66B-23D559F6D047]
