Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 22;
007760132_00325 (imageset: C609575B-481C-4059-8505-430DC6F2C6B0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/C609575B-481C-4059-8505-430DC6F2C6B0/batches/71DAA64F-93C7-4761-8CBF-833CAB281108]
007760220_00121 (imageset: 99BF84A3-E594-4FC9-A78E-9661BD9FA12F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/99BF84A3-E594-4FC9-A78E-9661BD9FA12F/batches/CE1BA9DA-3145-4661-A7B2-E702BF455505]
007760220_00331 (imageset: 99BF84A3-E594-4FC9-A78E-9661BD9FA12F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/99BF84A3-E594-4FC9-A78E-9661BD9FA12F/batches/BE8887B4-8C67-47AB-898F-30F1A0803289]
007760176_00068 (imageset: EBE16DCB-2427-49C1-A395-968C7B85D02D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/EBE16DCB-2427-49C1-A395-968C7B85D02D/batches/C6F87B3F-20BF-4F04-9C0E-F7247FD9BF2C]
007760220_00332 (imageset: 99BF84A3-E594-4FC9-A78E-9661BD9FA12F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/99BF84A3-E594-4FC9-A78E-9661BD9FA12F/batches/BE8887B4-8C67-47AB-898F-30F1A0803289]
007760176_00077 (imageset: EBE16DCB-2427-49C1-A395-968C7B85D02D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/EBE16DCB-2427-49C1-A395-968C7B85D02D/batches/C6F87B3F-20BF-4F04-9C0E-F7247FD9BF2C]
007760132_00296 (imageset: C609575B-481C-4059-8505-430DC6F2C6B0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/C609575B-481C-4059-8505-430DC6F2C6B0/batches/9567860C-E290-447A-B83A-2783F65EEBFF]
007760206_00582 (imageset: 3FCEFAC8-AE80-4F55-AD3F-775E793E4F42);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/3FCEFAC8-AE80-4F55-AD3F-775E793E4F42/batches/57F51F31-7BD9-482B-BEEB-4E4FDAFF5C1A]
007760191_00028 (imageset: 609E1471-1192-45F5-91FE-DA9F6522158D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/609E1471-1192-45F5-91FE-DA9F6522158D/batches/826B9760-8C9B-4B42-9868-7F01967D5122]
007760175_00407 (imageset: 96E52819-9A6D-4300-B949-7C530C42D64B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/96E52819-9A6D-4300-B949-7C530C42D64B/batches/48F8818C-E2C1-4C4A-B139-652ED1935DFE]
007760199_00119 (imageset: 62E067E2-422F-4EE6-9295-555AF1A439D8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/62E067E2-422F-4EE6-9295-555AF1A439D8/batches/D7603FFC-0480-40D4-849C-239B96717800]
007760223_00393 (imageset: 5B51142C-F992-4B41-A4D8-77039EA3BBD9);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/5B51142C-F992-4B41-A4D8-77039EA3BBD9/batches/23539F95-B57A-492A-AF56-6DE9F633D3B0]
007760215_00202 (imageset: CEC55E85-926B-4F47-9C20-BA1A8B024AC5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/CEC55E85-926B-4F47-9C20-BA1A8B024AC5/batches/2C39383E-078E-4BCD-94D7-496ECAB0D090]
007760229_00388 (imageset: 81DFDFBD-C910-442F-A032-AB9B2CA938A7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/81DFDFBD-C910-442F-A032-AB9B2CA938A7/batches/2F123DBF-FE32-42B0-94DE-F1211DD3671C]
007760216_00526 (imageset: 627A8316-EFD8-4AD3-B19F-3162E828F86C);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/627A8316-EFD8-4AD3-B19F-3162E828F86C/batches/E693BA47-BA66-409C-BC87-CCCE3D2D8050]
007760199_00117 (imageset: 62E067E2-422F-4EE6-9295-555AF1A439D8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/62E067E2-422F-4EE6-9295-555AF1A439D8/batches/D7603FFC-0480-40D4-849C-239B96717800]
007760176_00074 (imageset: EBE16DCB-2427-49C1-A395-968C7B85D02D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/EBE16DCB-2427-49C1-A395-968C7B85D02D/batches/C6F87B3F-20BF-4F04-9C0E-F7247FD9BF2C]
007760134_00448 (imageset: 4C046AD6-44A5-43AF-8231-1F4AE7393372);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/4C046AD6-44A5-43AF-8231-1F4AE7393372/batches/63C090BC-3DCB-435A-B83F-43F216A62016]
007760143_00437 (imageset: CEF9D53B-8896-4BE5-A051-AE0C9E3A954E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/CEF9D53B-8896-4BE5-A051-AE0C9E3A954E/batches/89DCB3C3-104A-4820-B927-CC7519E0412A]
007760134_00402 (imageset: 4C046AD6-44A5-43AF-8231-1F4AE7393372);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/4C046AD6-44A5-43AF-8231-1F4AE7393372/batches/4E92F0FF-46F7-4119-8769-D2742C04CD0F]
007760198_00479 (imageset: 0CE625CE-AE43-4F3E-8207-E3B7084765B8);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/0CE625CE-AE43-4F3E-8207-E3B7084765B8/batches/C01FEC60-205F-4A22-95F4-481987E3FCCE]
007760149_00275 (imageset: 555D3789-40D6-425F-BB3B-9601535DDF28);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/442A1FDA-47B0-43B9-A3C2-D03DFF43121D/manage/555D3789-40D6-425F-BB3B-9601535DDF28/batches/F0AA3129-B836-4B04-927C-0B9C7A7F299B]
