Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NO_WORKFLOW_STATE: 100;
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;BATCH:NOT_IN_PROJECT: 100;
FA6ED87E-459E-4F8F-9C85-44F1088FF832;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/1393CEB8-AC8F-480F-8DFC-F6BE8CE304E3/batches/FA6ED87E-459E-4F8F-9C85-44F1088FF832]
4418DA53-B120-4780-A796-6CD349C18AB5;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/97B0DD6D-5D19-48EC-9591-5A3310662E9C/batches/4418DA53-B120-4780-A796-6CD349C18AB5]
4418DA53-B120-4780-A796-6CD349C18AB5;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/97B0DD6D-5D19-48EC-9591-5A3310662E9C/batches/4418DA53-B120-4780-A796-6CD349C18AB5]
D1100DFA-3B17-4A30-B826-16BC144D97A9;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/20BBC3B7-2B2E-4B3F-B5D8-212564E53505/batches/D1100DFA-3B17-4A30-B826-16BC144D97A9]
F0C20F1E-BEAD-426E-9259-9AD30657B20B;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/5B6420A3-1165-497C-8235-72FA097B9ADE/batches/F0C20F1E-BEAD-426E-9259-9AD30657B20B]
F0C20F1E-BEAD-426E-9259-9AD30657B20B;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/5B6420A3-1165-497C-8235-72FA097B9ADE/batches/F0C20F1E-BEAD-426E-9259-9AD30657B20B]
18602B5E-C4A6-4E75-A8C1-637C4FC24A3F;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/5ABA161A-455A-429D-A215-2D20283C4CD3/batches/18602B5E-C4A6-4E75-A8C1-637C4FC24A3F]
18602B5E-C4A6-4E75-A8C1-637C4FC24A3F;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/5ABA161A-455A-429D-A215-2D20283C4CD3/batches/18602B5E-C4A6-4E75-A8C1-637C4FC24A3F]
B799691C-347B-4EC2-AA46-441B755C00FA;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/F83D7645-6AFD-4D13-A8EE-1344A96A437B/batches/B799691C-347B-4EC2-AA46-441B755C00FA]
B799691C-347B-4EC2-AA46-441B755C00FA;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/F83D7645-6AFD-4D13-A8EE-1344A96A437B/batches/B799691C-347B-4EC2-AA46-441B755C00FA]
4A22DDE8-A9FB-454C-9299-0F6DB5EFF382;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/0247968B-EF3A-4CC1-8B9C-F9379E98A3E6/batches/4A22DDE8-A9FB-454C-9299-0F6DB5EFF382]
4A22DDE8-A9FB-454C-9299-0F6DB5EFF382;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/0247968B-EF3A-4CC1-8B9C-F9379E98A3E6/batches/4A22DDE8-A9FB-454C-9299-0F6DB5EFF382]
63C681FE-6254-4766-87AF-9FF26F72217F;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/0A45BF76-DEE1-4567-BE81-784972AAA4FC/batches/63C681FE-6254-4766-87AF-9FF26F72217F]
9EB261E0-2838-4281-BC09-83FAA3893D49;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/A16D9DC7-8241-4FE0-BFD6-A9088CD8F05D/batches/9EB261E0-2838-4281-BC09-83FAA3893D49]
9EB261E0-2838-4281-BC09-83FAA3893D49;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/A16D9DC7-8241-4FE0-BFD6-A9088CD8F05D/batches/9EB261E0-2838-4281-BC09-83FAA3893D49]
22B27981-6D47-46A7-9CFE-6B6F2252EE61;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/D0EBA943-4AC8-4365-884A-2834659B99E9/batches/22B27981-6D47-46A7-9CFE-6B6F2252EE61]
22B27981-6D47-46A7-9CFE-6B6F2252EE61;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/D0EBA943-4AC8-4365-884A-2834659B99E9/batches/22B27981-6D47-46A7-9CFE-6B6F2252EE61]
EBE61937-01EE-48AA-85AE-B000CA8104AA;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/20BBC3B7-2B2E-4B3F-B5D8-212564E53505/batches/EBE61937-01EE-48AA-85AE-B000CA8104AA]
3BDD1A3F-C451-4959-BF59-0CCFE643A484;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/44B64BAC-3A14-41D4-A379-12AA7DF09624/manage/47162BD6-DAFE-4EBC-8E4F-F971F6D14ED5/batches/3BDD1A3F-C451-4959-BF59-0CCFE643A484]
