Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT: 3;
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 121095;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 18356;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;DGS_MISSASSIGNMENTS: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 18356;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
16-0019;DGS_ASSIGNMENT;DGS_MISSASSIGNMENTS;[16-0019 DgsMisassignments|16-0019 DgsMisassignments]
105114933 (no imageset for: 105114933);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/47700494-5076-4222-B225-39438E59F6A1/manage/no imageset for: 105114933/batches/list]
105114974 (no imageset for: 105114974);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/47700494-5076-4222-B225-39438E59F6A1/manage/no imageset for: 105114974/batches/list]
103065609 (no imageset for: 103065609);IMAGESET;IMAGESET_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA_BUT_NOT_IN_PROJECT;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/47700494-5076-4222-B225-39438E59F6A1/manage/no imageset for: 103065609/batches/list]
47700494-5076-4222-B225-39438E59F6A1;PROJECT;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/47700494-5076-4222-B225-39438E59F6A1/overview]
104889002_00001 (imageset: 0B30E077-13AD-4CEA-9BC1-32E00FA7892C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/47700494-5076-4222-B225-39438E59F6A1/manage/0B30E077-13AD-4CEA-9BC1-32E00FA7892C/batches/list]
104889002_00002 (imageset: 0B30E077-13AD-4CEA-9BC1-32E00FA7892C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/47700494-5076-4222-B225-39438E59F6A1/manage/0B30E077-13AD-4CEA-9BC1-32E00FA7892C/batches/list]
103065604_00210 (imageset: A005A625-B80B-4AC1-8139-D61F94D0D132);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/47700494-5076-4222-B225-39438E59F6A1/manage/A005A625-B80B-4AC1-8139-D61F94D0D132/batches/list]
103065604_00204 (imageset: A005A625-B80B-4AC1-8139-D61F94D0D132);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/47700494-5076-4222-B225-39438E59F6A1/manage/A005A625-B80B-4AC1-8139-D61F94D0D132/batches/list]
103065604_00205 (imageset: A005A625-B80B-4AC1-8139-D61F94D0D132);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/47700494-5076-4222-B225-39438E59F6A1/manage/A005A625-B80B-4AC1-8139-D61F94D0D132/batches/list]
103065604_00206 (imageset: A005A625-B80B-4AC1-8139-D61F94D0D132);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/47700494-5076-4222-B225-39438E59F6A1/manage/A005A625-B80B-4AC1-8139-D61F94D0D132/batches/list]
103065604_00207 (imageset: A005A625-B80B-4AC1-8139-D61F94D0D132);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/47700494-5076-4222-B225-39438E59F6A1/manage/A005A625-B80B-4AC1-8139-D61F94D0D132/batches/list]
103065604_00200 (imageset: A005A625-B80B-4AC1-8139-D61F94D0D132);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/47700494-5076-4222-B225-39438E59F6A1/manage/A005A625-B80B-4AC1-8139-D61F94D0D132/batches/list]
