Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 218414;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 1;
49B68109-B3AC-4780-B798-11E92BB9E830;PROJECT;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/49B68109-B3AC-4780-B798-11E92BB9E830/overview]
008494126_01406 (imageset: 34F5B1C6-84D7-4CCD-A9BF-D1BD1D1794EA);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/49B68109-B3AC-4780-B798-11E92BB9E830/manage/34F5B1C6-84D7-4CCD-A9BF-D1BD1D1794EA/batches/list]
008494126_01407 (imageset: 34F5B1C6-84D7-4CCD-A9BF-D1BD1D1794EA);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/49B68109-B3AC-4780-B798-11E92BB9E830/manage/34F5B1C6-84D7-4CCD-A9BF-D1BD1D1794EA/batches/list]
008494126_01408 (imageset: 34F5B1C6-84D7-4CCD-A9BF-D1BD1D1794EA);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/49B68109-B3AC-4780-B798-11E92BB9E830/manage/34F5B1C6-84D7-4CCD-A9BF-D1BD1D1794EA/batches/list]
008494126_01401 (imageset: 34F5B1C6-84D7-4CCD-A9BF-D1BD1D1794EA);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/49B68109-B3AC-4780-B798-11E92BB9E830/manage/34F5B1C6-84D7-4CCD-A9BF-D1BD1D1794EA/batches/list]
008494126_01402 (imageset: 34F5B1C6-84D7-4CCD-A9BF-D1BD1D1794EA);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/49B68109-B3AC-4780-B798-11E92BB9E830/manage/34F5B1C6-84D7-4CCD-A9BF-D1BD1D1794EA/batches/list]
