Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 12;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 13;
005874626_02316 (imageset: 07E9608A-D700-4C8B-9BBC-83D3ED436DFD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4B47AA39-7780-40FC-927C-AD5F1D882A6C/manage/07E9608A-D700-4C8B-9BBC-83D3ED436DFD/batches/F7FBB87C-89DF-4D19-9A66-681E8AA6F0C9]
005874839_02695 (imageset: 294CB9AE-09E7-41BA-A1A6-063F9153AA12);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4B47AA39-7780-40FC-927C-AD5F1D882A6C/manage/294CB9AE-09E7-41BA-A1A6-063F9153AA12/batches/65B8A473-E395-4A4F-8F6A-D2C9C17D9B4B]
005874626_02315 (imageset: 07E9608A-D700-4C8B-9BBC-83D3ED436DFD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4B47AA39-7780-40FC-927C-AD5F1D882A6C/manage/07E9608A-D700-4C8B-9BBC-83D3ED436DFD/batches/F7FBB87C-89DF-4D19-9A66-681E8AA6F0C9]
005874626_02314 (imageset: 07E9608A-D700-4C8B-9BBC-83D3ED436DFD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4B47AA39-7780-40FC-927C-AD5F1D882A6C/manage/07E9608A-D700-4C8B-9BBC-83D3ED436DFD/batches/F7FBB87C-89DF-4D19-9A66-681E8AA6F0C9]
005874626_02313 (imageset: 07E9608A-D700-4C8B-9BBC-83D3ED436DFD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4B47AA39-7780-40FC-927C-AD5F1D882A6C/manage/07E9608A-D700-4C8B-9BBC-83D3ED436DFD/batches/F7FBB87C-89DF-4D19-9A66-681E8AA6F0C9]
005874626_02319 (imageset: 07E9608A-D700-4C8B-9BBC-83D3ED436DFD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4B47AA39-7780-40FC-927C-AD5F1D882A6C/manage/07E9608A-D700-4C8B-9BBC-83D3ED436DFD/batches/F7FBB87C-89DF-4D19-9A66-681E8AA6F0C9]
005874626_02318 (imageset: 07E9608A-D700-4C8B-9BBC-83D3ED436DFD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4B47AA39-7780-40FC-927C-AD5F1D882A6C/manage/07E9608A-D700-4C8B-9BBC-83D3ED436DFD/batches/F7FBB87C-89DF-4D19-9A66-681E8AA6F0C9]
005873882_01782 (imageset: 54A9F57D-C7C5-4B5A-936E-27117E9DF223);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4B47AA39-7780-40FC-927C-AD5F1D882A6C/manage/54A9F57D-C7C5-4B5A-936E-27117E9DF223/batches/2C57C94C-44ED-4098-BE98-BE5FE097A6CA]
005874626_02933 (imageset: 07E9608A-D700-4C8B-9BBC-83D3ED436DFD);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4B47AA39-7780-40FC-927C-AD5F1D882A6C/manage/07E9608A-D700-4C8B-9BBC-83D3ED436DFD/batches/6ED27CB7-F7F0-4EE7-98D9-70A0A4E4CD43]
005873916_00440 (imageset: 64D34468-F162-4F9D-B155-01C20E6B7473);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4B47AA39-7780-40FC-927C-AD5F1D882A6C/manage/64D34468-F162-4F9D-B155-01C20E6B7473/batches/2B124615-967D-4E75-8111-3E1127692D3F]
005874626_01274 (imageset: 07E9608A-D700-4C8B-9BBC-83D3ED436DFD);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4B47AA39-7780-40FC-927C-AD5F1D882A6C/manage/07E9608A-D700-4C8B-9BBC-83D3ED436DFD/batches/C8AC8BCF-D971-4598-BECE-55E2A8A90EA8]
